Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Fecha,Año,Mes,Mes_nombre,media_pernoctaciones
Total Nacional,Extremadura,,2022-12-01,2022,12,Diciembre,1.75
Total Nacional,Extremadura,,2022-11-01,2022,11,Noviembre,1.82
Total Nacional,Extremadura,,2022-10-01,2022,10,Octubre,1.91
Total Nacional,Extremadura,,2022-09-01,2022,9,Septiembre,1.77
Total Nacional,Extremadura,,2022-08-01,2022,8,Agosto,1.71
Total Nacional,Extremadura,,2022-07-01,2022,7,Julio,1.61
Total Nacional,Extremadura,,2022-06-01,2022,6,Junio,1.7
Total Nacional,Extremadura,,2022-05-01,2022,5,Mayo,1.85
Total Nacional,Extremadura,,2022-04-01,2022,4,Abril,1.86
Total Nacional,Extremadura,,2022-03-01,2022,3,Marzo,1.85
Total Nacional,Extremadura,,2022-02-01,2022,2,Febrero,1.71
Total Nacional,Extremadura,,2022-01-01,2022,1,Enero,1.75
Total Nacional,Extremadura,,2021-12-01,2021,12,Diciembre,1.82
Total Nacional,Extremadura,,2021-11-01,2021,11,Noviembre,1.76
Total Nacional,Extremadura,,2021-10-01,2021,10,Octubre,1.89
Total Nacional,Extremadura,,2021-09-01,2021,9,Septiembre,1.77
Total Nacional,Extremadura,,2021-08-01,2021,8,Agosto,1.67
Total Nacional,Extremadura,,2021-07-01,2021,7,Julio,1.57
Total Nacional,Extremadura,,2021-06-01,2021,6,Junio,1.58
Total Nacional,Extremadura,,2021-05-01,2021,5,Mayo,1.61
Total Nacional,Extremadura,,2021-04-01,2021,4,Abril,1.67
Total Nacional,Extremadura,,2021-03-01,2021,3,Marzo,1.77
Total Nacional,Extremadura,,2021-02-01,2021,2,Febrero,1.74
Total Nacional,Extremadura,,2021-01-01,2021,1,Enero,1.76
Total Nacional,Extremadura,Badajoz,2022-12-01,2022,12,Diciembre,1.69
Total Nacional,Extremadura,Badajoz,2022-11-01,2022,11,Noviembre,1.79
Total Nacional,Extremadura,Badajoz,2022-10-01,2022,10,Octubre,1.88
Total Nacional,Extremadura,Badajoz,2022-09-01,2022,9,Septiembre,1.74
Total Nacional,Extremadura,Badajoz,2022-08-01,2022,8,Agosto,1.64
Total Nacional,Extremadura,Badajoz,2022-07-01,2022,7,Julio,1.54
Total Nacional,Extremadura,Badajoz,2022-06-01,2022,6,Junio,1.71
Total Nacional,Extremadura,Badajoz,2022-05-01,2022,5,Mayo,1.79
Total Nacional,Extremadura,Badajoz,2022-04-01,2022,4,Abril,1.84
Total Nacional,Extremadura,Badajoz,2022-03-01,2022,3,Marzo,1.86
Total Nacional,Extremadura,Badajoz,2022-02-01,2022,2,Febrero,1.65
Total Nacional,Extremadura,Badajoz,2022-01-01,2022,1,Enero,1.72
Total Nacional,Extremadura,Badajoz,2021-12-01,2021,12,Diciembre,1.76
Total Nacional,Extremadura,Badajoz,2021-11-01,2021,11,Noviembre,1.67
Total Nacional,Extremadura,Badajoz,2021-10-01,2021,10,Octubre,1.8
Total Nacional,Extremadura,Badajoz,2021-09-01,2021,9,Septiembre,1.77
Total Nacional,Extremadura,Badajoz,2021-08-01,2021,8,Agosto,1.66
Total Nacional,Extremadura,Badajoz,2021-07-01,2021,7,Julio,1.56
Total Nacional,Extremadura,Badajoz,2021-06-01,2021,6,Junio,1.54
Total Nacional,Extremadura,Badajoz,2021-05-01,2021,5,Mayo,1.54
Total Nacional,Extremadura,Badajoz,2021-04-01,2021,4,Abril,1.66
Total Nacional,Extremadura,Badajoz,2021-03-01,2021,3,Marzo,1.72
Total Nacional,Extremadura,Badajoz,2021-02-01,2021,2,Febrero,1.77
Total Nacional,Extremadura,Badajoz,2021-01-01,2021,1,Enero,1.68
Total Nacional,Extremadura,Cï¿½ceres,2022-12-01,2022,12,Diciembre,1.82
Total Nacional,Extremadura,Cï¿½ceres,2022-11-01,2022,11,Noviembre,1.86
Total Nacional,Extremadura,Cï¿½ceres,2022-10-01,2022,10,Octubre,1.94
Total Nacional,Extremadura,Cï¿½ceres,2022-09-01,2022,9,Septiembre,1.8
Total Nacional,Extremadura,Cï¿½ceres,2022-08-01,2022,8,Agosto,1.79
Total Nacional,Extremadura,Cï¿½ceres,2022-07-01,2022,7,Julio,1.68
Total Nacional,Extremadura,Cï¿½ceres,2022-06-01,2022,6,Junio,1.69
Total Nacional,Extremadura,Cï¿½ceres,2022-05-01,2022,5,Mayo,1.92
Total Nacional,Extremadura,Cï¿½ceres,2022-04-01,2022,4,Abril,1.88
Total Nacional,Extremadura,Cï¿½ceres,2022-03-01,2022,3,Marzo,1.85
Total Nacional,Extremadura,Cï¿½ceres,2022-02-01,2022,2,Febrero,1.78
Total Nacional,Extremadura,Cï¿½ceres,2022-01-01,2022,1,Enero,1.77
Total Nacional,Extremadura,Cï¿½ceres,2021-12-01,2021,12,Diciembre,1.88
Total Nacional,Extremadura,Cï¿½ceres,2021-11-01,2021,11,Noviembre,1.86
Total Nacional,Extremadura,Cï¿½ceres,2021-10-01,2021,10,Octubre,2.0
Total Nacional,Extremadura,Cï¿½ceres,2021-09-01,2021,9,Septiembre,1.77
Total Nacional,Extremadura,Cï¿½ceres,2021-08-01,2021,8,Agosto,1.68
Total Nacional,Extremadura,Cï¿½ceres,2021-07-01,2021,7,Julio,1.59
Total Nacional,Extremadura,Cï¿½ceres,2021-06-01,2021,6,Junio,1.63
Total Nacional,Extremadura,Cï¿½ceres,2021-05-01,2021,5,Mayo,1.69
Total Nacional,Extremadura,Cï¿½ceres,2021-04-01,2021,4,Abril,1.69
Total Nacional,Extremadura,Cï¿½ceres,2021-03-01,2021,3,Marzo,1.83
Total Nacional,Extremadura,Cï¿½ceres,2021-02-01,2021,2,Febrero,1.7
Total Nacional,Extremadura,Cï¿½ceres,2021-01-01,2021,1,Enero,1.9
Total Nacional,Galicia,,2022-12-01,2022,12,Diciembre,1.82
Total Nacional,Galicia,,2022-11-01,2022,11,Noviembre,1.96
Total Nacional,Galicia,,2022-10-01,2022,10,Octubre,1.87
Total Nacional,Galicia,,2022-09-01,2022,9,Septiembre,1.88
Total Nacional,Galicia,,2022-08-01,2022,8,Agosto,2.23
Total Nacional,Galicia,,2022-07-01,2022,7,Julio,2.12
Total Nacional,Galicia,,2022-06-01,2022,6,Junio,1.87
Total Nacional,Galicia,,2022-05-01,2022,5,Mayo,1.73
Total Nacional,Galicia,,2022-04-01,2022,4,Abril,1.8
Total Nacional,Galicia,,2022-03-01,2022,3,Marzo,1.9
Total Nacional,Galicia,,2022-02-01,2022,2,Febrero,1.8
Total Nacional,Galicia,,2022-01-01,2022,1,Enero,1.87
Total Nacional,Galicia,,2021-12-01,2021,12,Diciembre,1.94
Total Nacional,Galicia,,2021-11-01,2021,11,Noviembre,1.89
Total Nacional,Galicia,,2021-10-01,2021,10,Octubre,1.87
Total Nacional,Galicia,,2021-09-01,2021,9,Septiembre,2.01
Total Nacional,Galicia,,2021-08-01,2021,8,Agosto,2.32
Total Nacional,Galicia,,2021-07-01,2021,7,Julio,2.17
Total Nacional,Galicia,,2021-06-01,2021,6,Junio,1.92
Total Nacional,Galicia,,2021-05-01,2021,5,Mayo,1.85
Total Nacional,Galicia,,2021-04-01,2021,4,Abril,1.91
Total Nacional,Galicia,,2021-03-01,2021,3,Marzo,2.02
Total Nacional,Galicia,,2021-02-01,2021,2,Febrero,2.38
Total Nacional,Galicia,,2021-01-01,2021,1,Enero,2.54
Total Nacional,Galicia,"Coruï¿½a, A",2022-12-01,2022,12,Diciembre,1.9
Total Nacional,Galicia,"Coruï¿½a, A",2022-11-01,2022,11,Noviembre,1.9
Total Nacional,Galicia,"Coruï¿½a, A",2022-10-01,2022,10,Octubre,1.71
Total Nacional,Galicia,"Coruï¿½a, A",2022-09-01,2022,9,Septiembre,1.73
Total Nacional,Galicia,"Coruï¿½a, A",2022-08-01,2022,8,Agosto,2.03
Total Nacional,Galicia,"Coruï¿½a, A",2022-07-01,2022,7,Julio,1.94
Total Nacional,Galicia,"Coruï¿½a, A",2022-06-01,2022,6,Junio,1.76
Total Nacional,Galicia,"Coruï¿½a, A",2022-05-01,2022,5,Mayo,1.67
Total Nacional,Galicia,"Coruï¿½a, A",2022-04-01,2022,4,Abril,1.73
Total Nacional,Galicia,"Coruï¿½a, A",2022-03-01,2022,3,Marzo,1.86
Total Nacional,Galicia,"Coruï¿½a, A",2022-02-01,2022,2,Febrero,1.8
Total Nacional,Galicia,"Coruï¿½a, A",2022-01-01,2022,1,Enero,1.87
Total Nacional,Galicia,"Coruï¿½a, A",2021-12-01,2021,12,Diciembre,2.0
