,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
217,2022M05,29 Málaga,590649,216312,374336,2025618,511654,1513964,Málaga,2022M05_Málaga,3.429478421194313,2.365351899108695,4.044398615147888,2022,5,2022-05-01
218,2022M05,41 Sevilla,323040,160761,162280,657845,291585,366260,Sevilla,2022M05_Sevilla,2.036419638434869,1.8137794614365423,2.256963273354696,2022,5,2022-05-01
219,2022M05,"07 Balears, Illes",1378649,174365,1204285,6377225,525630,5851595,Illes Balears,2022M05_Illes Balears,4.625706035401324,3.01453846815588,4.858978564044225,2022,5,2022-05-01
220,2022M05,08 Barcelona,1080995,292049,788946,2917788,614237,2303551,Barcelona,2022M05_Barcelona,2.699168821317397,2.10319843587891,2.919782849523288,2022,5,2022-05-01
221,2022M05,17 Girona,379462,148939,230522,980345,294420,685925,Girona,2022M05_Girona,2.583512973631088,1.9767824411336183,2.975529450551357,2022,5,2022-05-01
222,2022M05,46 Valencia/València,320639,185418,135221,759457,397184,362273,46 Valencia/València,2022M05_46 Valencia/València,2.368573380031749,2.142100551187048,2.6791178884936517,2022,5,2022-05-01
223,2022M05,28 Madrid,1010998,550965,460034,2052491,941725,1110766,Madrid,2022M05_Madrid,2.0301632644179315,1.709228353888178,2.4145302303742766,2022,5,2022-05-01
224,2022M04,29 Málaga,541596,224104,317492,1815329,565287,1250042,Málaga,2022M04_Málaga,3.351813898182409,2.5224315496376684,3.9372393635115217,2022,4,2022-04-01
225,2022M04,41 Sevilla,299106,166182,132923,629722,316411,313310,Sevilla,2022M04_Sevilla,2.105347268192547,1.9040028402594744,2.3570789103465914,2022,4,2022-04-01
226,2022M04,"07 Balears, Illes",627500,111992,515508,2816016,336559,2479457,Illes Balears,2022M04_Illes Balears,4.487674900398407,3.0052057289806413,4.809735251441297,2022,4,2022-04-01
227,2022M04,08 Barcelona,954827,297090,657737,2532973,605783,1927190,Barcelona,2022M04_Barcelona,2.6528083097775825,2.039055505065805,2.9300313043055204,2022,4,2022-04-01
228,2022M04,17 Girona,329552,172924,156628,825358,341555,483804,Girona,2022M04_Girona,2.5044848764383163,1.9751740649071268,3.088872998442169,2022,4,2022-04-01
229,2022M04,46 Valencia/València,304658,187588,117070,718645,405591,313053,46 Valencia/València,2022M04_46 Valencia/València,2.358858129443507,2.1621372369234706,2.674066797642436,2022,4,2022-04-01
230,2022M04,28 Madrid,951920,555151,396769,2004575,981114,1023461,Madrid,2022M04_Madrid,2.1058229683166654,1.7672921421379049,2.579488316879595,2022,4,2022-04-01
231,2022M03,29 Málaga,360805,167811,192994,1153222,403973,749249,Málaga,2022M03_Málaga,3.1962472803869124,2.407309413566453,3.882239862379141,2022,3,2022-03-01
232,2022M03,41 Sevilla,259122,151606,107515,530313,269131,261182,Sevilla,2022M03_Sevilla,2.046576516081228,1.7752001899660963,2.4292610333441846,2022,3,2022-03-01
233,2022M03,"07 Balears, Illes",202457,60834,141624,817111,177559,639551,Illes Balears,2022M03_Illes Balears,4.035973070824916,2.9187460959331952,4.515837711122408,2022,3,2022-03-01
234,2022M03,08 Barcelona,738509,258640,479869,1889303,516812,1372491,Barcelona,2022M03_Barcelona,2.5582667238990995,1.998190535106712,2.860136829009584,2022,3,2022-03-01
235,2022M03,17 Girona,148484,94875,53608,317741,193695,124045,Girona,2022M03_Girona,2.139900595350341,2.041581027667984,2.3139270258170423,2022,3,2022-03-01
236,2022M03,46 Valencia/València,246403,158121,88282,524256,300837,223419,46 Valencia/València,2022M03_46 Valencia/València,2.1276364329979747,1.9025746105830343,2.5307423936929387,2022,3,2022-03-01
237,2022M03,28 Madrid,848985,525292,323693,1720481,905312,815168,Madrid,2022M03_Madrid,2.026515191670053,1.7234452456919198,2.518336819146537,2022,3,2022-03-01
238,2022M02,29 Málaga,287697,163580,124117,783064,341683,441381,Málaga,2022M02_Málaga,2.721835820324856,2.0887822472184863,3.5561687762353262,2022,2,2022-02-01
239,2022M02,41 Sevilla,216198,140464,75734,422782,242311,180470,Sevilla,2022M02_Sevilla,1.9555315035291725,1.7250754641758743,2.3829455726622126,2022,2,2022-02-01
240,2022M02,"07 Balears, Illes",92624,42557,50067,310405,107070,203335,Illes Balears,2022M02_Illes Balears,3.351237260321299,2.5159198251756467,4.061257914394711,2022,2,2022-02-01
241,2022M02,08 Barcelona,581175,220732,360443,1394900,419550,975350,Barcelona,2022M02_Barcelona,2.4001376521701725,1.9007212366127249,2.7059757021221107,2022,2,2022-02-01
242,2022M02,17 Girona,148373,92785,55588,271749,158061,113688,Girona,2022M02_Girona,1.8315259514871305,1.7035188877512528,2.045189609268187,2022,2,2022-02-01
243,2022M02,46 Valencia/València,201491,134112,67378,393551,230834,162717,46 Valencia/València,2022M02_46 Valencia/València,1.953193939183388,1.721203173466953,2.4149870877734574,2022,2,2022-02-01
244,2022M02,28 Madrid,721193,484422,236771,1435535,847027,588508,Madrid,2022M02_Madrid,1.9905004624282263,1.7485312392913617,2.485557775234298,2022,2,2022-02-01
245,2022M01,29 Málaga,180901,88951,91950,487481,173183,314297,Málaga,2022M01_Málaga,2.694739111447698,1.9469483198614967,3.4181294181620445,2022,1,2022-01-01
246,2022M01,41 Sevilla,170167,112980,57187,320109,189848,130261,Sevilla,2022M01_Sevilla,1.881146168175968,1.6803682067622587,2.277807893402347,2022,1,2022-01-01
247,2022M01,"07 Balears, Illes",42131,20603,21528,127429,44476,82953,Illes Balears,2022M01_Illes Balears,3.024589969381216,2.1587147502790858,3.853260869565217,2022,1,2022-01-01
248,2022M01,08 Barcelona,418906,183731,235175,996160,354869,641291,Barcelona,2022M01_Barcelona,2.37800365714504,1.931459579493934,2.7268672265334324,2022,1,2022-01-01
