Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M01,2403013,,,,,2023,1
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M12,2487423,,,,,2022,12
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M11,2743589,,,,,2022,11
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M10,5085510,,,,,2022,10
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M09,5872047,,,,,2022,9
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M08,6363409,,,,,2022,8
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M07,6217875,,,,,2022,7
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M06,5567582,,,,,2022,6
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M05,5248435,,,,,2022,5
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M04,3955846,,,,,2022,4
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M03,2628498,,,,,2022,3
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M02,1969784,,,,,2022,2
Total Nacional,,,Viajero,Residentes en el Extranjero,2022M01,1428086,,,,,2022,1
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M12,1716964,,,,,2021,12
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M11,2173899,,,,,2021,11
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M10,3541554,,,,,2021,10
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M09,3304007,,,,,2021,9
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M08,3473029,,,,,2021,8
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M07,2771753,,,,,2021,7
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M06,1496439,,,,,2021,6
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M05,824057,,,,,2021,5
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M04,396696,,,,,2021,4
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M03,314013,,,,,2021,3
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M02,204009,,,,,2021,2
Total Nacional,,,Viajero,Residentes en el Extranjero,2021M01,235026,,,,,2021,1
Total Nacional,,,Pernoctaciones,,2025M12,18546462,,,,,2025,12
Total Nacional,,,Pernoctaciones,,2025M11,20301411,,,,,2025,11
Total Nacional,,,Pernoctaciones,,2025M10,34281206,,,,,2025,10
Total Nacional,,,Pernoctaciones,,2025M09,39420118,,,,,2025,9
Total Nacional,,,Pernoctaciones,,2025M08,48181913,,,,,2025,8
Total Nacional,,,Pernoctaciones,,2025M07,44691923,,,,,2025,7
Total Nacional,,,Pernoctaciones,,2025M06,38982683,,,,,2025,6
Total Nacional,,,Pernoctaciones,,2025M05,35565862,,,,,2025,5
Total Nacional,,,Pernoctaciones,,2025M04,28957925,,,,,2025,4
Total Nacional,,,Pernoctaciones,,2025M03,22393743,,,,,2025,3
Total Nacional,,,Pernoctaciones,,2025M02,18373966,,,,,2025,2
Total Nacional,,,Pernoctaciones,,2025M01,16830947,,,,,2025,1
Total Nacional,,,Pernoctaciones,,2024M12,18025526,,,,,2024,12
Total Nacional,,,Pernoctaciones,,2024M11,19978052,,,,,2024,11
Total Nacional,,,Pernoctaciones,,2024M10,33836772,,,,,2024,10
Total Nacional,,,Pernoctaciones,,2024M09,38965938,,,,,2024,9
Total Nacional,,,Pernoctaciones,,2024M08,47760600,,,,,2024,8
Total Nacional,,,Pernoctaciones,,2024M07,43918939,,,,,2024,7
Total Nacional,,,Pernoctaciones,,2024M06,38185201,,,,,2024,6
Total Nacional,,,Pernoctaciones,,2024M05,35701080,,,,,2024,5
Total Nacional,,,Pernoctaciones,,2024M04,27099375,,,,,2024,4
Total Nacional,,,Pernoctaciones,,2024M03,24520234,,,,,2024,3
Total Nacional,,,Pernoctaciones,,2024M02,18581766,,,,,2024,2
Total Nacional,,,Pernoctaciones,,2024M01,16491597,,,,,2024,1
Total Nacional,,,Pernoctaciones,,2023M12,17913857,,,,,2023,12
Total Nacional,,,Pernoctaciones,,2023M11,19023828,,,,,2023,11
Total Nacional,,,Pernoctaciones,,2023M10,32415687,,,,,2023,10
Total Nacional,,,Pernoctaciones,,2023M09,37980229,,,,,2023,9
Total Nacional,,,Pernoctaciones,,2023M08,46695607,,,,,2023,8
Total Nacional,,,Pernoctaciones,,2023M07,43109417,,,,,2023,7
Total Nacional,,,Pernoctaciones,,2023M06,36255025,,,,,2023,6
Total Nacional,,,Pernoctaciones,,2023M05,32187667,,,,,2023,5
Total Nacional,,,Pernoctaciones,,2023M04,28046754,,,,,2023,4
Total Nacional,,,Pernoctaciones,,2023M03,20597741,,,,,2023,3
Total Nacional,,,Pernoctaciones,,2023M02,16816547,,,,,2023,2
Total Nacional,,,Pernoctaciones,,2023M01,15472477,,,,,2023,1
Total Nacional,,,Pernoctaciones,,2022M12,16627833,,,,,2022,12
Total Nacional,,,Pernoctaciones,,2022M11,17661676,,,,,2022,11
Total Nacional,,,Pernoctaciones,,2022M10,29865924,,,,,2022,10
Total Nacional,,,Pernoctaciones,,2022M09,35999861,,,,,2022,9
Total Nacional,,,Pernoctaciones,,2022M08,46140100,,,,,2022,8
Total Nacional,,,Pernoctaciones,,2022M07,42121775,,,,,2022,7
Total Nacional,,,Pernoctaciones,,2022M06,35111326,,,,,2022,6
Total Nacional,,,Pernoctaciones,,2022M05,29785395,,,,,2022,5
Total Nacional,,,Pernoctaciones,,2022M04,25197638,,,,,2022,4
Total Nacional,,,Pernoctaciones,,2022M03,17632648,,,,,2022,3
Total Nacional,,,Pernoctaciones,,2022M02,13623546,,,,,2022,2
Total Nacional,,,Pernoctaciones,,2022M01,10598385,,,,,2022,1
Total Nacional,,,Pernoctaciones,,2021M12,13220155,,,,,2021,12
Total Nacional,,,Pernoctaciones,,2021M11,14930647,,,,,2021,11
Total Nacional,,,Pernoctaciones,,2021M10,23935219,,,,,2021,10
Total Nacional,,,Pernoctaciones,,2021M09,25679512,,,,,2021,9
Total Nacional,,,Pernoctaciones,,2021M08,34460041,,,,,2021,8
Total Nacional,,,Pernoctaciones,,2021M07,26351353,,,,,2021,7
Total Nacional,,,Pernoctaciones,,2021M06,14259621,,,,,2021,6
Total Nacional,,,Pernoctaciones,,2021M05,7342738,,,,,2021,5
Total Nacional,,,Pernoctaciones,,2021M04,4142415,,,,,2021,4
Total Nacional,,,Pernoctaciones,,2021M03,3588559,,,,,2021,3
Total Nacional,,,Pernoctaciones,,2021M02,2436961,,,,,2021,2
Total Nacional,,,Pernoctaciones,,2021M01,2459473,,,,,2021,1
Total Nacional,,,Pernoctaciones,Residentes en España,2025M12,7228948,,,,,2025,12
Total Nacional,,,Pernoctaciones,Residentes en España,2025M11,7528091,,,,,2025,11
Total Nacional,,,Pernoctaciones,Residentes en España,2025M10,9566101,,,,,2025,10
Total Nacional,,,Pernoctaciones,Residentes en España,2025M09,11902934,,,,,2025,9
Total Nacional,,,Pernoctaciones,Residentes en España,2025M08,17218949,,,,,2025,8
Total Nacional,,,Pernoctaciones,Residentes en España,2025M07,14895856,,,,,2025,7
Total Nacional,,,Pernoctaciones,Residentes en España,2025M06,12191754,,,,,2025,6
Total Nacional,,,Pernoctaciones,Residentes en España,2025M05,10891067,,,,,2025,5
Total Nacional,,,Pernoctaciones,Residentes en España,2025M04,10101779,,,,,2025,4
Total Nacional,,,Pernoctaciones,Residentes en España,2025M03,8077931,,,,,2025,3
Total Nacional,,,Pernoctaciones,Residentes en España,2025M02,6554049,,,,,2025,2
Total Nacional,,,Pernoctaciones,Residentes en España,2025M01,5704151,,,,,2025,1
Total Nacional,,,Pernoctaciones,Residentes en España,2024M12,7206683,,,,,2024,12
Total Nacional,,,Pernoctaciones,Residentes en España,2024M11,7578414,,,,,2024,11
Total Nacional,,,Pernoctaciones,Residentes en España,2024M10,9614409,,,,,2024,10
Total Nacional,,,Pernoctaciones,Residentes en España,2024M09,11754777,,,,,2024,9
Total Nacional,,,Pernoctaciones,Residentes en España,2024M08,17310199,,,,,2024,8
Total Nacional,,,Pernoctaciones,Residentes en España,2024M07,14743902,,,,,2024,7
Total Nacional,,,Pernoctaciones,Residentes en España,2024M06,12347782,,,,,2024,6
Total Nacional,,,Pernoctaciones,Residentes en España,2024M05,10623796,,,,,2024,5
Total Nacional,,,Pernoctaciones,Residentes en España,2024M04,8884448,,,,,2024,4
Total Nacional,,,Pernoctaciones,Residentes en España,2024M03,9421644,,,,,2024,3
Total Nacional,,,Pernoctaciones,Residentes en España,2024M02,6774732,,,,,2024,2
Total Nacional,,,Pernoctaciones,Residentes en España,2024M01,5762176,,,,,2024,1
Total Nacional,,,Pernoctaciones,Residentes en España,2023M12,7363463,,,,,2023,12
Total Nacional,,,Pernoctaciones,Residentes en España,2023M11,6957475,,,,,2023,11
Total Nacional,,,Pernoctaciones,Residentes en España,2023M10,9662174,,,,,2023,10
Total Nacional,,,Pernoctaciones,Residentes en España,2023M09,11783151,,,,,2023,9
Total Nacional,,,Pernoctaciones,Residentes en España,2023M08,17548462,,,,,2023,8
Total Nacional,,,Pernoctaciones,Residentes en España,2023M07,15303797,,,,,2023,7
Total Nacional,,,Pernoctaciones,Residentes en España,2023M06,12216070,,,,,2023,6
Total Nacional,,,Pernoctaciones,Residentes en España,2023M05,9784069,,,,,2023,5
Total Nacional,,,Pernoctaciones,Residentes en España,2023M04,10749390,,,,,2023,4
Total Nacional,,,Pernoctaciones,Residentes en España,2023M03,8037671,,,,,2023,3
Total Nacional,,,Pernoctaciones,Residentes en España,2023M02,6508332,,,,,2023,2
Total Nacional,,,Pernoctaciones,Residentes en España,2023M01,5810812,,,,,2023,1
Total Nacional,,,Pernoctaciones,Residentes en España,2022M12,7121128,,,,,2022,12
Total Nacional,,,Pernoctaciones,Residentes en España,2022M11,7046984,,,,,2022,11
Total Nacional,,,Pernoctaciones,Residentes en España,2022M10,9771323,,,,,2022,10
Total Nacional,,,Pernoctaciones,Residentes en España,2022M09,12065204,,,,,2022,9
Total Nacional,,,Pernoctaciones,Residentes en España,2022M08,18268800,,,,,2022,8
Total Nacional,,,Pernoctaciones,Residentes en España,2022M07,15608687,,,,,2022,7
Total Nacional,,,Pernoctaciones,Residentes en España,2022M06,12216496,,,,,2022,6
Total Nacional,,,Pernoctaciones,Residentes en España,2022M05,10052067,,,,,2022,5
Total Nacional,,,Pernoctaciones,Residentes en España,2022M04,10260559,,,,,2022,4
Total Nacional,,,Pernoctaciones,Residentes en España,2022M03,7071757,,,,,2022,3
Total Nacional,,,Pernoctaciones,Residentes en España,2022M02,6018570,,,,,2022,2
Total Nacional,,,Pernoctaciones,Residentes en España,2022M01,4536018,,,,,2022,1
Total Nacional,,,Pernoctaciones,Residentes en España,2021M12,6316273,,,,,2021,12
Total Nacional,,,Pernoctaciones,Residentes en España,2021M11,6088018,,,,,2021,11
Total Nacional,,,Pernoctaciones,Residentes en España,2021M10,9526090,,,,,2021,10
Total Nacional,,,Pernoctaciones,Residentes en España,2021M09,11812962,,,,,2021,9
Total Nacional,,,Pernoctaciones,Residentes en España,2021M08,19570475,,,,,2021,8
Total Nacional,,,Pernoctaciones,Residentes en España,2021M07,14839925,,,,,2021,7
Total Nacional,,,Pernoctaciones,Residentes en España,2021M06,8961374,,,,,2021,6
Total Nacional,,,Pernoctaciones,Residentes en España,2021M05,4695099,,,,,2021,5
Total Nacional,,,Pernoctaciones,Residentes en España,2021M04,2841406,,,,,2021,4
Total Nacional,,,Pernoctaciones,Residentes en España,2021M03,2591447,,,,,2021,3
Total Nacional,,,Pernoctaciones,Residentes en España,2021M02,1774784,,,,,2021,2
Total Nacional,,,Pernoctaciones,Residentes en España,2021M01,1682063,,,,,2021,1
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M12,11317514,,,,,2025,12
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M11,12773320,,,,,2025,11
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M10,24715105,,,,,2025,10
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M09,27517185,,,,,2025,9
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M08,30962964,,,,,2025,8
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M07,29796067,,,,,2025,7
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M06,26790929,,,,,2025,6
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M05,24674795,,,,,2025,5
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M04,18856145,,,,,2025,4
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M03,14315812,,,,,2025,3
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M02,11819917,,,,,2025,2
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2025M01,11126796,,,,,2025,1
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M12,10818842,,,,,2024,12
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M11,12399638,,,,,2024,11
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M10,24222363,,,,,2024,10
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M09,27211161,,,,,2024,9
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M08,30450401,,,,,2024,8
