Puntos turísticos,Viajeros y pernoctaciones,Residencia,Periodo,Total,año,mes,cod_postal_ciudad,nombre_ciudad
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M06,46480,2024,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M05,46948,2024,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M04,41473,2024,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M03,50544,2024,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M02,37454,2024,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M01,35140,2024,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M12,43134,2023,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M11,43914,2023,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M10,49587,2023,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M09,51494,2023,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M08,61908,2023,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M07,44949,2023,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M06,40329,2023,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M05,38601,2023,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M04,40897,2023,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M03,38352,2023,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M02,32075,2023,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2023M01,33052,2023,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M12,38040,2022,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M11,36451,2022,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M10,42943,2022,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M09,41399,2022,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M08,53082,2022,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M07,43786,2022,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M06,38820,2022,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M05,39187,2022,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M04,39175,2022,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M03,36735,2022,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M02,29943,2022,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2022M01,24325,2022,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M12,34707,2021,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M11,34905,2021,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M10,43233,2021,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M09,38219,2021,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M08,55534,2021,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M07,36975,2021,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M06,28457,2021,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M05,21426,2021,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M04,19066,2021,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M03,18143,2021,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M02,12994,2021,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2021M01,11844,2021,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M12,18752,2025,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M11,20738,2025,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M10,28229,2025,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M09,27402,2025,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M08,30882,2025,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M07,36171,2025,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M06,23223,2025,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M05,24249,2025,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M04,20657,2025,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M03,18849,2025,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M02,12629,2025,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2025M01,14001,2025,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M12,15798,2024,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M11,15888,2024,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M10,21075,2024,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M09,21957,2024,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M08,27708,2024,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M07,31480,2024,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M06,19822,2024,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M05,20147,2024,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M04,18864,2024,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M03,17834,2024,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M02,14814,2024,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2024M01,15475,2024,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M12,12910,2023,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M11,16012,2023,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M10,19186,2023,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M09,23295,2023,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M08,27856,2023,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M07,29136,2023,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M06,17787,2023,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M05,16366,2023,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M04,13734,2023,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M03,12467,2023,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M02,12849,2023,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2023M01,9948,2023,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M12,8605,2022,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M11,10698,2022,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M10,14351,2022,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M09,15774,2022,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M08,22261,2022,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M07,25280,2022,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M06,15710,2022,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en el Extranjero,2022M05,13397,2022,5,01059,Vitoria-Gasteiz
