educacion_cat,labor_status,household_type,residence_type,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_line,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,44,2150,2021,1.0,0.0,1.0
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,78,2151,2022,1.0,0.0,0.0
Educación Secundaria,Desempleado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,1,0,0,0,0,0,1,0,47,2152,2021,1.0,0.0,0.0
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,43,2153,2022,1.0,1.0,0.0
Universidad,Desempleado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,46,2154,2022,1.0,1.0,
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,72,2155,2022,,,0.0
Universidad,Asalariado,Vive solo,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,37,2156,2022,0.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,35,2157,2021,1.0,1.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,29,2158,2022,0.0,1.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0,0,51,2159,2022,0.0,,1.0
Educación Secundaria,Otros inactivos,Otros adultos,,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,18,2160,2022,0.0,1.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,58,2161,2022,1.0,1.0,1.0
Educación Secundaria,Otros inactivos,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,66,2162,2021,1.0,1.0,
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,59,2163,2021,1.0,0.0,1.0
Educación Secundaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,76,2164,2021,1.0,0.0,1.0
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,1.0,1,1,1,0,0,0,0,0,0,1,27,2165,2022,0.0,1.0,0.0
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,19,2166,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,54,2167,2021,1.0,0.0,
Universidad,Jubilado,Otros adultos,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,79,2168,2021,0.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,49,2169,2022,1.0,1.0,1.0
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,56,2170,2022,1.0,0.0,1.0
Educación Secundaria,Desempleado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,47,2171,2021,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,46,2172,2021,1.0,1.0,1.0
Universidad,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,54,2173,2022,1.0,0.0,1.0
Educación Primaria,Desempleado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,38,2174,2022,1.0,0.0,0.0
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,2175,2021,1.0,1.0,0.0
Universidad,Autónomo,Vive con pareja,No posee residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,37,2176,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,19,2177,2022,0.0,0.0,
Universidad,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29,2178,2022,,1.0,
Educación Primaria,Asalariado,Vive solo,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,51,2179,2022,1.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,66,2180,2022,1.0,,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,46,2181,2022,1.0,1.0,0.0
Educación Primaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,21,2182,2022,,0.0,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,67,2183,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive solo,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,57,2184,2021,,0.0,1.0
Universidad,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,45,2185,2022,1.0,1.0,0.0
Educación Primaria,Jubilado,Otros adultos,No posee residencia principal,1.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,67,2186,2021,1.0,1.0,
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,37,2187,2022,0.0,0.0,0.0
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,78,2188,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,46,2189,2022,1.0,0.0,1.0
Educación Primaria,Jubilado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,79,2190,2022,,0.0,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,64,2191,2022,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,57,2192,2022,1.0,0.0,1.0
Educación Primaria,Autónomo,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,40,2193,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,34,2194,2022,1.0,1.0,0.0
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,68,2195,2022,,,
Universidad,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,36,2196,2022,,,0.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,39,2197,2021,1.0,0.0,0.0
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,18,2198,2022,1.0,1.0,
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,61,2199,2022,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,1,1,0,1,0,0,1,0,43,2200,2022,0.0,1.0,1.0
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,21,2201,2021,1.0,0.0,0.0
Educación Primaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,2202,2022,1.0,1.0,1.0
Educación Primaria,Otros inactivos,Vive solo,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,79,2203,2022,,,
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,42,2204,2022,1.0,0.0,1.0
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,52,2205,2022,,1.0,
Educación Primaria,Jubilado,Vive solo,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,72,2206,2022,1.0,1.0,1.0
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,21,2207,2022,0.0,0.0,0.0
Educación Primaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,2208,2022,0.0,1.0,0.0
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,71,2209,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,55,2210,2022,1.0,1.0,1.0
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,72,2211,2022,1.0,1.0,
Educación Primaria,Jubilado,Vive solo,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,70,2212,2022,1.0,0.0,1.0
Educación Secundaria,Autónomo,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,36,2213,2022,1.0,,
Universidad,Asalariado,,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,38,2214,2022,0.0,1.0,
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,45,2215,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,29,2216,2022,1.0,0.0,
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,59,2217,2022,1.0,0.0,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,69,2218,2021,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,38,2219,2021,1.0,0.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,36,2220,2021,1.0,0.0,0.0
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,23,2221,2022,1.0,0.0,0.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,50,2222,2022,1.0,1.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,62,2223,2022,1.0,0.0,1.0
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,21,2224,2022,0.0,0.0,0.0
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,79,2225,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,38,2226,2021,1.0,0.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,80,2227,2022,1.0,,
Educación Primaria,Desempleado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,36,2228,2022,1.0,1.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,56,2229,2022,1.0,0.0,
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,61,2230,2022,1.0,0.0,1.0
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,44,2231,2022,1.0,,
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,63,2232,2022,1.0,,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,63,2233,2022,1.0,,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,62,2234,2022,1.0,,1.0
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,33,2235,2022,1.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,51,2236,2022,1.0,1.0,1.0
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,48,2237,2021,1.0,1.0,
Educación Secundaria,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,34,2238,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,48,2239,2022,0.0,0.0,
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,63,2240,2022,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,59,2241,2022,0.0,,
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,38,2242,2022,1.0,0.0,0.0
Universidad,Autónomo,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,62,2243,2022,1.0,1.0,1.0
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,26,2244,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,42,2245,2021,1.0,1.0,1.0
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,62,2246,2022,0.0,,0.0
Universidad,Asalariado,,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,43,2247,2022,1.0,1.0,1.0
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,1,0,0,0,0,0,33,2248,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,46,2249,2022,0.0,0.0,1.0
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,24,2250,2021,1.0,1.0,0.0
Universidad,Asalariado,Otros adultos,No posee residencia principal,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,52,2251,2022,1.0,1.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,56,2252,2022,1.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,51,2253,2022,1.0,1.0,
Educación Secundaria,Asalariado,,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,42,2254,2022,,0.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,54,2255,2022,1.0,1.0,1.0
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,51,2256,2021,0.0,,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,32,2257,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive solo,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,64,2258,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,50,2259,2022,0.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,36,2260,2022,1.0,1.0,
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,74,2261,2021,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,2262,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,39,2263,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,26,2264,2022,1.0,0.0,1.0
Universidad,Desempleado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,57,2265,2021,1.0,0.0,1.0
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,41,2266,2022,1.0,,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,68,2267,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,39,2268,2021,1.0,1.0,0.0
Universidad,Asalariado,Vive solo,No posee residencia principal,0.0,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,1,0,29,2269,2022,1.0,0.0,1.0
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,18,2270,2021,1.0,1.0,0.0
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,72,2271,2021,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,2272,2022,1.0,0.0,0.0
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,46,2273,2022,1.0,,1.0
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,64,2274,2022,1.0,0.0,0.0
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,63,2275,2022,1.0,1.0,1.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,1,0,1,0,0,0,0,55,2276,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,0,1,0,1,0,0,0,0,0,0,34,2277,2021,0.0,1.0,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,24,2278,2022,1.0,1.0,0.0
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,54,2279,2022,1.0,0.0,1.0
Universidad,Desempleado,Vive solo,Residencia principal y otras,1.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,61,2280,2022,,0.0,1.0
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,27,2281,2021,1.0,1.0,0.0
Universidad,Autónomo,,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,44,2282,2022,,0.0,
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,1,0,1,48,2283,2022,1.0,1.0,1.0
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64,2284,2022,1.0,,1.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,49,2285,2022,1.0,0.0,0.0
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,0,0,70,2286,2022,1.0,0.0,0.0
Educación Primaria,Jubilado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,61,2287,2021,1.0,,
Educación Secundaria,Desempleado,Vive solo,No posee residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,41,2288,2022,1.0,0.0,0.0
Educación Secundaria,Otros inactivos,Vive solo,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,63,2289,2022,1.0,,0.0
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,78,2290,2022,0.0,1.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,44,2291,2022,1.0,0.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,23,2292,2022,0.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,34,2293,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,38,2294,2022,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,45,2295,2022,1.0,1.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,46,2296,2022,1.0,1.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,45,2297,2022,0.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,47,2298,2021,1.0,1.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,79,2299,2021,1.0,1.0,
Educación Secundaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,66,2300,2022,1.0,0.0,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,26,2301,2022,1.0,0.0,
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,29,2302,2021,1.0,1.0,1.0
Universidad,Autónomo,Otros adultos,Residencia principal y otras,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,24,2303,2022,1.0,0.0,1.0
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,74,2304,2022,0.0,0.0,1.0
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,0,0,1,1,0,0,0,0,0,0,58,2305,2021,0.0,1.0,1.0
