apartment_id,grupo_valoracion
3058834,Excelentes (9-10)
3059546,Excelentes (9-10)
3063249,Excelentes (9-10)
3068843,Excelentes (9-10)
3073348,Insuficiente Bajo (0-3)
3078803,Excelentes (9-10)
3080652,Insuficiente Bajo (0-3)
3085914,Excelentes (9-10)
3097328,Excelentes (9-10)
3097333,Excelentes (9-10)
3097665,Notables (7-9)
3099873,Notables (7-9)
3107364,Notables (7-9)
3110029,Excelentes (9-10)
3111682,Excelentes (9-10)
3120157,Excelentes (9-10)
3121700,Excelentes (9-10)
3124534,Excelentes (9-10)
3124611,Notables (7-9)
3124618,Excelentes (9-10)
3141128,Excelentes (9-10)
3142039,Excelentes (9-10)
3143400,Excelentes (9-10)
3154045,Excelentes (9-10)
3158706,Excelentes (9-10)
3160768,Excelentes (9-10)
3162501,Excelentes (9-10)
3163230,Notables (7-9)
3166047,Excelentes (9-10)
3166655,Excelentes (9-10)
3184899,Excelentes (9-10)
3191774,Excelentes (9-10)
3213245,Excelentes (9-10)
3215070,Notables (7-9)
3223060,Notables (7-9)
3227641,Excelentes (9-10)
3233342,Excelentes (9-10)
3238474,Notables (7-9)
3239311,Notables (7-9)
3240744,Notables (7-9)
3244300,Excelentes (9-10)
3248217,Excelentes (9-10)
3250010,Excelentes (9-10)
3255204,Excelentes (9-10)
3265618,Excelentes (9-10)
3269446,Excelentes (9-10)
3275784,Excelentes (9-10)
3279230,Excelentes (9-10)
3281769,Excelentes (9-10)
3283389,Excelentes (9-10)
3291065,Excelentes (9-10)
3295510,Excelentes (9-10)
3297333,Excelentes (9-10)
3305391,Excelentes (9-10)
3306010,Suficientes (5-7)
3306780,Notables (7-9)
3331046,Notables (7-9)
3331198,Excelentes (9-10)
3337390,Insuficiente Bajo (0-3)
3349247,Excelentes (9-10)
3352293,Excelentes (9-10)
3355955,Excelentes (9-10)
3357564,Notables (7-9)
3358639,Excelentes (9-10)
3360717,Excelentes (9-10)
3365438,Notables (7-9)
3366794,Notables (7-9)
3367356,Excelentes (9-10)
3375441,Notables (7-9)
3380578,Excelentes (9-10)
3381765,Excelentes (9-10)
3382429,Notables (7-9)
3392606,Excelentes (9-10)
3393502,Excelentes (9-10)
3396940,Excelentes (9-10)
3437355,Notables (7-9)
