Competencias,Año,Total empresas (sin filtrar),Empresa de entre 250 y 499 trabajadores,Empresa de servicios,Andalucía,Cataluña,Comunitat Valenciana,Comunidad de Madrid,País Vasco
Básicas de cálculo y/o comunicación oral o escrita,2023,1.9142120169537722,4.001633319722336,2.2582733322733777,1.0800810060754558,2.5303142786439,3.6384607318863376,2.704754922496858,0.5176238599950702
De atención al público/ trato a clientes,2023,21.546537946507925,20.048999591670068,27.663706362005133,21.496612245918445,20.386867936979296,19.730173709412465,27.010892333472977,17.804617533481228
De dirección,2023,11.720302260634622,19.844834626378113,11.605946351102732,12.363427257044279,11.366823393549451,9.99965048407955,13.636363636363637,13.68005915701257
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2023,12.089240358825876,13.719885667619437,13.872169350625752,11.130834812610946,14.394126866287223,14.53287197231834,11.232718894009217,11.461671185605127
De trabajo en equipo,2023,25.101615980470772,28.460596161698653,27.32357417039544,28.229617221291598,26.903406747504743,27.10845479011569,25.665060745705908,23.186262427080766
En lenguas extranjeras,2023,8.198404954988762,29.236423029808083,9.121675335589524,4.720354026551991,11.183287965025158,9.46489112579078,13.8903435274403,8.495604305315915
Generales de tecnologías de la información,2023,12.247243827002002,19.926500612494895,12.771708269925274,9.200690051753881,12.952651983832384,11.974415434623047,18.85735232509426,12.981677758606523
Otras,2023,18.897609802535165,15.067374438546345,18.12183432893452,20.809060679550967,20.40336550358822,16.626472335814896,15.532048596564726,16.128502177306714
Profesionales de tecnologías de la información,2023,6.125399452517983,8.697427521437321,7.41533604379131,4.812860964572343,6.82793038026891,5.854391667540456,11.855886049434437,4.527154712020376
Técnicas específicas del puesto de trabajo,2023,41.047325988805454,45.77378521845651,33.40109478274695,36.450233767532566,39.38794027880888,42.39977630981091,36.554775869292,49.338591734450745
Administrativas de oficina,2024,17.027644082438602,12.817506838608832,16.99453314349683,19.54953412731408,15.007949125596184,15.704426864164281,15.478526825538422,16.67228590694538
Básicas de cálculo y/o comunicación oral o escrita,2024,1.2549364432926078,2.1101992966002343,1.2661804823441185,0.8192511799662517,1.2221780604133545,1.2556808618077764,1.8019625334522749,0.13486176668914363
De atención al público/ trato a clientes,2024,24.5302665679378,21.570926143024618,31.456161897205707,25.978821745616393,27.003179650238472,26.110082477697357,23.626863769593474,25.429871881321645
De dirección,2024,16.34734049117611,25.322391559202813,16.439152691584518,17.53197525127779,16.39904610492846,13.011277562699883,17.451255256786034,16.410991233985165
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2024,11.20996853017401,15.787416959749903,10.889695573259138,14.668264410261427,9.848966613672497,8.769567412893453,11.076844654007902,13.393459204315576
De trabajo en equipo,2024,28.49484758731334,34.15396639312231,30.078035844319576,27.035288938886307,28.994435612082672,28.840262582056894,28.918057856505673,21.81389076196898
En lenguas extranjeras,2024,7.478711588300629,27.471668620554905,8.258974665521851,5.536670661025654,10.26033386327504,5.975425012624138,10.951956161590417,10.510788941335132
Generales de tecnologías de la información,2024,12.666990620757744,21.492770613520907,13.84158071493006,9.764984960015651,16.28974562798092,11.085675812152836,17.25755065630177,9.794335805799056
Otras,2024,13.934268172281872,14.146150840171941,13.40194980925779,14.929935682668559,11.563990461049285,16.599899006901197,13.110742959092647,11.126095751854349
Profesionales de tecnologías de la información,2024,5.3109187955078365,7.854630715123095,5.807584040691672,4.4606392604729646,5.9360095389507155,3.4303989227402796,7.809353893207596,7.02124072825354
Técnicas específicas del puesto de trabajo,2024,50.83880970011107,55.76397030089879,44.985816604897344,46.91007801227654,50.29213036565978,51.873421982831175,49.87893462469734,55.824342548887394
