Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M12;32.311
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M11;32.015
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M10;37.362
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M09;60.972
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M08;97.011
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M07;71.598
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M06;64.138
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M05;47.979
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M04;41.722
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M03;40.971
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M02;25.532
Andalucía: Costa De Almería;Viajero;Residentes en España;2002M01;21.330
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M12;28.060
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M11;26.555
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M10;36.805
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M09;51.434
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M08;80.378
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M07;57.774
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M06;55.711
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M05;35.780
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M04;57.412
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M03;36.640
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M02;29.686
Andalucía: Costa De Almería;Viajero;Residentes en España;2001M01;23.261
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M12;25.142
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M11;29.511
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M10;37.552
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M09;55.283
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M08;77.730
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M07;61.203
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M06;45.641
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M05;36.582
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M04;45.353
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M03;30.632
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M02;24.933
Andalucía: Costa De Almería;Viajero;Residentes en España;2000M01;20.272
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M12;20.997
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M11;22.073
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M10;39.729
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M09;54.934
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M08;88.517
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M07;72.137
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M06;51.653
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M05;39.521
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M04;46.611
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M03;45.340
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M02;27.593
Andalucía: Costa De Almería;Viajero;Residentes en España;1999M01;21.812
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2026M05;34.744
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2026M04;22.454
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2026M03;16.216
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2026M02;11.627
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2026M01;8.995
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M12;10.363
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M11;11.986
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M10;32.407
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M09;40.196
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M08;43.057
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M07;42.200
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M06;34.866
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M05;31.054
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M04;25.034
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M03;13.706
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M02;11.566
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2025M01;9.572
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M12;11.595
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M11;12.025
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M10;28.474
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M09;40.517
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M08;43.469
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M07;42.788
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M06;34.867
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M05;34.772
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M04;20.869
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M03;16.952
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M02;14.621
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2024M01;10.578
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M12;10.516
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M11;11.853
