apartment_id,city,room_type,price_€,availability_30,availability_60,availability_90,availability_365,has_availability_numeric,occupancy_30,occupancy_rate_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,rating_above_80
3496538,barcelona,Private room,190.0,3,14,44,319,,27,90.0,96.0,10.0,9.0,10.0,10.0,10.0,True
3735449,barcelona,Entire home/apt,1270.0,9,9,10,281,,21,70.0,91.0,9.0,9.0,10.0,10.0,9.0,True
5568602,barcelona,Private room,200.0,0,0,8,273,,30,100.0,95.0,9.0,10.0,10.0,10.0,10.0,True
7606874,barcelona,Entire home/apt,1000.0,9,23,53,328,,21,70.0,70.0,8.0,9.0,7.0,7.0,9.0,False
8110333,barcelona,Entire home/apt,,17,37,56,311,,13,43.33,85.0,9.0,9.0,10.0,9.0,10.0,True
1224896,barcelona,Entire home/apt,1140.0,6,6,8,207,,24,80.0,96.0,10.0,10.0,10.0,10.0,10.0,True
1492419,barcelona,Entire home/apt,1100.0,12,18,24,293,,18,60.0,85.0,9.0,8.0,10.0,9.0,9.0,True
8708285,barcelona,Entire home/apt,950.0,7,37,67,342,,23,76.67,90.0,9.0,9.0,10.0,10.0,9.0,True
13632619,barcelona,Private room,530.0,21,51,81,356,,9,30.0,89.0,9.0,8.0,9.0,8.0,10.0,True
13911372,barcelona,Private room,700.0,0,0,0,0,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
17052654,barcelona,Entire home/apt,1600.0,27,57,87,362,,3,10.0,,,,,,,
1241225,barcelona,Entire home/apt,3000.0,5,7,8,232,,25,83.33,88.0,9.0,9.0,9.0,9.0,9.0,True
6000811,barcelona,Entire home/apt,890.0,5,8,15,237,,25,83.33,93.0,10.0,9.0,10.0,10.0,10.0,True
17071473,barcelona,Private room,300.0,0,0,0,0,,30,100.0,,,,,,,
7696397,barcelona,Entire home/apt,2000.0,0,0,0,0,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
13958403,barcelona,Private room,170.0,13,43,73,348,,17,56.67,53.0,8.0,6.0,8.0,8.0,9.0,False
850228,barcelona,Private room,570.0,2,7,17,253,,28,93.33,92.0,9.0,9.0,10.0,10.0,10.0,True
865367,barcelona,Entire home/apt,1250.0,0,7,17,256,,30,100.0,86.0,8.0,9.0,9.0,9.0,9.0,True
13851443,barcelona,Entire home/apt,2990.0,28,58,88,363,,2,6.67,70.0,6.0,8.0,9.0,7.0,7.0,False
18056093,barcelona,Private room,450.0,0,0,15,15,,30,100.0,100.0,10.0,10.0,10.0,9.0,10.0,True
5327097,barcelona,Entire home/apt,3200.0,9,25,33,124,,21,70.0,93.0,10.0,10.0,10.0,10.0,9.0,True
1311003,barcelona,Private room,700.0,26,56,86,361,,4,13.33,92.0,9.0,10.0,10.0,10.0,10.0,True
10007695,barcelona,Private room,350.0,0,0,0,245,,30,100.0,,,,,,,
12249095,barcelona,Private room,100.0,0,0,0,126,,30,100.0,83.0,9.0,9.0,9.0,9.0,9.0,True
17716207,barcelona,Private room,350.0,3,15,45,136,,27,90.0,87.0,9.0,8.0,8.0,8.0,7.0,True
11968269,barcelona,Private room,300.0,23,53,83,358,,7,23.33,91.0,9.0,10.0,10.0,9.0,10.0,True
15849642,barcelona,Private room,370.0,6,26,26,257,,24,80.0,93.0,10.0,10.0,10.0,10.0,10.0,True
977631,barcelona,Entire home/apt,600.0,4,16,46,164,,26,86.67,92.0,9.0,9.0,9.0,10.0,9.0,True
12720502,barcelona,Private room,250.0,12,42,72,347,,18,60.0,96.0,10.0,10.0,10.0,10.0,10.0,True
4444415,barcelona,Entire home/apt,1500.0,2,6,19,236,,28,93.33,91.0,9.0,9.0,9.0,9.0,10.0,True
4415780,barcelona,Private room,250.0,0,0,0,0,,30,100.0,88.0,10.0,9.0,9.0,10.0,10.0,True
17587177,barcelona,Private room,500.0,12,38,62,337,,18,60.0,,,,,,,
11568875,barcelona,Private room,580.0,30,60,90,365,,0,0.0,88.0,9.0,9.0,10.0,10.0,9.0,True
11404229,barcelona,Entire home/apt,950.0,9,14,18,260,,21,70.0,,,,,,,
16234816,barcelona,Entire home/apt,600.0,4,16,30,57,,26,86.67,60.0,,4.0,6.0,8.0,8.0,False
1362147,barcelona,Entire home/apt,1800.0,0,0,0,245,,30,100.0,85.0,8.0,7.0,9.0,9.0,9.0,True
4042494,barcelona,Private room,450.0,0,0,0,0,,30,100.0,91.0,9.0,8.0,10.0,9.0,10.0,True
17471152,barcelona,Entire home/apt,910.0,14,34,47,320,,16,53.33,,,,,,,
7283797,barcelona,Private room,300.0,3,5,9,213,,27,90.0,82.0,8.0,9.0,9.0,9.0,9.0,True
2248576,barcelona,Entire home/apt,1650.0,3,4,6,73,,27,90.0,98.0,10.0,10.0,10.0,10.0,10.0,True
13166575,barcelona,Entire home/apt,2500.0,7,30,56,331,,23,76.67,88.0,9.0,10.0,10.0,9.0,10.0,True
3789444,barcelona,Private room,450.0,0,0,0,0,,30,100.0,,,,,,,
17461592,barcelona,Private room,1500.0,0,0,0,154,,30,100.0,,,,,,,
10160540,barcelona,Private room,400.0,0,12,25,69,,30,100.0,96.0,10.0,9.0,10.0,10.0,9.0,True
3879404,barcelona,Entire home/apt,1250.0,13,30,37,295,,17,56.67,86.0,9.0,9.0,9.0,10.0,10.0,True
5407955,barcelona,Private room,430.0,1,18,20,22,,29,96.67,95.0,9.0,9.0,10.0,10.0,10.0,True
14365279,barcelona,Entire home/apt,1050.0,6,6,12,216,,24,80.0,100.0,10.0,10.0,10.0,10.0,10.0,True
6442604,barcelona,Entire home/apt,3000.0,12,12,12,75,,18,60.0,80.0,10.0,8.0,10.0,10.0,6.0,False
13120331,barcelona,Entire home/apt,1500.0,13,43,73,100,,17,56.67,90.0,9.0,9.0,9.0,9.0,9.0,True
17655798,barcelona,Private room,450.0,0,29,59,90,,30,100.0,,,,,,,
18048634,barcelona,Private room,150.0,2,2,4,94,,28,93.33,,,,,,,
1967758,barcelona,Entire home/apt,2000.0,3,12,21,59,,27,90.0,75.0,9.0,8.0,8.0,9.0,9.0,False
18918158,barcelona,Entire home/apt,4000.0,15,28,35,281,,15,50.0,,,,,,,
17450124,barcelona,Entire home/apt,3940.0,22,52,78,264,,8,26.67,94.0,9.0,9.0,10.0,10.0,10.0,True
19031506,barcelona,Entire home/apt,1700.0,15,17,31,31,,15,50.0,,,,,,,
19025511,barcelona,Entire home/apt,2000.0,16,46,76,104,,14,46.67,,,,,,,
3215070,barcelona,Entire home/apt,950.0,0,0,0,0,,30,100.0,80.0,8.0,8.0,9.0,9.0,9.0,False
2146533,barcelona,Entire home/apt,3200.0,2,4,5,238,,28,93.33,90.0,8.0,9.0,10.0,10.0,9.0,True
17709960,barcelona,Entire home/apt,800.0,3,11,24,24,,27,90.0,80.0,9.0,7.0,10.0,10.0,10.0,False
18965530,barcelona,Private room,250.0,30,56,86,361,,0,0.0,60.0,6.0,6.0,6.0,8.0,,False
18918672,barcelona,Private room,250.0,30,60,90,365,,0,0.0,,,,,,,
16737061,barcelona,Private room,500.0,4,31,32,306,,26,86.67,98.0,10.0,10.0,10.0,10.0,10.0,True
1296977,barcelona,Entire home/apt,890.0,2,4,9,135,,28,93.33,88.0,9.0,9.0,9.0,9.0,10.0,True
15082579,barcelona,Entire home/apt,1500.0,4,23,46,166,,26,86.67,85.0,9.0,8.0,9.0,10.0,9.0,True
14922099,barcelona,Private room,990.0,29,59,89,364,,1,3.33,,,,,,,
14216516,barcelona,Private room,260.0,10,40,70,230,,20,66.67,95.0,9.0,10.0,9.0,9.0,9.0,True
14019469,barcelona,Private room,1100.0,0,0,1,253,,30,100.0,,,,,,,
13178927,barcelona,Private room,400.0,12,16,46,321,,18,60.0,89.0,9.0,10.0,10.0,9.0,9.0,True
6757485,barcelona,Private room,450.0,11,36,61,336,,19,63.33,97.0,10.0,10.0,10.0,10.0,10.0,True
