Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M05;425.062
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M04;289.548
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M03;236.723
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M02;146.315
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M01;87.563
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M12;125.034
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M11;123.299
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M10;304.108
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M09;506.602
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M08;926.999
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M07;792.592
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M06;544.596
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M05;333.797
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M04;342.736
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M03;133.476
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M02;131.055
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2023M01;84.890
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M12;76.967
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M11;131.802
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M10;402.464
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M09;385.375
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M08;271.820
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M07;294.434
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M06;355.141
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M05;349.132
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M04;250.394
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M03;151.849
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M02;98.236
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2025M01;73.659
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M12;60.935
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M11;113.913
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M10;359.806
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M09;381.736
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M08;290.990
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M07;308.287
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M06;352.172
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M05;360.991
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M04;266.336
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M03;147.001
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M02;104.792
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2024M01;68.169
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M12;61.476
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M11;102.178
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M10;363.400
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M09;385.431
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M08;274.188
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M07;275.043
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M06;308.120
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M05;310.833
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M04;266.454
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M03;144.583
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M02;85.583
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en el Extranjero;2023M01;53.589
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M12;9.176
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M11;9.903
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M10;16.829
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M09;28.774
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M08;44.103
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M07;44.681
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M06;34.957
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M05;21.851
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M04;18.473
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M03;9.331
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M02;7.924
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2025M01;5.013
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M12;8.462
