Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;16 País Vasco;01 Araba/Álava;Viajero;Total;Residentes en el Extranjero;2023M04;10.599
Total Nacional;16 País Vasco;01 Araba/Álava;Viajero;Total;Residentes en el Extranjero;2023M03;7.003
Total Nacional;16 País Vasco;01 Araba/Álava;Viajero;Total;Residentes en el Extranjero;2023M02;5.553
Total Nacional;16 País Vasco;01 Araba/Álava;Viajero;Total;Residentes en el Extranjero;2023M01;5.387
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M12;78.059
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M11;82.196
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M10;102.663
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M09;105.735
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M08;122.624
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M07;111.447
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M06;99.114
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M05;100.422
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M04;91.448
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M03;81.180
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M02;61.879
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2025M01;64.033
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M12;78.903
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M11;79.656
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M10;89.515
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M09;98.183
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M08;114.600
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M07;102.086
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M06;84.419
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M05;86.138
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M04;75.158
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M03;82.303
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M02;59.508
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2024M01;57.608
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M12;68.216
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M11;72.766
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M10;88.765
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M09;97.783
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M08;116.387
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M07;97.581
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M06;76.670
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M05;72.411
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M04;73.201
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M03;63.182
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M02;54.743
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;;2023M01;50.186
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M12;56.500
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M11;57.198
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M10;65.144
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M09;66.065
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M08;82.455
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M07;65.755
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M06;66.104
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M05;65.477
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M04;65.421
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M03;59.536
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M02;47.432
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2025M01;48.833
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M12;59.921
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M11;60.627
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M10;59.582
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M09;65.645
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M08;78.338
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M07;62.497
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M06;56.138
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M05;56.282
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M04;50.247
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M03;61.233
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M02;43.119
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2024M01;41.031
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M12;53.273
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M11;53.823
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M10;61.601
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M09;63.203
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M08;79.792
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M07;59.786
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M06;50.180
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M05;47.916
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M04;54.406
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M03;48.266
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M02;40.000
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en España;2023M01;38.834
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;21.558
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;24.999
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;37.519
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;39.671
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;40.169
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;45.691
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;33.010
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;34.945
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;26.028
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;21.643
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;14.447
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;15.199
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;18.982
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;19.028
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;29.933
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;32.539
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;36.261
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;39.589
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;28.282
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;29.856
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;24.911
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;21.070
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;16.388
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;16.576
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;14.943
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;18.943
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;27.164
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;34.580
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;36.595
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;37.796
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;26.489
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;24.495
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;18.795
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;14.916
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;14.743
Total Nacional;16 País Vasco;01 Araba/Álava;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;11.352
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M12;116.902
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M11;128.413
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M10;169.284
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M09;176.484
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M08;194.614
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M07;182.168
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M06;163.820
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M05;169.407
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M04;152.561
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M03;123.497
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M02;101.440
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2025M01;88.017
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M12;113.025
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M11;128.490
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M10;157.855
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M09;168.704
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M08;194.062
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M07;174.434
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M06;151.367
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M05;156.562
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M04;143.753
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M03;131.284
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M02;102.522
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2024M01;91.527
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M12;112.622
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M11;116.444
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M10;160.203
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M09;167.853
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M08;192.131
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M07;179.939
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M06;148.550
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M05;152.011
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M04;146.294
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M03;113.551
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M02;96.271
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;;2023M01;84.314
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M12;81.758
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M11;82.955
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M10;87.891
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M09;74.476
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M08;85.121
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M07;82.448
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M06;80.795
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M05;77.845
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M04;76.304
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M03;75.317
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M02;69.068
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2025M01;60.694
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M12;79.507
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M11;86.605
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M10;80.461
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M09;75.049
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M08;87.490
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M07;81.389
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M06;73.224
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M05;76.095
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M04;76.060
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M03;80.574
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M02;70.721
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2024M01;64.347
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M12;81.497
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M11;76.321
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M10;84.869
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M09;73.835
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M08;91.879
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M07;88.848
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M06;72.125
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M05;73.754
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M04;80.945
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M03;76.912
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M02;66.794
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en España;2023M01;61.501
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M12;35.144
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M11;45.458
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M10;81.393
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M09;102.008
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M08;109.494
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M07;99.720
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M06;83.026
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M05;91.562
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M04;76.257
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M03;48.180
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M02;32.372
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2025M01;27.323
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M12;33.518
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M11;41.884
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M10;77.394
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M09;93.655
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M08;106.572
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M07;93.045
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M06;78.143
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M05;80.467
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M04;67.692
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M03;50.710
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M02;31.801
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2024M01;27.180
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M12;31.125
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M11;40.123
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M10;75.334
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M09;94.019
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M08;100.252
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M07;91.091
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M06;76.425
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M05;78.257
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M04;65.349
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M03;36.639
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M02;29.477
Total Nacional;16 País Vasco;48 Bizkaia;Viajero;Total;Residentes en el Extranjero;2023M01;22.813
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M12;213.882
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M11;241.240
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M10;321.021
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M09;344.334
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M08;415.888
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M07;365.818
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M06;321.798
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M05;324.120
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M04;287.784
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M03;231.038
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M02;188.323
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2025M01;163.445
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M12;207.061
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M11;238.028
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M10;302.657
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M09;326.452
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M08;406.955
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M07;346.854
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M06;292.408
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M05;296.770
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M04;264.512
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M03;250.069
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M02;186.672
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2024M01;161.406
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M12;203.725
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M11;211.889
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M10;307.769
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M09;331.417
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M08;412.289
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M07;347.654
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M06;285.723
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M05;288.077
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M04;280.182
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M03;204.612
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M02;177.265
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;;2023M01;152.613
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M12;142.210
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M11;145.518
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M10;157.841
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M09;138.275
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M08;184.574
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M07;165.863
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M06;151.563
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M05;141.430
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M04;135.656
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M03;132.840
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M02;123.537
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2025M01;106.538
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M12;139.950
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M11;150.756
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M10;148.058
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M09;140.967
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M08;193.841
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M07;160.933
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M06;137.198
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M05;135.944
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M04;128.884
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M03;142.339
Total Nacional;16 País Vasco;48 Bizkaia;Pernoctaciones;Total;Residentes en España;2024M02;122.604
