Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M05;957.681
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M04;865.459
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M03;693.640
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M02;676.294
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M01;537.216
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M12;643.956
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M11;673.668
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M10;795.523
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M09;987.854
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M08;1.260.924
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M07;1.135.161
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M06;1.103.063
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M05;1.011.206
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M04;874.510
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M03;860.283
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M02;705.236
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2024M01;569.160
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M12;710.935
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M11;673.931
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M10;881.182
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M09;1.040.799
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M08;1.352.621
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M07;1.280.780
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M06;1.118.880
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M05;920.523
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M04;980.532
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M03;804.822
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M02;700.088
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2023M01;571.285
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M12;511.783
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M11;620.454
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M10;1.059.793
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M09;1.033.989
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M08;953.167
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M07;897.011
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M06;952.587
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M05;1.078.309
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M04;995.260
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M03;704.026
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M02;513.225
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2025M01;458.188
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M12;464.561
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M11;595.723
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M10;1.040.217
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M09;1.025.343
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M08;947.991
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M07;875.160
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M06;908.332
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M05;1.074.016
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M04;979.158
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M03;735.543
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M02;553.058
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2024M01;471.847
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M12;459.144
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M11;565.192
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M10;992.345
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M09;984.701
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M08;915.299
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M07;834.062
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M06;841.096
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M05;963.125
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M04;872.429
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M03;614.154
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M02;423.258
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en el Extranjero;2023M01;383.406
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M12;2.693.046
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M11;3.145.703
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M10;5.250.858
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M09;6.176.273
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M08;7.586.225
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M07;6.857.986
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M06;6.009.338
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M05;5.608.740
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M04;5.013.182
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M03;3.689.956
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M02;2.887.855
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2025M01;2.298.453
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M12;2.515.502
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M11;3.068.171
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M10;5.141.230
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M09;6.077.011
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M08;7.371.761
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M07;6.596.411
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M06;5.821.636
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M05;5.654.996
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M04;4.820.554
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M03;4.211.220
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M02;2.998.691
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2024M01;2.326.205
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M12;2.634.889
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M11;2.939.322
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M10;5.094.430
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M09;5.995.077
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M08;7.427.401
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M07;6.589.030
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M06;5.606.917
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M05;5.089.138
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M04;4.825.981
Total Nacional;01 Andalucía;;Pernoctaciones;Total;;2023M03;3.361.190
