Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M11;3,41
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M10;3,42
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M09;3,93
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M08;3,48
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M07;3,58
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M06;3,72
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M05;4,23
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M04;3,57
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M03;3,71
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M02;3,04
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M01;3,51
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M12;3,63
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M11;3,46
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M10;3,68
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M09;3,89
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M08;3,54
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M07;3,67
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M06;3,79
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M05;3,54
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M04;3,24
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M03;3,08
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M02;3,3
Total Nacional;;Viajero;Total Nacional;05 Canarias;2024M01;3,38
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M12;3,19
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M11;3,14
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M10;3,42
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M09;3,61
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M08;3,33
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M07;3,58
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M06;3,38
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M05;3,75
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M04;3,49
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M03;2,95
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M02;2,95
Total Nacional;;Viajero;Total Nacional;05 Canarias;2023M01;3,13
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M12;1,37
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M11;1,32
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M10;1,48
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M09;1,5
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M08;1
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M07;1,28
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M06;1,38
