Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2025M05;9,95
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2025M04;9,03
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2025M03;10,95
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2025M02;10,27
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2025M01;6,62
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M12;11,55
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M11;9,01
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M10;9,02
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M09;10,41
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M08;15,84
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M07;12,11
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M06;8,89
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M05;5,79
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M04;6,55
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M03;9,56
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M02;9,55
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2024M01;7,45
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M12;9,49
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M11;11,55
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M10;9,01
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M09;9,06
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M08;13,16
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M07;11,35
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M06;8,07
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M05;5,94
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M04;5,7
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M03;7,72
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M02;11,26
Total Nacional;40 Segovia;Viajero;Total Nacional;01 Andalucía;2023M01;7,71
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M12;2,24
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M11;2,07
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M10;2,34
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M09;2,08
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M08;1,92
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M07;1,88
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M06;1,72
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M05;2,57
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M04;1,89
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M03;2,62
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M02;2,14
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2025M01;2,06
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M12;2,08
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M11;1,56
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M10;1,88
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M09;2,69
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M08;1,72
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M07;1,52
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M06;1,6
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M05;2,12
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M04;3,48
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M03;2,01
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M02;1,82
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2024M01;2,79
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M12;1,81
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M11;1,93
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M10;1,76
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M09;1,57
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M08;1,1
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M07;1,5
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M06;1,25
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M05;2,22
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M04;2,46
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M03;1,94
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M02;1,51
Total Nacional;40 Segovia;Viajero;Total Nacional;02 Aragón;2023M01;1,65
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M12;1,56
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M11;2,21
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M10;2,25
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M09;2,46
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M08;1,56
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M07;3,61
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M06;2,87
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M05;2,24
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M04;2,54
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M03;2,1
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M02;1,58
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2025M01;2,06
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M12;2,7
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M11;2,07
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M10;3,76
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M09;3,14
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M08;2,24
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M07;5,12
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M06;3,48
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M05;3,62
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M04;2,89
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M03;2,09
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M02;2,56
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2024M01;1,6
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M12;2,25
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M11;2,22
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M10;2,06
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M09;2,13
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M08;1,57
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M07;2,12
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M06;2,54
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M05;2,83
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M04;2,24
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M03;2,08
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M02;1,42
Total Nacional;40 Segovia;Viajero;Total Nacional;03 Asturias, Principado de;2023M01;1,86
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M12;1,29
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M11;3,48
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M10;1,3
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M09;0,96
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M08;0,48
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M07;0,76
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M06;1,11
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M05;1,86
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M04;1,06
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M03;1,09
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M02;0,79
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2025M01;2,26
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M12;1,83
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M11;0,9
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M10;1,35
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M09;0,95
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M08;0,48
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M07;0,41
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M06;1,73
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M05;0,72
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M04;1,29
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M03;0,62
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M02;0,97
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2024M01;2,26
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M12;1,53
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M11;0,98
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M10;1,09
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M09;0,95
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M08;0,43
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M07;0,46
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M06;0,78
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M05;0,49
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M04;1,88
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M03;0,59
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M02;1,22
Total Nacional;40 Segovia;Viajero;Total Nacional;04 Balears, Illes;2023M01;0,84
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M12;1,4
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M11;1,44
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M10;1,14
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M09;0,95
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M08;0,65
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M07;0,76
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M06;0,98
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M05;1,69
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M04;1,88
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M03;1,63
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M02;1,21
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2025M01;1,36
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M12;1,6
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M11;1,07
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M10;1,3
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M09;1,23
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M08;0,87
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M07;1,13
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M06;1,57
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M05;1,46
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M04;1,95
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M03;1,29
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M02;1,2
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2024M01;0,8
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M12;0,89
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M11;1,1
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M10;1,39
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M09;0,87
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M08;0,59
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M07;0,72
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M06;1,18
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M05;1,14
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M04;1,72
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M03;0,69
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M02;1
Total Nacional;40 Segovia;Viajero;Total Nacional;05 Canarias;2023M01;1,1
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M12;1,46
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M11;1,8
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M10;2,57
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M09;2,23
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M08;1,16
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M07;1,61
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M06;2,12
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M05;2,12
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M04;1,82
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M03;0,95
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M02;2,6
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2025M01;1,74
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M12;1,55
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M11;1,61
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M10;1,54
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M09;2,65
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M08;0,82
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M07;1,14
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M06;1,27
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M05;1,21
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M04;1,45
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M03;2,69
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M02;2,05
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2024M01;1,26
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M12;1,15
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M11;1,31
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M10;2,07
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M09;1,35
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M08;0,66
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M07;1,03
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M06;1,43
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M05;1,45
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M04;1,46
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M03;1,57
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M02;1,32
Total Nacional;40 Segovia;Viajero;Total Nacional;06 Cantabria;2023M01;0,91
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M12;13,12
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M11;12,18
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M10;13,94
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M09;12,76
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M08;8,53
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M07;9,62
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M06;14,29
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M05;13,4
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M04;12,03
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M03;12,61
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M02;11,26
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2025M01;11,41
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M12;11,25
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M11;12,65
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M10;14,02
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M09;14,73
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M08;8,49
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M07;11,62
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M06;13,78
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M05;15,4
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M04;12,81
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M03;10,5
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M02;14,49
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2024M01;11,37
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M12;9,11
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M11;9,34
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M10;12,57
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M09;13,54
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M08;14,82
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M07;13,18
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M06;14,36
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M05;17,31
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M04;12,79
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M03;18,81
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M02;18,05
Total Nacional;40 Segovia;Viajero;Total Nacional;07 Castilla y León;2023M01;16,76
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M12;6,94
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M11;6,01
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M10;4,85
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M09;4,55
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M08;4,48
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M07;5,18
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M06;4,01
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M05;5,43
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M04;5,09
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M03;6,64
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M02;6,61
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2025M01;6,75
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M12;5,75
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M11;6,78
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M10;5,06
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M09;4,86
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M08;4,11
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M07;5,31
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M06;4,85
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M05;6,06
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M04;6,64
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M03;6,74
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M02;6,14
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2024M01;5,72
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M12;5,31
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M11;5,27
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M10;4,82
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M09;6,01
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M08;3,96
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M07;3,46
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M06;3,86
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M05;5,02
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M04;11,48
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M03;5,64
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M02;7,06
Total Nacional;40 Segovia;Viajero;Total Nacional;08 Castilla - La Mancha;2023M01;6,23
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M12;5,31
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M11;5,38
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M10;6,12
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M09;8,85
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M08;8,24
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M07;4,01
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M06;5,89
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M05;6,36
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M04;5,77
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M03;4,99
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M02;5,6
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2025M01;5,28
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M12;5,37
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M11;5,22
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M10;6,4
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M09;6,19
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M08;8,89
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M07;4,79
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M06;4,69
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M05;6,38
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M04;6,12
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M03;6,61
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M02;4,24
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2024M01;6,06
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M12;12,03
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M11;10,67
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M10;8,82
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M09;7,23
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M08;8,19
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M07;5,85
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M06;5,53
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M05;7,31
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M04;5,6
Total Nacional;40 Segovia;Viajero;Total Nacional;09 Cataluña;2023M03;8,54
