Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
02003 Albacete;Viajero;Residentes en el Extranjero;2023M03;2.018
02003 Albacete;Viajero;Residentes en el Extranjero;2023M02;1.720
02003 Albacete;Viajero;Residentes en el Extranjero;2023M01;1.634
02003 Albacete;Pernoctaciones;Residentes en España;2025M12;22.304
02003 Albacete;Pernoctaciones;Residentes en España;2025M11;24.341
02003 Albacete;Pernoctaciones;Residentes en España;2025M10;30.159
02003 Albacete;Pernoctaciones;Residentes en España;2025M09;31.198
02003 Albacete;Pernoctaciones;Residentes en España;2025M08;22.356
02003 Albacete;Pernoctaciones;Residentes en España;2025M07;22.796
02003 Albacete;Pernoctaciones;Residentes en España;2025M06;25.689
02003 Albacete;Pernoctaciones;Residentes en España;2025M05;27.488
02003 Albacete;Pernoctaciones;Residentes en España;2025M04;26.455
02003 Albacete;Pernoctaciones;Residentes en España;2025M03;24.360
02003 Albacete;Pernoctaciones;Residentes en España;2025M02;21.153
02003 Albacete;Pernoctaciones;Residentes en España;2025M01;16.641
02003 Albacete;Pernoctaciones;Residentes en España;2024M12;19.171
02003 Albacete;Pernoctaciones;Residentes en España;2024M11;19.112
02003 Albacete;Pernoctaciones;Residentes en España;2024M10;24.497
02003 Albacete;Pernoctaciones;Residentes en España;2024M09;25.630
02003 Albacete;Pernoctaciones;Residentes en España;2024M08;19.470
02003 Albacete;Pernoctaciones;Residentes en España;2024M07;19.188
02003 Albacete;Pernoctaciones;Residentes en España;2024M06;23.956
02003 Albacete;Pernoctaciones;Residentes en España;2024M05;23.489
02003 Albacete;Pernoctaciones;Residentes en España;2024M04;24.428
02003 Albacete;Pernoctaciones;Residentes en España;2024M03;23.411
02003 Albacete;Pernoctaciones;Residentes en España;2024M02;19.453
02003 Albacete;Pernoctaciones;Residentes en España;2024M01;16.663
02003 Albacete;Pernoctaciones;Residentes en España;2023M12;22.411
02003 Albacete;Pernoctaciones;Residentes en España;2023M11;25.601
02003 Albacete;Pernoctaciones;Residentes en España;2023M10;26.223
02003 Albacete;Pernoctaciones;Residentes en España;2023M09;30.195
02003 Albacete;Pernoctaciones;Residentes en España;2023M08;20.337
02003 Albacete;Pernoctaciones;Residentes en España;2023M07;22.123
02003 Albacete;Pernoctaciones;Residentes en España;2023M06;26.812
02003 Albacete;Pernoctaciones;Residentes en España;2023M05;22.822
02003 Albacete;Pernoctaciones;Residentes en España;2023M04;26.468
02003 Albacete;Pernoctaciones;Residentes en España;2023M03;24.785
02003 Albacete;Pernoctaciones;Residentes en España;2023M02;19.412
02003 Albacete;Pernoctaciones;Residentes en España;2023M01;17.264
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M12;3.550
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M11;6.961
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M10;5.463
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M09;6.521
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M08;4.048
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M07;4.208
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M06;4.041
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M05;5.972
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M04;4.965
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M03;4.215
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M02;5.473
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2025M01;3.836
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M12;3.096
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M11;10.476
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M10;4.971
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M09;5.066
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M08;4.009
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M07;3.780
