Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M10;167.854
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M09;151.807
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M08;195.557
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M07;151.855
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M06;148.154
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M05;148.921
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M04;145.909
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M03;121.747
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M02;76.896
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2025M01;66.610
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M12;98.395
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M11;124.414
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M10;148.369
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M09;135.765
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M08;182.580
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M07;140.457
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M06;131.874
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M05;129.757
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M04;118.812
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M03;119.922
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M02;74.157
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2024M01;60.411
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M12;86.216
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M11;115.766
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M10;152.870
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M09;142.844
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M08;173.355
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M07;137.235
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M06;127.914
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M05;115.942
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M04;140.010
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M03;107.128
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M02;75.029
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2023M01;58.946
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M12;79.816
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M11;106.019
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M10;152.223
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M09;135.597
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M08;178.587
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M07;132.529
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M06;126.781
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M05;117.297
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M04;127.702
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M03;98.074
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M02;74.804
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en España;Pernoctaciones;2022M01;51.910
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2026M03;16.140
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2026M02;10.440
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2026M01;10.182
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M12;11.990
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M11;14.450
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M10;27.163
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M09;45.155
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M08;45.982
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M07;37.415
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M06;32.951
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M05;45.290
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M04;31.330
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M03;14.847
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M02;11.736
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2025M01;8.983
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M12;12.429
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M11;13.685
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M10;25.345
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M09;42.718
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M08;44.852
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M07;38.688
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M06;29.943
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M05;40.802
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M04;30.834
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M03;16.782
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M02;10.016
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2024M01;9.477
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M12;11.709
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M11;12.072
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M10;24.098
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M09;40.508
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M08;40.198
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M07;37.860
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M06;31.633
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M05;40.688
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M04;28.965
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M03;14.685
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M02;9.585
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2023M01;9.223
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M12;10.187
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M11;12.227
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M10;23.198
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M09;37.234
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M08;45.586
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M07;34.930
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M06;29.313
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M05;32.934
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M04;23.867
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M03;11.633
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M02;8.379
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Viajero;2022M01;6.802
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;36.200
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;25.851
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;24.838
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;25.807
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M11;37.945
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M10;48.702
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M09;71.155
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M08;70.113
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M07;66.056
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M06;54.584
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M05;74.465
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M04;48.401
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;30.716
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;25.935
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;20.321
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;22.353
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;28.445
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;42.683
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;63.819
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;81.926
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;66.184
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;47.438
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;63.735
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;46.164
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;29.652
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;19.479
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;17.883
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;20.148
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;23.538
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;37.645
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;61.303
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;64.224
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;62.569
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;50.921
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;62.292
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;45.761
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;25.723
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;18.806
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;17.642
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;16.884
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;21.908
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;37.486
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;55.189
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;67.828
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;59.214
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;43.280
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;51.700
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;35.774
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;21.945
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;15.132
Total Nacional;15 Navarra, Comunidad Foral de;;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;14.157
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2026M03;59.408
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2026M02;42.300
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2026M01;41.811
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M12;49.344
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M11;61.524
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M10;82.022
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M09;77.192
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M08;88.829
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M07;69.566
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M06;73.632
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M05;73.798
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M04;70.366
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M03;61.950
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M02;44.974
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2025M01;39.873
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M12;54.939
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M11;60.877
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M10;74.951
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M09;69.038
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M08;82.111
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M07;66.598
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M06;68.316
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M05;67.844
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M04;61.430
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M03;62.647
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M02;44.277
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2024M01;36.618
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M12;52.464
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M11;57.745
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M10;74.294
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M09;73.300
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M08;84.441
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M07;68.417
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M06;67.088
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M05;61.889
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M04;72.664
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M03;57.515
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M02;43.761
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2023M01;35.412
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M12;46.776
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M11;54.646
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M10;76.216
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M09;70.809
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M08;85.584
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M07;69.289
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M06;66.879
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M05;61.664
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M04;67.900
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M03;51.681
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M02;43.592
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Viajero;2022M01;29.734
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2026M03;105.114
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2026M02;75.960
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2026M01;73.081
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M12;87.850
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M11;130.616
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M10;167.854
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M09;151.807
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M08;195.557
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M07;151.855
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M06;148.154
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M05;148.921
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M04;145.909
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M03;121.747
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M02;76.896
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2025M01;66.610
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M12;98.395
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M11;124.414
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M10;148.369
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M09;135.765
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M08;182.580
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M07;140.457
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M06;131.874
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M05;129.757
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M04;118.812
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M03;119.922
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M02;74.157
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2024M01;60.411
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M12;86.216
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M11;115.766
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M10;152.870
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M09;142.844
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M08;173.355
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M07;137.235
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M06;127.914
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M05;115.942
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M04;140.010
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M03;107.128
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M02;75.029
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2023M01;58.946
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M12;79.816
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M11;106.019
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M10;152.223
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M09;135.597
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M08;178.587
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M07;132.529
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M06;126.781
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M05;117.297
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M04;127.702
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M03;98.074
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Total;Residentes en España;Pernoctaciones;2022M02;74.804
