Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M08;802.011
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M07;752.937
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M06;779.523
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M05;829.183
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M04;702.483
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M03;452.199
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M02;306.290
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Viajero;2022M01;232.478
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;2.353.214
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;1.636.792
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;1.442.240
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;1.383.688
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M11;1.834.213
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M10;3.547.528
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M09;3.551.655
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M08;3.460.312
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M07;3.221.788
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M06;3.363.599
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M05;3.372.594
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M04;3.000.282
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;2.185.349
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;1.576.699
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;1.300.310
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;1.270.713
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.773.996
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;3.475.540
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;3.564.274
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;3.386.289
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;3.154.973
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;3.175.795
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;3.401.017
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;2.921.593
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;2.272.792
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;1.625.402
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;1.308.731
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;1.245.964
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.660.282
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;3.277.315
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;3.408.937
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;3.268.914
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;2.978.108
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;2.957.511
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;3.110.671
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;2.685.809
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;1.777.406
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;1.237.573
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;1.040.807
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;947.588
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;1.261.143
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;2.766.552
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;2.997.664
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;2.948.620
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;2.716.268
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;2.786.431
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;2.715.870
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;2.210.138
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;1.404.420
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;880.150
Total Nacional;01 Andalucía;;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;636.977
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2026M03;67.487
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2026M02;45.809
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2026M01;25.026
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M12;38.528
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M11;42.064
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M10;81.044
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M09;146.143
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M08;230.759
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M07;194.704
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M06;175.501
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M05;115.078
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M04;85.455
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M03;54.452
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M02;51.104
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2025M01;26.043
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M12;37.013
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M11;34.901
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M10;70.109
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M09;138.578
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M08;201.399
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M07;180.572
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M06;150.095
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M05;110.382
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M04;79.097
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M03;69.043
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M02;47.205
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2024M01;25.206
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M12;36.400
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M11;35.432
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M10;72.821
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M09;138.121
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M08;204.593
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M07;190.092
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M06;148.413
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M05;90.751
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M04;80.703
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M03;49.825
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M02;41.385
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2023M01;29.075
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M12;33.013
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M11;38.622
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M10;71.229
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M09;142.904
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M08;206.936
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M07;189.343
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M06;153.172
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M05;90.422
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M04;70.416
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M03;42.511
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M02;39.146
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Viajero;2022M01;22.290
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2026M03;246.903
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2026M02;122.739
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2026M01;54.013
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M12;80.823
