Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;07 Castilla y León;47 Valladolid;2025M11;1,79
Total Nacional;07 Castilla y León;47 Valladolid;2025M10;1,83
Total Nacional;07 Castilla y León;47 Valladolid;2025M09;1,75
Total Nacional;07 Castilla y León;47 Valladolid;2025M08;1,64
Total Nacional;07 Castilla y León;47 Valladolid;2025M07;1,74
Total Nacional;07 Castilla y León;47 Valladolid;2025M06;1,80
Total Nacional;07 Castilla y León;47 Valladolid;2025M05;1,77
Total Nacional;07 Castilla y León;47 Valladolid;2025M04;1,83
Total Nacional;07 Castilla y León;47 Valladolid;2025M03;1,82
Total Nacional;07 Castilla y León;47 Valladolid;2025M02;1,78
Total Nacional;07 Castilla y León;47 Valladolid;2025M01;1,79
Total Nacional;07 Castilla y León;47 Valladolid;2024M12;1,85
Total Nacional;07 Castilla y León;47 Valladolid;2024M11;1,79
Total Nacional;07 Castilla y León;47 Valladolid;2024M10;1,75
Total Nacional;07 Castilla y León;47 Valladolid;2024M09;1,83
Total Nacional;07 Castilla y León;47 Valladolid;2024M08;1,77
Total Nacional;07 Castilla y León;47 Valladolid;2024M07;1,75
Total Nacional;07 Castilla y León;47 Valladolid;2024M06;1,87
Total Nacional;07 Castilla y León;47 Valladolid;2024M05;1,80
Total Nacional;07 Castilla y León;47 Valladolid;2024M04;1,74
Total Nacional;07 Castilla y León;47 Valladolid;2024M03;1,83
Total Nacional;07 Castilla y León;47 Valladolid;2024M02;1,74
Total Nacional;07 Castilla y León;47 Valladolid;2024M01;1,80
Total Nacional;07 Castilla y León;47 Valladolid;2023M12;1,97
Total Nacional;07 Castilla y León;47 Valladolid;2023M11;1,74
Total Nacional;07 Castilla y León;47 Valladolid;2023M10;1,79
Total Nacional;07 Castilla y León;47 Valladolid;2023M09;1,77
Total Nacional;07 Castilla y León;47 Valladolid;2023M08;1,64
Total Nacional;07 Castilla y León;47 Valladolid;2023M07;1,64
Total Nacional;07 Castilla y León;47 Valladolid;2023M06;1,75
Total Nacional;07 Castilla y León;47 Valladolid;2023M05;1,74
Total Nacional;07 Castilla y León;47 Valladolid;2023M04;1,76
Total Nacional;07 Castilla y León;47 Valladolid;2023M03;1,72
Total Nacional;07 Castilla y León;47 Valladolid;2023M02;1,71
Total Nacional;07 Castilla y León;47 Valladolid;2023M01;1,71
Total Nacional;07 Castilla y León;47 Valladolid;2022M12;1,80
Total Nacional;07 Castilla y León;47 Valladolid;2022M11;1,70
Total Nacional;07 Castilla y León;47 Valladolid;2022M10;1,70
Total Nacional;07 Castilla y León;47 Valladolid;2022M09;1,69
Total Nacional;07 Castilla y León;47 Valladolid;2022M08;1,60
Total Nacional;07 Castilla y León;47 Valladolid;2022M07;1,62
Total Nacional;07 Castilla y León;47 Valladolid;2022M06;1,69
Total Nacional;07 Castilla y León;47 Valladolid;2022M05;1,67
Total Nacional;07 Castilla y León;47 Valladolid;2022M04;1,70
Total Nacional;07 Castilla y León;47 Valladolid;2022M03;1,67
Total Nacional;07 Castilla y León;47 Valladolid;2022M02;1,59
Total Nacional;07 Castilla y León;47 Valladolid;2022M01;1,67
Total Nacional;07 Castilla y León;49 Zamora;2026M03;1,68
Total Nacional;07 Castilla y León;49 Zamora;2026M02;1,64
Total Nacional;07 Castilla y León;49 Zamora;2026M01;1,67
Total Nacional;07 Castilla y León;49 Zamora;2025M12;1,60
Total Nacional;07 Castilla y León;49 Zamora;2025M11;1,73
Total Nacional;07 Castilla y León;49 Zamora;2025M10;1,63
Total Nacional;07 Castilla y León;49 Zamora;2025M09;1,68
Total Nacional;07 Castilla y León;49 Zamora;2025M08;1,59
Total Nacional;07 Castilla y León;49 Zamora;2025M07;1,67
Total Nacional;07 Castilla y León;49 Zamora;2025M06;1,68
Total Nacional;07 Castilla y León;49 Zamora;2025M05;1,69
Total Nacional;07 Castilla y León;49 Zamora;2025M04;1,64
Total Nacional;07 Castilla y León;49 Zamora;2025M03;1,70
Total Nacional;07 Castilla y León;49 Zamora;2025M02;1,67
Total Nacional;07 Castilla y León;49 Zamora;2025M01;1,64
Total Nacional;07 Castilla y León;49 Zamora;2024M12;1,70
Total Nacional;07 Castilla y León;49 Zamora;2024M11;1,71
Total Nacional;07 Castilla y León;49 Zamora;2024M10;1,68
Total Nacional;07 Castilla y León;49 Zamora;2024M09;1,71
Total Nacional;07 Castilla y León;49 Zamora;2024M08;1,66
Total Nacional;07 Castilla y León;49 Zamora;2024M07;1,69
Total Nacional;07 Castilla y León;49 Zamora;2024M06;1,69
Total Nacional;07 Castilla y León;49 Zamora;2024M05;1,61
Total Nacional;07 Castilla y León;49 Zamora;2024M04;1,55
Total Nacional;07 Castilla y León;49 Zamora;2024M03;1,78
Total Nacional;07 Castilla y León;49 Zamora;2024M02;1,73
Total Nacional;07 Castilla y León;49 Zamora;2024M01;1,82
Total Nacional;07 Castilla y León;49 Zamora;2023M12;1,76
Total Nacional;07 Castilla y León;49 Zamora;2023M11;1,78
Total Nacional;07 Castilla y León;49 Zamora;2023M10;1,67
Total Nacional;07 Castilla y León;49 Zamora;2023M09;1,70
Total Nacional;07 Castilla y León;49 Zamora;2023M08;1,65
Total Nacional;07 Castilla y León;49 Zamora;2023M07;1,67
Total Nacional;07 Castilla y León;49 Zamora;2023M06;1,77
Total Nacional;07 Castilla y León;49 Zamora;2023M05;1,66
Total Nacional;07 Castilla y León;49 Zamora;2023M04;1,69
Total Nacional;07 Castilla y León;49 Zamora;2023M03;1,85
Total Nacional;07 Castilla y León;49 Zamora;2023M02;1,80
Total Nacional;07 Castilla y León;49 Zamora;2023M01;1,64
Total Nacional;07 Castilla y León;49 Zamora;2022M12;1,54
Total Nacional;07 Castilla y León;49 Zamora;2022M11;1,63
Total Nacional;07 Castilla y León;49 Zamora;2022M10;1,62
Total Nacional;07 Castilla y León;49 Zamora;2022M09;1,64
Total Nacional;07 Castilla y León;49 Zamora;2022M08;1,65
Total Nacional;07 Castilla y León;49 Zamora;2022M07;1,65
Total Nacional;07 Castilla y León;49 Zamora;2022M06;1,67
Total Nacional;07 Castilla y León;49 Zamora;2022M05;1,64
Total Nacional;07 Castilla y León;49 Zamora;2022M04;1,73
Total Nacional;07 Castilla y León;49 Zamora;2022M03;1,68
Total Nacional;07 Castilla y León;49 Zamora;2022M02;1,63
Total Nacional;07 Castilla y León;49 Zamora;2022M01;1,56
Total Nacional;08 Castilla - La Mancha;;2026M03;1,71
Total Nacional;08 Castilla - La Mancha;;2026M02;1,67
Total Nacional;08 Castilla - La Mancha;;2026M01;1,72
Total Nacional;08 Castilla - La Mancha;;2025M12;1,68
Total Nacional;08 Castilla - La Mancha;;2025M11;1,82
Total Nacional;08 Castilla - La Mancha;;2025M10;1,78
Total Nacional;08 Castilla - La Mancha;;2025M09;1,89
Total Nacional;08 Castilla - La Mancha;;2025M08;1,79
Total Nacional;08 Castilla - La Mancha;;2025M07;1,74
Total Nacional;08 Castilla - La Mancha;;2025M06;1,86
Total Nacional;08 Castilla - La Mancha;;2025M05;1,78
Total Nacional;08 Castilla - La Mancha;;2025M04;1,76
Total Nacional;08 Castilla - La Mancha;;2025M03;1,69
Total Nacional;08 Castilla - La Mancha;;2025M02;1,65
Total Nacional;08 Castilla - La Mancha;;2025M01;1,64
Total Nacional;08 Castilla - La Mancha;;2024M12;1,68
Total Nacional;08 Castilla - La Mancha;;2024M11;1,80
Total Nacional;08 Castilla - La Mancha;;2024M10;1,81
Total Nacional;08 Castilla - La Mancha;;2024M09;1,72
Total Nacional;08 Castilla - La Mancha;;2024M08;1,75
Total Nacional;08 Castilla - La Mancha;;2024M07;1,81
Total Nacional;08 Castilla - La Mancha;;2024M06;1,73
Total Nacional;08 Castilla - La Mancha;;2024M05;1,73
Total Nacional;08 Castilla - La Mancha;;2024M04;1,76
Total Nacional;08 Castilla - La Mancha;;2024M03;1,79
Total Nacional;08 Castilla - La Mancha;;2024M02;1,76
Total Nacional;08 Castilla - La Mancha;;2024M01;1,73
Total Nacional;08 Castilla - La Mancha;;2023M12;1,70
Total Nacional;08 Castilla - La Mancha;;2023M11;1,83
Total Nacional;08 Castilla - La Mancha;;2023M10;1,76
Total Nacional;08 Castilla - La Mancha;;2023M09;1,72
Total Nacional;08 Castilla - La Mancha;;2023M08;1,80
Total Nacional;08 Castilla - La Mancha;;2023M07;1,72
Total Nacional;08 Castilla - La Mancha;;2023M06;1,72
Total Nacional;08 Castilla - La Mancha;;2023M05;1,80
Total Nacional;08 Castilla - La Mancha;;2023M04;1,80
Total Nacional;08 Castilla - La Mancha;;2023M03;1,75
Total Nacional;08 Castilla - La Mancha;;2023M02;1,73
Total Nacional;08 Castilla - La Mancha;;2023M01;1,73
Total Nacional;08 Castilla - La Mancha;;2022M12;1,71
Total Nacional;08 Castilla - La Mancha;;2022M11;1,77
Total Nacional;08 Castilla - La Mancha;;2022M10;1,79
Total Nacional;08 Castilla - La Mancha;;2022M09;1,79
Total Nacional;08 Castilla - La Mancha;;2022M08;1,79
Total Nacional;08 Castilla - La Mancha;;2022M07;1,71
Total Nacional;08 Castilla - La Mancha;;2022M06;1,75
Total Nacional;08 Castilla - La Mancha;;2022M05;1,78
Total Nacional;08 Castilla - La Mancha;;2022M04;1,77
Total Nacional;08 Castilla - La Mancha;;2022M03;1,74
Total Nacional;08 Castilla - La Mancha;;2022M02;1,71
Total Nacional;08 Castilla - La Mancha;;2022M01;1,68
Total Nacional;08 Castilla - La Mancha;02 Albacete;2026M03;1,75
Total Nacional;08 Castilla - La Mancha;02 Albacete;2026M02;1,63
Total Nacional;08 Castilla - La Mancha;02 Albacete;2026M01;1,66
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M12;1,58
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M11;2,11
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M10;2,19
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M09;2,56
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M08;2,09
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M07;1,95
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M06;2,57
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M05;2,06
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M04;1,87
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M03;1,69
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M02;1,56
Total Nacional;08 Castilla - La Mancha;02 Albacete;2025M01;1,53
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M12;1,72
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M11;2,25
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M10;2,52
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M09;2,03
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M08;2,17
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M07;2,52
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M06;2,15
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M05;2,12
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M04;1,95
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M03;1,79
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M02;1,98
Total Nacional;08 Castilla - La Mancha;02 Albacete;2024M01;1,74
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M12;1,67
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M11;2,19
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M10;2,15
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M09;2,04
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M08;2,27
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M07;2,11
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M06;2,06
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M05;2,12
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M04;2,04
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M03;1,71
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M02;1,79
Total Nacional;08 Castilla - La Mancha;02 Albacete;2023M01;1,68
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M12;1,72
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M11;2,11
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M10;2,03
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M09;2,09
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M08;2,16
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M07;1,97
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M06;1,93
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M05;1,93
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M04;1,82
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M03;1,74
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M02;1,72
Total Nacional;08 Castilla - La Mancha;02 Albacete;2022M01;1,62
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2026M03;1,63
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2026M02;1,66
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2026M01;1,70
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M12;1,65
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M11;1,86
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M10;1,77
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M09;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M08;1,65
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M07;1,69
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M06;1,69
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M05;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M04;1,72
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M03;1,77
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M02;1,56
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2025M01;1,55
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M12;1,56
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M11;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M10;1,70
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M09;1,71
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M08;1,60
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M07;1,66
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M06;1,71
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M05;1,73
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M04;2,01
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M03;2,02
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M02;1,59
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2024M01;1,61
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M12;1,62
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M11;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M10;1,75
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M09;1,68
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M08;1,65
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M07;1,61
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M06;1,57
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M05;1,77
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M04;1,75
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M03;1,61
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M02;1,58
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2023M01;1,70
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M12;1,58
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M11;1,75
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M10;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M09;1,73
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M08;1,70
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M07;1,65
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M06;1,68
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M05;1,76
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M04;1,71
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M03;1,62
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M02;1,68
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;2022M01;1,66
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2026M03;1,69
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2026M02;1,78
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2026M01;1,86
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M12;1,75
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M11;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M10;1,71
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M09;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M08;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M07;1,71
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M06;1,69
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M05;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M04;1,83
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M03;1,74
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M02;1,86
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2025M01;1,75
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M12;1,79
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M11;1,74
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M10;1,73
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M09;1,75
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M08;1,82
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M07;1,74
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M06;1,76
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M05;1,76
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M04;1,71
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M03;1,85
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M02;1,82
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M01;1,95
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M12;1,79
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M11;1,80
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M10;1,80
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M09;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M08;1,82
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M07;1,74
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M06;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M05;1,73
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M04;1,86
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M03;1,92
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M02;1,86
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M01;1,85
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M12;1,73
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M11;1,74
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M10;1,81
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M09;1,83
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M08;1,77
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M07;1,80
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M06;1,82
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M05;1,88
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M04;1,89
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M03;1,94
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M02;1,89
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M01;1,95
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2026M03;1,75
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2026M02;1,65
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2026M01;1,75
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M12;1,81
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M11;1,80
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M10;1,74
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M09;1,78
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M08;1,93
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M07;1,84
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M06;1,81
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M05;1,77
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M04;1,92
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M03;1,77
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M02;1,73
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2025M01;1,92
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M12;1,78
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M11;1,82
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M10;1,78
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M09;1,75
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M08;1,83
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M07;1,72
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M06;1,72
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M05;1,71
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M04;1,71
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M03;1,76
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M02;1,81
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M01;1,75
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M12;1,93
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M11;1,81
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M10;1,75
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M09;1,71
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M08;1,90
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M07;1,77
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M06;1,76
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M05;1,81
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M04;1,79
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M03;1,97
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M02;1,99
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M01;2,00
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M12;2,00
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M11;1,65
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M10;1,82
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M09;1,82
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M08;1,86
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M07;1,77
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M06;1,92
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M05;1,84
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M04;1,85
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M03;1,79
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M02;1,72
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M01;1,62
Total Nacional;08 Castilla - La Mancha;45 Toledo;2026M03;1,72
Total Nacional;08 Castilla - La Mancha;45 Toledo;2026M02;1,67
Total Nacional;08 Castilla - La Mancha;45 Toledo;2026M01;1,71
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M12;1,69
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M11;1,69
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M10;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M09;1,71
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M08;1,70
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M07;1,65
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M06;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M05;1,68
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M04;1,67
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M03;1,61
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M02;1,61
Total Nacional;08 Castilla - La Mancha;45 Toledo;2025M01;1,62
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M12;1,65
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M11;1,65
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M10;1,59
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M09;1,58
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M08;1,59
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M07;1,58
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M06;1,56
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M05;1,58
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M04;1,60
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M03;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M02;1,69
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M01;1,71
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M12;1,64
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M11;1,70
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M10;1,60
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M09;1,59
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M08;1,64
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M07;1,58
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M06;1,60
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M05;1,70
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M04;1,70
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M03;1,72
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M02;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M01;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M12;1,67
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M11;1,67
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M10;1,69
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M09;1,66
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M08;1,65
