Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;18 Granada;2022M07;2,20
Total Nacional;01 Andalucía;18 Granada;2022M06;1,99
Total Nacional;01 Andalucía;18 Granada;2022M05;1,97
Total Nacional;01 Andalucía;18 Granada;2022M04;2,03
Total Nacional;01 Andalucía;18 Granada;2022M03;1,91
Total Nacional;01 Andalucía;18 Granada;2022M02;1,84
Total Nacional;01 Andalucía;18 Granada;2022M01;1,86
Total Nacional;01 Andalucía;21 Huelva;2026M03;2,41
Total Nacional;01 Andalucía;21 Huelva;2026M02;2,52
Total Nacional;01 Andalucía;21 Huelva;2026M01;2,19
Total Nacional;01 Andalucía;21 Huelva;2025M12;1,98
Total Nacional;01 Andalucía;21 Huelva;2025M11;2,35
Total Nacional;01 Andalucía;21 Huelva;2025M10;3,00
Total Nacional;01 Andalucía;21 Huelva;2025M09;3,64
Total Nacional;01 Andalucía;21 Huelva;2025M08;4,11
Total Nacional;01 Andalucía;21 Huelva;2025M07;4,04
Total Nacional;01 Andalucía;21 Huelva;2025M06;3,48
Total Nacional;01 Andalucía;21 Huelva;2025M05;3,17
Total Nacional;01 Andalucía;21 Huelva;2025M04;3,31
Total Nacional;01 Andalucía;21 Huelva;2025M03;3,52
Total Nacional;01 Andalucía;21 Huelva;2025M02;2,73
Total Nacional;01 Andalucía;21 Huelva;2025M01;2,35
Total Nacional;01 Andalucía;21 Huelva;2024M12;1,99
Total Nacional;01 Andalucía;21 Huelva;2024M11;2,38
Total Nacional;01 Andalucía;21 Huelva;2024M10;3,23
Total Nacional;01 Andalucía;21 Huelva;2024M09;3,83
Total Nacional;01 Andalucía;21 Huelva;2024M08;4,24
Total Nacional;01 Andalucía;21 Huelva;2024M07;4,19
Total Nacional;01 Andalucía;21 Huelva;2024M06;3,57
Total Nacional;01 Andalucía;21 Huelva;2024M05;3,23
Total Nacional;01 Andalucía;21 Huelva;2024M04;3,21
Total Nacional;01 Andalucía;21 Huelva;2024M03;3,47
Total Nacional;01 Andalucía;21 Huelva;2024M02;2,59
Total Nacional;01 Andalucía;21 Huelva;2024M01;2,18
Total Nacional;01 Andalucía;21 Huelva;2023M12;2,07
Total Nacional;01 Andalucía;21 Huelva;2023M11;2,34
Total Nacional;01 Andalucía;21 Huelva;2023M10;3,15
Total Nacional;01 Andalucía;21 Huelva;2023M09;3,92
Total Nacional;01 Andalucía;21 Huelva;2023M08;4,08
Total Nacional;01 Andalucía;21 Huelva;2023M07;3,75
Total Nacional;01 Andalucía;21 Huelva;2023M06;3,48
Total Nacional;01 Andalucía;21 Huelva;2023M05;3,03
Total Nacional;01 Andalucía;21 Huelva;2023M04;3,21
Total Nacional;01 Andalucía;21 Huelva;2023M03;2,53
Total Nacional;01 Andalucía;21 Huelva;2023M02;2,17
Total Nacional;01 Andalucía;21 Huelva;2023M01;1,98
Total Nacional;01 Andalucía;21 Huelva;2022M12;2,21
Total Nacional;01 Andalucía;21 Huelva;2022M11;2,29
Total Nacional;01 Andalucía;21 Huelva;2022M10;3,01
Total Nacional;01 Andalucía;21 Huelva;2022M09;3,64
Total Nacional;01 Andalucía;21 Huelva;2022M08;4,44
Total Nacional;01 Andalucía;21 Huelva;2022M07;3,84
Total Nacional;01 Andalucía;21 Huelva;2022M06;3,34
Total Nacional;01 Andalucía;21 Huelva;2022M05;3,19
Total Nacional;01 Andalucía;21 Huelva;2022M04;3,24
Total Nacional;01 Andalucía;21 Huelva;2022M03;2,91
Total Nacional;01 Andalucía;21 Huelva;2022M02;2,12
Total Nacional;01 Andalucía;21 Huelva;2022M01;2,02
Total Nacional;01 Andalucía;23 Jaén;2026M03;1,73
Total Nacional;01 Andalucía;23 Jaén;2026M02;1,74
Total Nacional;01 Andalucía;23 Jaén;2026M01;1,82
Total Nacional;01 Andalucía;23 Jaén;2025M12;1,72
Total Nacional;01 Andalucía;23 Jaén;2025M11;1,81
Total Nacional;01 Andalucía;23 Jaén;2025M10;1,75
Total Nacional;01 Andalucía;23 Jaén;2025M09;1,74
Total Nacional;01 Andalucía;23 Jaén;2025M08;1,95
Total Nacional;01 Andalucía;23 Jaén;2025M07;1,79
Total Nacional;01 Andalucía;23 Jaén;2025M06;1,76
Total Nacional;01 Andalucía;23 Jaén;2025M05;1,77
Total Nacional;01 Andalucía;23 Jaén;2025M04;1,89
Total Nacional;01 Andalucía;23 Jaén;2025M03;1,84
Total Nacional;01 Andalucía;23 Jaén;2025M02;1,72
Total Nacional;01 Andalucía;23 Jaén;2025M01;1,75
Total Nacional;01 Andalucía;23 Jaén;2024M12;1,78
Total Nacional;01 Andalucía;23 Jaén;2024M11;1,84
Total Nacional;01 Andalucía;23 Jaén;2024M10;1,71
Total Nacional;01 Andalucía;23 Jaén;2024M09;1,78
Total Nacional;01 Andalucía;23 Jaén;2024M08;1,90
Total Nacional;01 Andalucía;23 Jaén;2024M07;1,88
Total Nacional;01 Andalucía;23 Jaén;2024M06;1,80
Total Nacional;01 Andalucía;23 Jaén;2024M05;1,76
Total Nacional;01 Andalucía;23 Jaén;2024M04;1,74
Total Nacional;01 Andalucía;23 Jaén;2024M03;1,86
Total Nacional;01 Andalucía;23 Jaén;2024M02;1,73
Total Nacional;01 Andalucía;23 Jaén;2024M01;1,76
Total Nacional;01 Andalucía;23 Jaén;2023M12;1,76
Total Nacional;01 Andalucía;23 Jaén;2023M11;1,86
Total Nacional;01 Andalucía;23 Jaén;2023M10;1,82
Total Nacional;01 Andalucía;23 Jaén;2023M09;1,80
Total Nacional;01 Andalucía;23 Jaén;2023M08;2,03
Total Nacional;01 Andalucía;23 Jaén;2023M07;1,91
Total Nacional;01 Andalucía;23 Jaén;2023M06;1,77
Total Nacional;01 Andalucía;23 Jaén;2023M05;1,82
Total Nacional;01 Andalucía;23 Jaén;2023M04;1,93
Total Nacional;01 Andalucía;23 Jaén;2023M03;1,80
Total Nacional;01 Andalucía;23 Jaén;2023M02;1,78
Total Nacional;01 Andalucía;23 Jaén;2023M01;1,78
Total Nacional;01 Andalucía;23 Jaén;2022M12;1,80
