Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Granada,2026M03,2.03,Granada,2026-03-01
Andalucía,Granada,2026M02,1.82,Granada,2026-02-01
Andalucía,Granada,2026M01,1.97,Granada,2026-01-01
Andalucía,Granada,2025M12,1.98,Granada,2025-12-01
Andalucía,Granada,2025M11,2.0,Granada,2025-11-01
Andalucía,Granada,2025M10,2.07,Granada,2025-10-01
Andalucía,Granada,2025M09,2.23,Granada,2025-09-01
Andalucía,Granada,2025M08,2.4,Granada,2025-08-01
Andalucía,Granada,2025M07,2.26,Granada,2025-07-01
Andalucía,Granada,2025M06,2.17,Granada,2025-06-01
Andalucía,Granada,2025M05,2.13,Granada,2025-05-01
Andalucía,Granada,2025M04,2.16,Granada,2025-04-01
Andalucía,Granada,2025M03,2.13,Granada,2025-03-01
Andalucía,Granada,2025M02,1.96,Granada,2025-02-01
Andalucía,Granada,2025M01,1.94,Granada,2025-01-01
Andalucía,Granada,2024M12,1.95,Granada,2024-12-01
Andalucía,Granada,2024M11,2.07,Granada,2024-11-01
Andalucía,Granada,2024M10,2.11,Granada,2024-10-01
Andalucía,Granada,2024M09,2.18,Granada,2024-09-01
Andalucía,Granada,2024M08,2.31,Granada,2024-08-01
Andalucía,Granada,2024M07,2.39,Granada,2024-07-01
Andalucía,Granada,2024M06,2.1,Granada,2024-06-01
Andalucía,Granada,2024M05,2.04,Granada,2024-05-01
Andalucía,Granada,2024M04,1.99,Granada,2024-04-01
Andalucía,Granada,2024M03,2.03,Granada,2024-03-01
Andalucía,Granada,2024M02,1.93,Granada,2024-02-01
Andalucía,Granada,2024M01,1.88,Granada,2024-01-01
Andalucía,Granada,2023M12,1.89,Granada,2023-12-01
Andalucía,Granada,2023M11,1.88,Granada,2023-11-01
Andalucía,Granada,2023M10,1.99,Granada,2023-10-01
Andalucía,Granada,2023M09,2.08,Granada,2023-09-01
Andalucía,Granada,2023M08,2.29,Granada,2023-08-01
Andalucía,Granada,2023M07,2.22,Granada,2023-07-01
Andalucía,Granada,2023M06,2.04,Granada,2023-06-01
Andalucía,Granada,2023M05,2.0,Granada,2023-05-01
