RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Bélgica;Viajero;2024M02;75.702
Total;Bélgica;Viajero;2024M01;63.212
Total;Bélgica;Viajero;2023M12;67.538
Total;Bélgica;Viajero;2023M11;78.287
Total;Bélgica;Viajero;2023M10;135.392
Total;Bélgica;Viajero;2023M09;164.049
Total;Bélgica;Viajero;2023M08;173.132
Total;Bélgica;Viajero;2023M07;227.444
Total;Bélgica;Viajero;2023M06;114.500
Total;Bélgica;Viajero;2023M05;150.287
Total;Bélgica;Viajero;2023M04;119.211
Total;Bélgica;Viajero;2023M03;76.888
Total;Bélgica;Viajero;2023M02;66.352
Total;Bélgica;Viajero;2023M01;59.982
Total;Bélgica;Viajero;2022M12;59.495
Total;Bélgica;Viajero;2022M11;69.020
Total;Bélgica;Viajero;2022M10;129.151
Total;Bélgica;Viajero;2022M09;159.125
Total;Bélgica;Viajero;2022M08;164.690
Total;Bélgica;Viajero;2022M07;233.125
Total;Bélgica;Viajero;2022M06;123.255
Total;Bélgica;Viajero;2022M05;128.810
Total;Bélgica;Viajero;2022M04;119.332
Total;Bélgica;Viajero;2022M03;78.803
Total;Bélgica;Viajero;2022M02;64.593
Total;Bélgica;Viajero;2022M01;54.596
Total;Bélgica;Pernoctaciones;2026M03;342.310
Total;Bélgica;Pernoctaciones;2026M02;349.127
Total;Bélgica;Pernoctaciones;2026M01;287.170
Total;Bélgica;Pernoctaciones;2025M12;344.586
Total;Bélgica;Pernoctaciones;2025M11;365.177
Total;Bélgica;Pernoctaciones;2025M10;644.088
Total;Bélgica;Pernoctaciones;2025M09;732.215
Total;Bélgica;Pernoctaciones;2025M08;723.045
Total;Bélgica;Pernoctaciones;2025M07;993.030
Total;Bélgica;Pernoctaciones;2025M06;585.564
Total;Bélgica;Pernoctaciones;2025M05;701.049
Total;Bélgica;Pernoctaciones;2025M04;550.379
Total;Bélgica;Pernoctaciones;2025M03;428.460
Total;Bélgica;Pernoctaciones;2025M02;331.284
Total;Bélgica;Pernoctaciones;2025M01;287.761
Total;Bélgica;Pernoctaciones;2024M12;346.465
Total;Bélgica;Pernoctaciones;2024M11;354.049
Total;Bélgica;Pernoctaciones;2024M10;667.351
Total;Bélgica;Pernoctaciones;2024M09;765.868
Total;Bélgica;Pernoctaciones;2024M08;779.611
Total;Bélgica;Pernoctaciones;2024M07;1.002.153
Total;Bélgica;Pernoctaciones;2024M06;593.618
Total;Bélgica;Pernoctaciones;2024M05;669.474
Total;Bélgica;Pernoctaciones;2024M04;567.835
Total;Bélgica;Pernoctaciones;2024M03;397.927
Total;Bélgica;Pernoctaciones;2024M02;337.289
Total;Bélgica;Pernoctaciones;2024M01;299.887
Total;Bélgica;Pernoctaciones;2023M12;325.506
Total;Bélgica;Pernoctaciones;2023M11;357.727
Total;Bélgica;Pernoctaciones;2023M10;582.917
Total;Bélgica;Pernoctaciones;2023M09;727.586
Total;Bélgica;Pernoctaciones;2023M08;724.555
Total;Bélgica;Pernoctaciones;2023M07;981.631
Total;Bélgica;Pernoctaciones;2023M06;522.825
Total;Bélgica;Pernoctaciones;2023M05;674.756
Total;Bélgica;Pernoctaciones;2023M04;475.320
Total;Bélgica;Pernoctaciones;2023M03;335.966
Total;Bélgica;Pernoctaciones;2023M02;311.754
Total;Bélgica;Pernoctaciones;2023M01;293.555
Total;Bélgica;Pernoctaciones;2022M12;285.934
Total;Bélgica;Pernoctaciones;2022M11;342.323
Total;Bélgica;Pernoctaciones;2022M10;533.996
Total;Bélgica;Pernoctaciones;2022M09;696.873
Total;Bélgica;Pernoctaciones;2022M08;683.468
Total;Bélgica;Pernoctaciones;2022M07;1.035.204
Total;Bélgica;Pernoctaciones;2022M06;544.104
Total;Bélgica;Pernoctaciones;2022M05;523.905
Total;Bélgica;Pernoctaciones;2022M04;500.566
Total;Bélgica;Pernoctaciones;2022M03;378.930
Total;Bélgica;Pernoctaciones;2022M02;284.967
Total;Bélgica;Pernoctaciones;2022M01;275.167
Total;Dinamarca;Viajero;2026M03;53.430
Total;Dinamarca;Viajero;2026M02;42.926
Total;Dinamarca;Viajero;2026M01;37.653
Total;Dinamarca;Viajero;2025M12;29.557
Total;Dinamarca;Viajero;2025M11;38.594
Total;Dinamarca;Viajero;2025M10;67.988
Total;Dinamarca;Viajero;2025M09;60.136
Total;Dinamarca;Viajero;2025M08;45.816
Total;Dinamarca;Viajero;2025M07;74.113
Total;Dinamarca;Viajero;2025M06;43.050
Total;Dinamarca;Viajero;2025M05;53.165
Total;Dinamarca;Viajero;2025M04;50.898
Total;Dinamarca;Viajero;2025M03;50.539
Total;Dinamarca;Viajero;2025M02;44.705
Total;Dinamarca;Viajero;2025M01;36.087
Total;Dinamarca;Viajero;2024M12;30.906
Total;Dinamarca;Viajero;2024M11;42.145
Total;Dinamarca;Viajero;2024M10;67.730
Total;Dinamarca;Viajero;2024M09;61.810
Total;Dinamarca;Viajero;2024M08;46.967
Total;Dinamarca;Viajero;2024M07;84.763
Total;Dinamarca;Viajero;2024M06;44.292
Total;Dinamarca;Viajero;2024M05;54.953
Total;Dinamarca;Viajero;2024M04;48.251
Total;Dinamarca;Viajero;2024M03;59.173
Total;Dinamarca;Viajero;2024M02;43.789
Total;Dinamarca;Viajero;2024M01;37.190
Total;Dinamarca;Viajero;2023M12;32.715
Total;Dinamarca;Viajero;2023M11;42.067
Total;Dinamarca;Viajero;2023M10;66.548
Total;Dinamarca;Viajero;2023M09;58.557
Total;Dinamarca;Viajero;2023M08;50.160
Total;Dinamarca;Viajero;2023M07;83.365
Total;Dinamarca;Viajero;2023M06;44.028
Total;Dinamarca;Viajero;2023M05;48.290
Total;Dinamarca;Viajero;2023M04;54.007
Total;Dinamarca;Viajero;2023M03;49.914
Total;Dinamarca;Viajero;2023M02;42.814
Total;Dinamarca;Viajero;2023M01;36.103
Total;Dinamarca;Viajero;2022M12;29.667
Total;Dinamarca;Viajero;2022M11;37.264
Total;Dinamarca;Viajero;2022M10;60.784
Total;Dinamarca;Viajero;2022M09;66.012
Total;Dinamarca;Viajero;2022M08;50.043
Total;Dinamarca;Viajero;2022M07;92.739
Total;Dinamarca;Viajero;2022M06;42.486
Total;Dinamarca;Viajero;2022M05;54.737
Total;Dinamarca;Viajero;2022M04;53.475
Total;Dinamarca;Viajero;2022M03;44.074
Total;Dinamarca;Viajero;2022M02;36.925
Total;Dinamarca;Viajero;2022M01;27.330
Total;Dinamarca;Pernoctaciones;2026M03;268.444
Total;Dinamarca;Pernoctaciones;2026M02;241.131
Total;Dinamarca;Pernoctaciones;2026M01;207.839
Total;Dinamarca;Pernoctaciones;2025M12;161.736
Total;Dinamarca;Pernoctaciones;2025M11;206.100
Total;Dinamarca;Pernoctaciones;2025M10;327.426
Total;Dinamarca;Pernoctaciones;2025M09;244.378
Total;Dinamarca;Pernoctaciones;2025M08;216.267
Total;Dinamarca;Pernoctaciones;2025M07;357.488
Total;Dinamarca;Pernoctaciones;2025M06;180.007
Total;Dinamarca;Pernoctaciones;2025M05;217.165
Total;Dinamarca;Pernoctaciones;2025M04;238.968
Total;Dinamarca;Pernoctaciones;2025M03;278.228
Total;Dinamarca;Pernoctaciones;2025M02;246.941
Total;Dinamarca;Pernoctaciones;2025M01;204.947
Total;Dinamarca;Pernoctaciones;2024M12;169.332
Total;Dinamarca;Pernoctaciones;2024M11;214.629
Total;Dinamarca;Pernoctaciones;2024M10;342.420
Total;Dinamarca;Pernoctaciones;2024M09;265.161
Total;Dinamarca;Pernoctaciones;2024M08;242.740
Total;Dinamarca;Pernoctaciones;2024M07;418.355
Total;Dinamarca;Pernoctaciones;2024M06;183.623
Total;Dinamarca;Pernoctaciones;2024M05;224.753
Total;Dinamarca;Pernoctaciones;2024M04;211.984
Total;Dinamarca;Pernoctaciones;2024M03;312.051
Total;Dinamarca;Pernoctaciones;2024M02;253.438
Total;Dinamarca;Pernoctaciones;2024M01;212.932
Total;Dinamarca;Pernoctaciones;2023M12;177.892
Total;Dinamarca;Pernoctaciones;2023M11;213.538
Total;Dinamarca;Pernoctaciones;2023M10;323.420
Total;Dinamarca;Pernoctaciones;2023M09;234.939
Total;Dinamarca;Pernoctaciones;2023M08;261.526
Total;Dinamarca;Pernoctaciones;2023M07;411.921
Total;Dinamarca;Pernoctaciones;2023M06;195.181
Total;Dinamarca;Pernoctaciones;2023M05;206.370
Total;Dinamarca;Pernoctaciones;2023M04;250.101
Total;Dinamarca;Pernoctaciones;2023M03;258.925
Total;Dinamarca;Pernoctaciones;2023M02;243.113
Total;Dinamarca;Pernoctaciones;2023M01;208.137
Total;Dinamarca;Pernoctaciones;2022M12;162.968
Total;Dinamarca;Pernoctaciones;2022M11;196.744
Total;Dinamarca;Pernoctaciones;2022M10;321.637
Total;Dinamarca;Pernoctaciones;2022M09;272.629
Total;Dinamarca;Pernoctaciones;2022M08;259.389
Total;Dinamarca;Pernoctaciones;2022M07;444.814
Total;Dinamarca;Pernoctaciones;2022M06;181.524
Total;Dinamarca;Pernoctaciones;2022M05;232.535
Total;Dinamarca;Pernoctaciones;2022M04;255.760
Total;Dinamarca;Pernoctaciones;2022M03;241.815
Total;Dinamarca;Pernoctaciones;2022M02;208.473
Total;Dinamarca;Pernoctaciones;2022M01;165.793
Total;Finlandia;Viajero;2026M03;38.012
Total;Finlandia;Viajero;2026M02;32.558
Total;Finlandia;Viajero;2026M01;32.454
Total;Finlandia;Viajero;2025M12;29.127
Total;Finlandia;Viajero;2025M11;38.582
Total;Finlandia;Viajero;2025M10;42.880
Total;Finlandia;Viajero;2025M09;24.384
Total;Finlandia;Viajero;2025M08;16.762
Total;Finlandia;Viajero;2025M07;24.568
Total;Finlandia;Viajero;2025M06;25.350
Total;Finlandia;Viajero;2025M05;27.766
Total;Finlandia;Viajero;2025M04;34.466
Total;Finlandia;Viajero;2025M03;39.629
Total;Finlandia;Viajero;2025M02;32.012
Total;Finlandia;Viajero;2025M01;29.568
Total;Finlandia;Viajero;2024M12;31.260
Total;Finlandia;Viajero;2024M11;41.032
Total;Finlandia;Viajero;2024M10;46.880
Total;Finlandia;Viajero;2024M09;25.424
Total;Finlandia;Viajero;2024M08;12.701
Total;Finlandia;Viajero;2024M07;22.360
Total;Finlandia;Viajero;2024M06;24.407
Total;Finlandia;Viajero;2024M05;28.980
Total;Finlandia;Viajero;2024M04;31.247
Total;Finlandia;Viajero;2024M03;42.542
Total;Finlandia;Viajero;2024M02;36.127
Total;Finlandia;Viajero;2024M01;34.610
Total;Finlandia;Viajero;2023M12;32.590
Total;Finlandia;Viajero;2023M11;43.287
Total;Finlandia;Viajero;2023M10;43.654
Total;Finlandia;Viajero;2023M09;25.067
Total;Finlandia;Viajero;2023M08;14.015
Total;Finlandia;Viajero;2023M07;23.440
Total;Finlandia;Viajero;2023M06;22.980
Total;Finlandia;Viajero;2023M05;23.461
Total;Finlandia;Viajero;2023M04;30.880
Total;Finlandia;Viajero;2023M03;37.257
Total;Finlandia;Viajero;2023M02;32.467
Total;Finlandia;Viajero;2023M01;29.444
Total;Finlandia;Viajero;2022M12;31.494
Total;Finlandia;Viajero;2022M11;37.091
Total;Finlandia;Viajero;2022M10;38.249
Total;Finlandia;Viajero;2022M09;22.354
Total;Finlandia;Viajero;2022M08;15.675
Total;Finlandia;Viajero;2022M07;24.477
Total;Finlandia;Viajero;2022M06;24.676
Total;Finlandia;Viajero;2022M05;25.211
Total;Finlandia;Viajero;2022M04;24.642
Total;Finlandia;Viajero;2022M03;27.919
Total;Finlandia;Viajero;2022M02;21.104
Total;Finlandia;Viajero;2022M01;17.719
Total;Finlandia;Pernoctaciones;2026M03;206.719
Total;Finlandia;Pernoctaciones;2026M02;185.749
Total;Finlandia;Pernoctaciones;2026M01;195.643
Total;Finlandia;Pernoctaciones;2025M12;180.272
Total;Finlandia;Pernoctaciones;2025M11;230.850
Total;Finlandia;Pernoctaciones;2025M10;211.301
Total;Finlandia;Pernoctaciones;2025M09;91.827
Total;Finlandia;Pernoctaciones;2025M08;56.522
Total;Finlandia;Pernoctaciones;2025M07;90.031
Total;Finlandia;Pernoctaciones;2025M06;96.997
Total;Finlandia;Pernoctaciones;2025M05;98.052
Total;Finlandia;Pernoctaciones;2025M04;146.876
Total;Finlandia;Pernoctaciones;2025M03;212.380
Total;Finlandia;Pernoctaciones;2025M02;190.278
Total;Finlandia;Pernoctaciones;2025M01;178.881
Total;Finlandia;Pernoctaciones;2024M12;209.200
Total;Finlandia;Pernoctaciones;2024M11;256.344
Total;Finlandia;Pernoctaciones;2024M10;229.977
Total;Finlandia;Pernoctaciones;2024M09;103.152
Total;Finlandia;Pernoctaciones;2024M08;48.713
Total;Finlandia;Pernoctaciones;2024M07;84.936
Total;Finlandia;Pernoctaciones;2024M06;94.121
Total;Finlandia;Pernoctaciones;2024M05;119.642
Total;Finlandia;Pernoctaciones;2024M04;153.349
Total;Finlandia;Pernoctaciones;2024M03;259.651
Total;Finlandia;Pernoctaciones;2024M02;227.853
Total;Finlandia;Pernoctaciones;2024M01;226.174
Total;Finlandia;Pernoctaciones;2023M12;224.511
Total;Finlandia;Pernoctaciones;2023M11;274.594
Total;Finlandia;Pernoctaciones;2023M10;219.136
Total;Finlandia;Pernoctaciones;2023M09;94.416
Total;Finlandia;Pernoctaciones;2023M08;55.414
Total;Finlandia;Pernoctaciones;2023M07;87.327
Total;Finlandia;Pernoctaciones;2023M06;84.245
Total;Finlandia;Pernoctaciones;2023M05;85.167
Total;Finlandia;Pernoctaciones;2023M04;139.428
Total;Finlandia;Pernoctaciones;2023M03;196.226
Total;Finlandia;Pernoctaciones;2023M02;179.528
Total;Finlandia;Pernoctaciones;2023M01;175.225
Total;Finlandia;Pernoctaciones;2022M12;191.414
Total;Finlandia;Pernoctaciones;2022M11;216.982
Total;Finlandia;Pernoctaciones;2022M10;177.537
Total;Finlandia;Pernoctaciones;2022M09;73.632
Total;Finlandia;Pernoctaciones;2022M08;60.202
Total;Finlandia;Pernoctaciones;2022M07;96.548
Total;Finlandia;Pernoctaciones;2022M06;88.595
Total;Finlandia;Pernoctaciones;2022M05;89.116
Total;Finlandia;Pernoctaciones;2022M04;106.700
Total;Finlandia;Pernoctaciones;2022M03;140.949
Total;Finlandia;Pernoctaciones;2022M02;116.688
Total;Finlandia;Pernoctaciones;2022M01;106.459
Total;Francia;Viajero;2026M03;361.341
Total;Francia;Viajero;2026M02;306.284
Total;Francia;Viajero;2026M01;243.786
Total;Francia;Viajero;2025M12;293.392
Total;Francia;Viajero;2025M11;296.134
Total;Francia;Viajero;2025M10;669.802
Total;Francia;Viajero;2025M09;634.679
Total;Francia;Viajero;2025M08;1.058.938
Total;Francia;Viajero;2025M07;739.671
Total;Francia;Viajero;2025M06;576.168
Total;Francia;Viajero;2025M05;761.131
Total;Francia;Viajero;2025M04;617.337
Total;Francia;Viajero;2025M03;325.167
Total;Francia;Viajero;2025M02;315.245
Total;Francia;Viajero;2025M01;246.807
Total;Francia;Viajero;2024M12;283.608
Total;Francia;Viajero;2024M11;294.221
Total;Francia;Viajero;2024M10;664.619
Total;Francia;Viajero;2024M09;631.226
Total;Francia;Viajero;2024M08;1.068.792
Total;Francia;Viajero;2024M07;725.973
Total;Francia;Viajero;2024M06;552.932
Total;Francia;Viajero;2024M05;807.894
Total;Francia;Viajero;2024M04;629.551
Total;Francia;Viajero;2024M03;344.693
Total;Francia;Viajero;2024M02;304.882
Total;Francia;Viajero;2024M01;243.554
Total;Francia;Viajero;2023M12;284.341
Total;Francia;Viajero;2023M11;279.934
Total;Francia;Viajero;2023M10;621.677
Total;Francia;Viajero;2023M09;625.640
Total;Francia;Viajero;2023M08;1.013.707
Total;Francia;Viajero;2023M07;737.817
Total;Francia;Viajero;2023M06;554.215
Total;Francia;Viajero;2023M05;770.117
Total;Francia;Viajero;2023M04;595.525
Total;Francia;Viajero;2023M03;316.646
Total;Francia;Viajero;2023M02;295.528
Total;Francia;Viajero;2023M01;224.999
Total;Francia;Viajero;2022M12;272.172
Total;Francia;Viajero;2022M11;283.356
Total;Francia;Viajero;2022M10;598.164
Total;Francia;Viajero;2022M09;594.211
Total;Francia;Viajero;2022M08;1.054.575
Total;Francia;Viajero;2022M07;748.958
Total;Francia;Viajero;2022M06;557.755
Total;Francia;Viajero;2022M05;688.452
Total;Francia;Viajero;2022M04;509.757
Total;Francia;Viajero;2022M03;276.873
Total;Francia;Viajero;2022M02;281.232
Total;Francia;Viajero;2022M01;165.410
Total;Francia;Pernoctaciones;2026M03;974.492
Total;Francia;Pernoctaciones;2026M02;832.201
Total;Francia;Pernoctaciones;2026M01;681.329
Total;Francia;Pernoctaciones;2025M12;727.679
Total;Francia;Pernoctaciones;2025M11;737.247
Total;Francia;Pernoctaciones;2025M10;2.093.170
Total;Francia;Pernoctaciones;2025M09;2.027.732
Total;Francia;Pernoctaciones;2025M08;3.655.947
Total;Francia;Pernoctaciones;2025M07;2.401.764
Total;Francia;Pernoctaciones;2025M06;1.759.863
Total;Francia;Pernoctaciones;2025M05;2.227.274
Total;Francia;Pernoctaciones;2025M04;1.717.840
Total;Francia;Pernoctaciones;2025M03;872.161
Total;Francia;Pernoctaciones;2025M02;867.745
Total;Francia;Pernoctaciones;2025M01;698.721
Total;Francia;Pernoctaciones;2024M12;699.522
Total;Francia;Pernoctaciones;2024M11;739.763
Total;Francia;Pernoctaciones;2024M10;1.974.407
Total;Francia;Pernoctaciones;2024M09;2.025.526
Total;Francia;Pernoctaciones;2024M08;3.672.995
Total;Francia;Pernoctaciones;2024M07;2.434.299
Total;Francia;Pernoctaciones;2024M06;1.738.308
Total;Francia;Pernoctaciones;2024M05;2.408.540
Total;Francia;Pernoctaciones;2024M04;1.810.575
Total;Francia;Pernoctaciones;2024M03;947.890
Total;Francia;Pernoctaciones;2024M02;822.411
Total;Francia;Pernoctaciones;2024M01;672.760
Total;Francia;Pernoctaciones;2023M12;703.630
Total;Francia;Pernoctaciones;2023M11;741.958
Total;Francia;Pernoctaciones;2023M10;1.847.246
Total;Francia;Pernoctaciones;2023M09;1.963.100
Total;Francia;Pernoctaciones;2023M08;3.530.465
Total;Francia;Pernoctaciones;2023M07;2.378.675
Total;Francia;Pernoctaciones;2023M06;1.665.248
Total;Francia;Pernoctaciones;2023M05;2.214.128
Total;Francia;Pernoctaciones;2023M04;1.737.664
Total;Francia;Pernoctaciones;2023M03;840.882
Total;Francia;Pernoctaciones;2023M02;830.127
Total;Francia;Pernoctaciones;2023M01;634.540
Total;Francia;Pernoctaciones;2022M12;713.753
Total;Francia;Pernoctaciones;2022M11;732.149
Total;Francia;Pernoctaciones;2022M10;1.745.157
Total;Francia;Pernoctaciones;2022M09;1.837.514
Total;Francia;Pernoctaciones;2022M08;3.699.046
Total;Francia;Pernoctaciones;2022M07;2.382.480
Total;Francia;Pernoctaciones;2022M06;1.651.129
Total;Francia;Pernoctaciones;2022M05;1.963.996
Total;Francia;Pernoctaciones;2022M04;1.486.007
Total;Francia;Pernoctaciones;2022M03;767.468
Total;Francia;Pernoctaciones;2022M02;782.600
Total;Francia;Pernoctaciones;2022M01;445.257
Total;Grecia;Viajero;2026M03;18.066
Total;Grecia;Viajero;2026M02;13.897
Total;Grecia;Viajero;2026M01;13.079
Total;Grecia;Viajero;2025M12;11.819
Total;Grecia;Viajero;2025M11;16.538
Total;Grecia;Viajero;2025M10;20.304
Total;Grecia;Viajero;2025M09;12.362
Total;Grecia;Viajero;2025M08;19.287
Total;Grecia;Viajero;2025M07;15.865
Total;Grecia;Viajero;2025M06;18.380
Total;Grecia;Viajero;2025M05;15.494
Total;Grecia;Viajero;2025M04;14.788
Total;Grecia;Viajero;2025M03;16.219
Total;Grecia;Viajero;2025M02;13.978
Total;Grecia;Viajero;2025M01;13.458
Total;Grecia;Viajero;2024M12;11.443
Total;Grecia;Viajero;2024M11;13.330
Total;Grecia;Viajero;2024M10;14.305
Total;Grecia;Viajero;2024M09;14.762
Total;Grecia;Viajero;2024M08;16.824
Total;Grecia;Viajero;2024M07;15.331
Total;Grecia;Viajero;2024M06;16.372
Total;Grecia;Viajero;2024M05;16.915
Total;Grecia;Viajero;2024M04;15.092
Total;Grecia;Viajero;2024M03;14.709
Total;Grecia;Viajero;2024M02;12.941
Total;Grecia;Viajero;2024M01;11.527
Total;Grecia;Viajero;2023M12;13.188
Total;Grecia;Viajero;2023M11;14.218
Total;Grecia;Viajero;2023M10;14.706
Total;Grecia;Viajero;2023M09;13.487
Total;Grecia;Viajero;2023M08;17.091
Total;Grecia;Viajero;2023M07;14.547
Total;Grecia;Viajero;2023M06;14.364
Total;Grecia;Viajero;2023M05;12.464
Total;Grecia;Viajero;2023M04;17.258
Total;Grecia;Viajero;2023M03;12.056
Total;Grecia;Viajero;2023M02;10.237
Total;Grecia;Viajero;2023M01;8.761
Total;Grecia;Viajero;2022M12;9.732
Total;Grecia;Viajero;2022M11;12.329
Total;Grecia;Viajero;2022M10;14.643
Total;Grecia;Viajero;2022M09;11.564
Total;Grecia;Viajero;2022M08;15.937
Total;Grecia;Viajero;2022M07;13.561
Total;Grecia;Viajero;2022M06;12.880
Total;Grecia;Viajero;2022M05;13.137
Total;Grecia;Viajero;2022M04;12.221
Total;Grecia;Viajero;2022M03;9.250
Total;Grecia;Viajero;2022M02;5.552
Total;Grecia;Viajero;2022M01;3.481
Total;Grecia;Pernoctaciones;2026M03;50.371
Total;Grecia;Pernoctaciones;2026M02;43.989
Total;Grecia;Pernoctaciones;2026M01;38.839
Total;Grecia;Pernoctaciones;2025M12;35.383
Total;Grecia;Pernoctaciones;2025M11;45.802
Total;Grecia;Pernoctaciones;2025M10;52.905
Total;Grecia;Pernoctaciones;2025M09;33.044
Total;Grecia;Pernoctaciones;2025M08;56.762
Total;Grecia;Pernoctaciones;2025M07;45.267
Total;Grecia;Pernoctaciones;2025M06;46.276
Total;Grecia;Pernoctaciones;2025M05;41.692
Total;Grecia;Pernoctaciones;2025M04;39.574
Total;Grecia;Pernoctaciones;2025M03;42.970
Total;Grecia;Pernoctaciones;2025M02;41.029
Total;Grecia;Pernoctaciones;2025M01;33.220
Total;Grecia;Pernoctaciones;2024M12;35.434
Total;Grecia;Pernoctaciones;2024M11;37.005
Total;Grecia;Pernoctaciones;2024M10;40.204
Total;Grecia;Pernoctaciones;2024M09;39.821
Total;Grecia;Pernoctaciones;2024M08;47.355
Total;Grecia;Pernoctaciones;2024M07;46.679
Total;Grecia;Pernoctaciones;2024M06;44.327
Total;Grecia;Pernoctaciones;2024M05;45.805
Total;Grecia;Pernoctaciones;2024M04;39.844
Total;Grecia;Pernoctaciones;2024M03;47.870
Total;Grecia;Pernoctaciones;2024M02;43.229
Total;Grecia;Pernoctaciones;2024M01;29.472
Total;Grecia;Pernoctaciones;2023M12;38.730
Total;Grecia;Pernoctaciones;2023M11;38.322
Total;Grecia;Pernoctaciones;2023M10;41.673
Total;Grecia;Pernoctaciones;2023M09;37.638
Total;Grecia;Pernoctaciones;2023M08;50.242
Total;Grecia;Pernoctaciones;2023M07;44.515
Total;Grecia;Pernoctaciones;2023M06;38.133
Total;Grecia;Pernoctaciones;2023M05;35.980
Total;Grecia;Pernoctaciones;2023M04;51.925
Total;Grecia;Pernoctaciones;2023M03;39.390
Total;Grecia;Pernoctaciones;2023M02;35.046
Total;Grecia;Pernoctaciones;2023M01;26.684
Total;Grecia;Pernoctaciones;2022M12;28.878
Total;Grecia;Pernoctaciones;2022M11;38.446
Total;Grecia;Pernoctaciones;2022M10;43.164
Total;Grecia;Pernoctaciones;2022M09;32.626
Total;Grecia;Pernoctaciones;2022M08;48.321
Total;Grecia;Pernoctaciones;2022M07;40.740
Total;Grecia;Pernoctaciones;2022M06;38.978
Total;Grecia;Pernoctaciones;2022M05;40.031
Total;Grecia;Pernoctaciones;2022M04;36.685
Total;Grecia;Pernoctaciones;2022M03;32.982
Total;Grecia;Pernoctaciones;2022M02;15.604
Total;Grecia;Pernoctaciones;2022M01;11.886
Total;Irlanda;Viajero;2026M03;102.610
Total;Irlanda;Viajero;2026M02;80.475
Total;Irlanda;Viajero;2026M01;77.320
Total;Irlanda;Viajero;2025M12;63.778
Total;Irlanda;Viajero;2025M11;78.002
Total;Irlanda;Viajero;2025M10;165.435
Total;Irlanda;Viajero;2025M09;199.912
Total;Irlanda;Viajero;2025M08;171.436
Total;Irlanda;Viajero;2025M07;180.740
Total;Irlanda;Viajero;2025M06;200.761
Total;Irlanda;Viajero;2025M05;201.911
Total;Irlanda;Viajero;2025M04;151.612
Total;Irlanda;Viajero;2025M03;92.855
Total;Irlanda;Viajero;2025M02;75.369
Total;Irlanda;Viajero;2025M01;70.263
Total;Irlanda;Viajero;2024M12;56.356
Total;Irlanda;Viajero;2024M11;70.939
Total;Irlanda;Viajero;2024M10;155.568
Total;Irlanda;Viajero;2024M09;190.473
Total;Irlanda;Viajero;2024M08;158.716
Total;Irlanda;Viajero;2024M07;167.416
Total;Irlanda;Viajero;2024M06;180.968
Total;Irlanda;Viajero;2024M05;187.539
Total;Irlanda;Viajero;2024M04;136.786
Total;Irlanda;Viajero;2024M03;89.912
Total;Irlanda;Viajero;2024M02;72.555
Total;Irlanda;Viajero;2024M01;68.131
Total;Irlanda;Viajero;2023M12;57.019
Total;Irlanda;Viajero;2023M11;70.387
Total;Irlanda;Viajero;2023M10;146.250
Total;Irlanda;Viajero;2023M09;176.614
Total;Irlanda;Viajero;2023M08;152.649
Total;Irlanda;Viajero;2023M07;154.419
Total;Irlanda;Viajero;2023M06;156.683
Total;Irlanda;Viajero;2023M05;152.793
Total;Irlanda;Viajero;2023M04;126.674
Total;Irlanda;Viajero;2023M03;70.198
Total;Irlanda;Viajero;2023M02;57.047
Total;Irlanda;Viajero;2023M01;52.740
Total;Irlanda;Viajero;2022M12;44.892
Total;Irlanda;Viajero;2022M11;58.029
Total;Irlanda;Viajero;2022M10;117.981
Total;Irlanda;Viajero;2022M09;154.968
Total;Irlanda;Viajero;2022M08;128.508
Total;Irlanda;Viajero;2022M07;135.486
Total;Irlanda;Viajero;2022M06;137.175
Total;Irlanda;Viajero;2022M05;133.430
Total;Irlanda;Viajero;2022M04;99.375
Total;Irlanda;Viajero;2022M03;60.501
Total;Irlanda;Viajero;2022M02;47.425
Total;Irlanda;Viajero;2022M01;32.193
Total;Irlanda;Pernoctaciones;2026M03;450.203
Total;Irlanda;Pernoctaciones;2026M02;363.308
Total;Irlanda;Pernoctaciones;2026M01;374.720
Total;Irlanda;Pernoctaciones;2025M12;300.756
Total;Irlanda;Pernoctaciones;2025M11;342.770
Total;Irlanda;Pernoctaciones;2025M10;789.779
Total;Irlanda;Pernoctaciones;2025M09;889.891
Total;Irlanda;Pernoctaciones;2025M08;893.859
Total;Irlanda;Pernoctaciones;2025M07;980.005
Total;Irlanda;Pernoctaciones;2025M06;1.037.244
Total;Irlanda;Pernoctaciones;2025M05;884.089
Total;Irlanda;Pernoctaciones;2025M04;594.062
Total;Irlanda;Pernoctaciones;2025M03;398.180
Total;Irlanda;Pernoctaciones;2025M02;343.764
Total;Irlanda;Pernoctaciones;2025M01;356.871
Total;Irlanda;Pernoctaciones;2024M12;269.896
Total;Irlanda;Pernoctaciones;2024M11;326.619
Total;Irlanda;Pernoctaciones;2024M10;721.429
Total;Irlanda;Pernoctaciones;2024M09;887.047
Total;Irlanda;Pernoctaciones;2024M08;841.733
Total;Irlanda;Pernoctaciones;2024M07;928.180
Total;Irlanda;Pernoctaciones;2024M06;924.775
Total;Irlanda;Pernoctaciones;2024M05;834.469
Total;Irlanda;Pernoctaciones;2024M04;555.977
Total;Irlanda;Pernoctaciones;2024M03;403.321
Total;Irlanda;Pernoctaciones;2024M02;331.926
Total;Irlanda;Pernoctaciones;2024M01;342.315
