Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M08;8.699.452
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M07;7.831.221
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M06;6.091.232
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M05;4.934.828
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M04;4.121.179
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M03;2.490.963
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M02;1.968.077
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M01;1.461.340
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2026M03;2.339.012
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2026M02;1.706.682
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2026M01;1.403.655
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M12;1.613.381
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M11;2.050.860
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M10;2.799.094
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M09;3.245.441
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M08;4.078.805
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M07;3.710.573
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M06;3.195.782
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M05;2.897.708
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M04;2.676.657
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M03;2.289.856
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M02;1.643.692
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2025M01;1.386.272
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M12;1.567.092
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M11;1.899.397
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M10;2.691.347
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M09;3.177.788
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M08;4.033.379
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M07;3.623.837
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M06;3.106.623
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M05;2.930.269
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M04;2.526.943
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M03;2.433.132
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M02;1.685.677
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2024M01;1.375.199
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M12;1.554.581
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M11;1.751.215
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M10;2.561.163
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M09;2.896.001
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M08;3.909.722
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M07;3.503.305
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M06;2.934.185
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M05;2.581.432
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M04;2.668.749
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M03;2.059.518
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M02;1.419.112
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2023M01;1.233.531
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M12;1.476.835
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M11;1.762.576
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M10;2.379.233
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M09;2.926.004
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M08;4.014.057
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M07;3.563.187
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M06;2.844.684
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M05;2.538.973
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M04;2.409.682
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M03;1.621.269
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M02;1.072.645
Total Nacional;10 Comunitat Valenciana;;Pernoctaciones;Total;;2022M01;713.563
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2026M03;2.296.624
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2026M02;2.011.117
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2026M01;2.085.517
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M12;2.290.709
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M11;2.366.517
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M10;2.598.869
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M09;2.392.520
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M08;2.115.059
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M07;2.330.843
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M06;2.412.755
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M05;2.560.824
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M04;2.461.609
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M03;2.214.279
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M02;1.902.043
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2025M01;1.924.204
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M12;2.165.912
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M11;2.275.915
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M10;2.522.790
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M09;2.328.196
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M08;2.037.081
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M07;2.314.639
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M06;2.346.598
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M05;2.490.212
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M04;2.301.405
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M03;2.262.645
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M02;1.920.576
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2024M01;1.814.976
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M12;2.126.979
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M11;2.130.175
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M10;2.335.634
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M09;2.301.663
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M08;1.990.751
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M07;2.189.610
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M06;2.239.681
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M05;2.224.662
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M04;2.247.895
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M03;2.040.209
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M02;1.705.884
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2023M01;1.736.647
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M12;1.903.855
