Provincias de destino;Procedencia de los viajeros;Meses;Total
08 Barcelona;Residentes en España;Noviembre;11.112
08 Barcelona;Residentes en España;Diciembre;9.941
08 Barcelona;No Residentes;Total;9.456
08 Barcelona;No Residentes;Enero;0
08 Barcelona;No Residentes;Febrero;16
08 Barcelona;No Residentes;Marzo;29
08 Barcelona;No Residentes;Abril;175
08 Barcelona;No Residentes;Mayo;167
08 Barcelona;No Residentes;Junio;874
08 Barcelona;No Residentes;Julio;1.633
08 Barcelona;No Residentes;Agosto;3.416
08 Barcelona;No Residentes;Septiembre;1.578
08 Barcelona;No Residentes;Octubre;658
08 Barcelona;No Residentes;Noviembre;431
08 Barcelona;No Residentes;Diciembre;480
48 Bizkaia;Total;Total;30.498
48 Bizkaia;Total;Enero;304
48 Bizkaia;Total;Febrero;353
48 Bizkaia;Total;Marzo;1.458
48 Bizkaia;Total;Abril;1.310
48 Bizkaia;Total;Mayo;1.520
48 Bizkaia;Total;Junio;2.870
48 Bizkaia;Total;Julio;4.478
48 Bizkaia;Total;Agosto;6.805
48 Bizkaia;Total;Septiembre;3.914
48 Bizkaia;Total;Octubre;3.710
48 Bizkaia;Total;Noviembre;1.969
48 Bizkaia;Total;Diciembre;1.807
48 Bizkaia;Residentes en España;Total;27.628
48 Bizkaia;Residentes en España;Enero;282
48 Bizkaia;Residentes en España;Febrero;268
48 Bizkaia;Residentes en España;Marzo;1.400
48 Bizkaia;Residentes en España;Abril;1.245
48 Bizkaia;Residentes en España;Mayo;1.440
48 Bizkaia;Residentes en España;Junio;2.694
48 Bizkaia;Residentes en España;Julio;3.907
48 Bizkaia;Residentes en España;Agosto;6.237
48 Bizkaia;Residentes en España;Septiembre;3.319
48 Bizkaia;Residentes en España;Octubre;3.325
48 Bizkaia;Residentes en España;Noviembre;1.789
48 Bizkaia;Residentes en España;Diciembre;1.723
48 Bizkaia;No Residentes;Total;2.870
48 Bizkaia;No Residentes;Enero;21
48 Bizkaia;No Residentes;Febrero;85
48 Bizkaia;No Residentes;Marzo;58
48 Bizkaia;No Residentes;Abril;65
48 Bizkaia;No Residentes;Mayo;80
48 Bizkaia;No Residentes;Junio;176
48 Bizkaia;No Residentes;Julio;571
48 Bizkaia;No Residentes;Agosto;569
48 Bizkaia;No Residentes;Septiembre;595
48 Bizkaia;No Residentes;Octubre;385
48 Bizkaia;No Residentes;Noviembre;180
48 Bizkaia;No Residentes;Diciembre;84
09 Burgos;Total;Total;71.190
09 Burgos;Total;Enero;190
09 Burgos;Total;Febrero;338
09 Burgos;Total;Marzo;569
09 Burgos;Total;Abril;1.263
09 Burgos;Total;Mayo;1.950
09 Burgos;Total;Junio;7.189
09 Burgos;Total;Julio;9.996
09 Burgos;Total;Agosto;14.038
09 Burgos;Total;Septiembre;9.215
09 Burgos;Total;Octubre;12.363
09 Burgos;Total;Noviembre;7.252
09 Burgos;Total;Diciembre;6.828
09 Burgos;Residentes en España;Total;62.970
09 Burgos;Residentes en España;Enero;184
09 Burgos;Residentes en España;Febrero;327
09 Burgos;Residentes en España;Marzo;537
09 Burgos;Residentes en España;Abril;1.247
09 Burgos;Residentes en España;Mayo;1.813
09 Burgos;Residentes en España;Junio;6.154
09 Burgos;Residentes en España;Julio;8.635
09 Burgos;Residentes en España;Agosto;12.141
09 Burgos;Residentes en España;Septiembre;7.768
09 Burgos;Residentes en España;Octubre;10.541
09 Burgos;Residentes en España;Noviembre;7.069
09 Burgos;Residentes en España;Diciembre;6.553
09 Burgos;No Residentes;Total;8.220
09 Burgos;No Residentes;Enero;6
09 Burgos;No Residentes;Febrero;10
09 Burgos;No Residentes;Marzo;32
09 Burgos;No Residentes;Abril;16
09 Burgos;No Residentes;Mayo;137
09 Burgos;No Residentes;Junio;1.035
09 Burgos;No Residentes;Julio;1.360
09 Burgos;No Residentes;Agosto;1.897
09 Burgos;No Residentes;Septiembre;1.446
09 Burgos;No Residentes;Octubre;1.822
09 Burgos;No Residentes;Noviembre;183
09 Burgos;No Residentes;Diciembre;275
10 Cáceres;Total;Total;149.342
10 Cáceres;Total;Enero;1.399
10 Cáceres;Total;Febrero;2.791
10 Cáceres;Total;Marzo;9.595
10 Cáceres;Total;Abril;6.386
10 Cáceres;Total;Mayo;9.852
10 Cáceres;Total;Junio;13.227
10 Cáceres;Total;Julio;21.288
10 Cáceres;Total;Agosto;26.417
10 Cáceres;Total;Septiembre;15.728
10 Cáceres;Total;Octubre;17.559
10 Cáceres;Total;Noviembre;12.383
10 Cáceres;Total;Diciembre;12.717
10 Cáceres;Residentes en España;Total;134.260
10 Cáceres;Residentes en España;Enero;1.366
10 Cáceres;Residentes en España;Febrero;2.777
10 Cáceres;Residentes en España;Marzo;8.802
10 Cáceres;Residentes en España;Abril;5.857
10 Cáceres;Residentes en España;Mayo;8.907
10 Cáceres;Residentes en España;Junio;11.733
10 Cáceres;Residentes en España;Julio;18.415
10 Cáceres;Residentes en España;Agosto;24.181
10 Cáceres;Residentes en España;Septiembre;13.626
10 Cáceres;Residentes en España;Octubre;15.527
10 Cáceres;Residentes en España;Noviembre;11.422
10 Cáceres;Residentes en España;Diciembre;11.646
10 Cáceres;No Residentes;Total;15.081
10 Cáceres;No Residentes;Enero;33
10 Cáceres;No Residentes;Febrero;13
10 Cáceres;No Residentes;Marzo;793
10 Cáceres;No Residentes;Abril;530
10 Cáceres;No Residentes;Mayo;945
10 Cáceres;No Residentes;Junio;1.494
10 Cáceres;No Residentes;Julio;2.872
10 Cáceres;No Residentes;Agosto;2.236
10 Cáceres;No Residentes;Septiembre;2.102
10 Cáceres;No Residentes;Octubre;2.032
10 Cáceres;No Residentes;Noviembre;961
10 Cáceres;No Residentes;Diciembre;1.071
11 Cádiz;Total;Total;24.490
11 Cádiz;Total;Enero;172
11 Cádiz;Total;Febrero;154
11 Cádiz;Total;Marzo;1.177
11 Cádiz;Total;Abril;1.081
11 Cádiz;Total;Mayo;1.606
11 Cádiz;Total;Junio;2.410
11 Cádiz;Total;Julio;3.715
11 Cádiz;Total;Agosto;4.654
11 Cádiz;Total;Septiembre;2.843
11 Cádiz;Total;Octubre;2.597
11 Cádiz;Total;Noviembre;1.973
11 Cádiz;Total;Diciembre;2.108
11 Cádiz;Residentes en España;Total;20.480
11 Cádiz;Residentes en España;Enero;145
11 Cádiz;Residentes en España;Febrero;126
11 Cádiz;Residentes en España;Marzo;1.048
11 Cádiz;Residentes en España;Abril;903
11 Cádiz;Residentes en España;Mayo;1.283
11 Cádiz;Residentes en España;Junio;2.083
11 Cádiz;Residentes en España;Julio;3.106
11 Cádiz;Residentes en España;Agosto;4.153
11 Cádiz;Residentes en España;Septiembre;2.126
11 Cádiz;Residentes en España;Octubre;2.006
11 Cádiz;Residentes en España;Noviembre;1.586
11 Cádiz;Residentes en España;Diciembre;1.914
11 Cádiz;No Residentes;Total;4.011
11 Cádiz;No Residentes;Enero;27
11 Cádiz;No Residentes;Febrero;28
11 Cádiz;No Residentes;Marzo;129
11 Cádiz;No Residentes;Abril;178
11 Cádiz;No Residentes;Mayo;322
11 Cádiz;No Residentes;Junio;326
11 Cádiz;No Residentes;Julio;609
11 Cádiz;No Residentes;Agosto;501
11 Cádiz;No Residentes;Septiembre;718
11 Cádiz;No Residentes;Octubre;591
11 Cádiz;No Residentes;Noviembre;387
11 Cádiz;No Residentes;Diciembre;194
39 Cantabria;Total;Total;228.411
39 Cantabria;Total;Enero;1.178
39 Cantabria;Total;Febrero;1.994
39 Cantabria;Total;Marzo;2.406
39 Cantabria;Total;Abril;3.501
39 Cantabria;Total;Mayo;8.004
39 Cantabria;Total;Junio;21.043
39 Cantabria;Total;Julio;48.883
39 Cantabria;Total;Agosto;59.515
39 Cantabria;Total;Septiembre;35.461
39 Cantabria;Total;Octubre;24.644
39 Cantabria;Total;Noviembre;10.560
39 Cantabria;Total;Diciembre;11.223
39 Cantabria;Residentes en España;Total;207.107
39 Cantabria;Residentes en España;Enero;1.101
39 Cantabria;Residentes en España;Febrero;1.927
39 Cantabria;Residentes en España;Marzo;2.338
39 Cantabria;Residentes en España;Abril;3.420
39 Cantabria;Residentes en España;Mayo;7.043
39 Cantabria;Residentes en España;Junio;19.406
39 Cantabria;Residentes en España;Julio;43.824
39 Cantabria;Residentes en España;Agosto;55.696
39 Cantabria;Residentes en España;Septiembre;29.625
39 Cantabria;Residentes en España;Octubre;22.353
39 Cantabria;Residentes en España;Noviembre;9.843
39 Cantabria;Residentes en España;Diciembre;10.532
39 Cantabria;No Residentes;Total;21.304
39 Cantabria;No Residentes;Enero;77
39 Cantabria;No Residentes;Febrero;66
39 Cantabria;No Residentes;Marzo;68
39 Cantabria;No Residentes;Abril;81
39 Cantabria;No Residentes;Mayo;961
39 Cantabria;No Residentes;Junio;1.637
39 Cantabria;No Residentes;Julio;5.059
39 Cantabria;No Residentes;Agosto;3.819
39 Cantabria;No Residentes;Septiembre;5.837
39 Cantabria;No Residentes;Octubre;2.291
39 Cantabria;No Residentes;Noviembre;717
39 Cantabria;No Residentes;Diciembre;691
12 Castellón/Castelló;Total;Total;43.042
12 Castellón/Castelló;Total;Enero;1.608
12 Castellón/Castelló;Total;Febrero;838
12 Castellón/Castelló;Total;Marzo;2.645
12 Castellón/Castelló;Total;Abril;3.655
12 Castellón/Castelló;Total;Mayo;3.060
12 Castellón/Castelló;Total;Junio;3.560
12 Castellón/Castelló;Total;Julio;4.314
12 Castellón/Castelló;Total;Agosto;5.880
12 Castellón/Castelló;Total;Septiembre;3.720
12 Castellón/Castelló;Total;Octubre;5.490
12 Castellón/Castelló;Total;Noviembre;3.199
12 Castellón/Castelló;Total;Diciembre;5.073
12 Castellón/Castelló;Residentes en España;Total;42.462
12 Castellón/Castelló;Residentes en España;Enero;1.608
12 Castellón/Castelló;Residentes en España;Febrero;838
12 Castellón/Castelló;Residentes en España;Marzo;2.645
12 Castellón/Castelló;Residentes en España;Abril;3.655
12 Castellón/Castelló;Residentes en España;Mayo;3.060
12 Castellón/Castelló;Residentes en España;Junio;3.536
12 Castellón/Castelló;Residentes en España;Julio;4.239
12 Castellón/Castelló;Residentes en España;Agosto;5.731
12 Castellón/Castelló;Residentes en España;Septiembre;3.569
12 Castellón/Castelló;Residentes en España;Octubre;5.409
12 Castellón/Castelló;Residentes en España;Noviembre;3.155
12 Castellón/Castelló;Residentes en España;Diciembre;5.016
12 Castellón/Castelló;No Residentes;Total;580
12 Castellón/Castelló;No Residentes;Enero;0
12 Castellón/Castelló;No Residentes;Febrero;0
12 Castellón/Castelló;No Residentes;Marzo;0
12 Castellón/Castelló;No Residentes;Abril;0
12 Castellón/Castelló;No Residentes;Mayo;0
12 Castellón/Castelló;No Residentes;Junio;24
12 Castellón/Castelló;No Residentes;Julio;75
12 Castellón/Castelló;No Residentes;Agosto;148
12 Castellón/Castelló;No Residentes;Septiembre;150
12 Castellón/Castelló;No Residentes;Octubre;82
12 Castellón/Castelló;No Residentes;Noviembre;43
12 Castellón/Castelló;No Residentes;Diciembre;58
13 Ciudad Real;Total;Total;33.367
13 Ciudad Real;Total;Enero;292
13 Ciudad Real;Total;Febrero;466
13 Ciudad Real;Total;Marzo;589
13 Ciudad Real;Total;Abril;1.075
13 Ciudad Real;Total;Mayo;1.983
13 Ciudad Real;Total;Junio;3.077
13 Ciudad Real;Total;Julio;5.522
13 Ciudad Real;Total;Agosto;5.072
13 Ciudad Real;Total;Septiembre;3.638
13 Ciudad Real;Total;Octubre;4.872
13 Ciudad Real;Total;Noviembre;3.023
13 Ciudad Real;Total;Diciembre;3.757
13 Ciudad Real;Residentes en España;Total;32.872
13 Ciudad Real;Residentes en España;Enero;292
13 Ciudad Real;Residentes en España;Febrero;466
13 Ciudad Real;Residentes en España;Marzo;577
13 Ciudad Real;Residentes en España;Abril;1.051
13 Ciudad Real;Residentes en España;Mayo;1.973
13 Ciudad Real;Residentes en España;Junio;3.061
13 Ciudad Real;Residentes en España;Julio;5.450
13 Ciudad Real;Residentes en España;Agosto;4.964
13 Ciudad Real;Residentes en España;Septiembre;3.536
13 Ciudad Real;Residentes en España;Octubre;4.798
13 Ciudad Real;Residentes en España;Noviembre;2.977
13 Ciudad Real;Residentes en España;Diciembre;3.727
13 Ciudad Real;No Residentes;Total;495
13 Ciudad Real;No Residentes;Enero;0
13 Ciudad Real;No Residentes;Febrero;0
13 Ciudad Real;No Residentes;Marzo;12
13 Ciudad Real;No Residentes;Abril;24
13 Ciudad Real;No Residentes;Mayo;10
13 Ciudad Real;No Residentes;Junio;16
13 Ciudad Real;No Residentes;Julio;72
13 Ciudad Real;No Residentes;Agosto;108
13 Ciudad Real;No Residentes;Septiembre;102
13 Ciudad Real;No Residentes;Octubre;74
13 Ciudad Real;No Residentes;Noviembre;46
13 Ciudad Real;No Residentes;Diciembre;30
14 Córdoba;Total;Total;36.148
14 Córdoba;Total;Enero;223
14 Córdoba;Total;Febrero;309
14 Córdoba;Total;Marzo;1.258
14 Córdoba;Total;Abril;1.613
14 Córdoba;Total;Mayo;1.896
14 Córdoba;Total;Junio;3.037
14 Córdoba;Total;Julio;4.996
14 Córdoba;Total;Agosto;5.173
14 Córdoba;Total;Septiembre;3.846
