Provincias;País de residencia;Meses;Total
02 Albacete;Rusia;Enero;..
02 Albacete;Rusia;Febrero;..
02 Albacete;Rusia;Marzo;..
02 Albacete;Rusia;Abril;..
02 Albacete;Rusia;Mayo;..
02 Albacete;Rusia;Junio;..
02 Albacete;Rusia;Julio;..
02 Albacete;Rusia;Agosto;..
02 Albacete;Rusia;Septiembre;17
02 Albacete;Rusia;Octubre;24
02 Albacete;Rusia;Noviembre;52
02 Albacete;Rusia;Diciembre;..
02 Albacete;Suiza;Total;632
02 Albacete;Suiza;Enero;..
02 Albacete;Suiza;Febrero;23
02 Albacete;Suiza;Marzo;29
02 Albacete;Suiza;Abril;..
02 Albacete;Suiza;Mayo;51
02 Albacete;Suiza;Junio;13
02 Albacete;Suiza;Julio;101
02 Albacete;Suiza;Agosto;89
02 Albacete;Suiza;Septiembre;72
02 Albacete;Suiza;Octubre;102
02 Albacete;Suiza;Noviembre;41
02 Albacete;Suiza;Diciembre;82
02 Albacete;Resto de Europa sin U.E.;Total;1.276
02 Albacete;Resto de Europa sin U.E.;Enero;27
02 Albacete;Resto de Europa sin U.E.;Febrero;91
02 Albacete;Resto de Europa sin U.E.;Marzo;50
02 Albacete;Resto de Europa sin U.E.;Abril;68
02 Albacete;Resto de Europa sin U.E.;Mayo;223
02 Albacete;Resto de Europa sin U.E.;Junio;70
02 Albacete;Resto de Europa sin U.E.;Julio;62
02 Albacete;Resto de Europa sin U.E.;Agosto;155
02 Albacete;Resto de Europa sin U.E.;Septiembre;56
02 Albacete;Resto de Europa sin U.E.;Octubre;185
02 Albacete;Resto de Europa sin U.E.;Noviembre;126
02 Albacete;Resto de Europa sin U.E.;Diciembre;165
02 Albacete;Japón;Total;77
02 Albacete;Japón;Enero;..
02 Albacete;Japón;Febrero;..
02 Albacete;Japón;Marzo;..
02 Albacete;Japón;Abril;..
02 Albacete;Japón;Mayo;..
02 Albacete;Japón;Junio;..
02 Albacete;Japón;Julio;..
02 Albacete;Japón;Agosto;14
02 Albacete;Japón;Septiembre;15
02 Albacete;Japón;Octubre;23
02 Albacete;Japón;Noviembre;..
02 Albacete;Japón;Diciembre;..
02 Albacete;República China;Total;129
02 Albacete;República China;Enero;17
02 Albacete;República China;Febrero;..
02 Albacete;República China;Marzo;..
02 Albacete;República China;Abril;..
02 Albacete;República China;Mayo;..
02 Albacete;República China;Junio;..
02 Albacete;República China;Julio;..
02 Albacete;República China;Agosto;12
02 Albacete;República China;Septiembre;..
02 Albacete;República China;Octubre;23
02 Albacete;República China;Noviembre;..
02 Albacete;República China;Diciembre;..
02 Albacete;Estados Unidos;Total;3.269
02 Albacete;Estados Unidos;Enero;195
02 Albacete;Estados Unidos;Febrero;157
02 Albacete;Estados Unidos;Marzo;187
02 Albacete;Estados Unidos;Abril;251
02 Albacete;Estados Unidos;Mayo;321
02 Albacete;Estados Unidos;Junio;384
02 Albacete;Estados Unidos;Julio;203
02 Albacete;Estados Unidos;Agosto;169
02 Albacete;Estados Unidos;Septiembre;373
02 Albacete;Estados Unidos;Octubre;432
02 Albacete;Estados Unidos;Noviembre;341
02 Albacete;Estados Unidos;Diciembre;255
02 Albacete;Resto de América;Total;2.643
02 Albacete;Resto de América;Enero;80
02 Albacete;Resto de América;Febrero;137
02 Albacete;Resto de América;Marzo;111
02 Albacete;Resto de América;Abril;136
02 Albacete;Resto de América;Mayo;163
02 Albacete;Resto de América;Junio;206
02 Albacete;Resto de América;Julio;218
02 Albacete;Resto de América;Agosto;270
02 Albacete;Resto de América;Septiembre;310
02 Albacete;Resto de América;Octubre;440
02 Albacete;Resto de América;Noviembre;331
02 Albacete;Resto de América;Diciembre;242
02 Albacete;Países africanos;Total;1.114
02 Albacete;Países africanos;Enero;48
02 Albacete;Países africanos;Febrero;83
02 Albacete;Países africanos;Marzo;47
02 Albacete;Países africanos;Abril;..
02 Albacete;Países africanos;Mayo;..
02 Albacete;Países africanos;Junio;105
02 Albacete;Países africanos;Julio;99
02 Albacete;Países africanos;Agosto;198
02 Albacete;Países africanos;Septiembre;126
02 Albacete;Países africanos;Octubre;58
02 Albacete;Países africanos;Noviembre;111
02 Albacete;Países africanos;Diciembre;179
03 Alicante/Alacant;Total;Total;2.709.217
03 Alicante/Alacant;Total;Enero;34.747
03 Alicante/Alacant;Total;Febrero;27.403
03 Alicante/Alacant;Total;Marzo;62.237
03 Alicante/Alacant;Total;Abril;87.164
03 Alicante/Alacant;Total;Mayo;161.807
03 Alicante/Alacant;Total;Junio;288.947
03 Alicante/Alacant;Total;Julio;433.590
03 Alicante/Alacant;Total;Agosto;521.455
03 Alicante/Alacant;Total;Septiembre;344.800
03 Alicante/Alacant;Total;Octubre;341.365
03 Alicante/Alacant;Total;Noviembre;216.112
03 Alicante/Alacant;Total;Diciembre;189.591
03 Alicante/Alacant;Residentes en España;Total;1.972.812
03 Alicante/Alacant;Residentes en España;Enero;26.735
03 Alicante/Alacant;Residentes en España;Febrero;22.719
03 Alicante/Alacant;Residentes en España;Marzo;53.051
03 Alicante/Alacant;Residentes en España;Abril;74.600
03 Alicante/Alacant;Residentes en España;Mayo;133.769
03 Alicante/Alacant;Residentes en España;Junio;238.968
03 Alicante/Alacant;Residentes en España;Julio;348.139
03 Alicante/Alacant;Residentes en España;Agosto;393.893
03 Alicante/Alacant;Residentes en España;Septiembre;228.753
03 Alicante/Alacant;Residentes en España;Octubre;200.707
03 Alicante/Alacant;Residentes en España;Noviembre;123.399
03 Alicante/Alacant;Residentes en España;Diciembre;128.079
03 Alicante/Alacant;No residentes en España;Total;736.405
03 Alicante/Alacant;No residentes en España;Enero;8.012
03 Alicante/Alacant;No residentes en España;Febrero;4.684
03 Alicante/Alacant;No residentes en España;Marzo;9.187
03 Alicante/Alacant;No residentes en España;Abril;12.563
03 Alicante/Alacant;No residentes en España;Mayo;28.038
03 Alicante/Alacant;No residentes en España;Junio;49.979
03 Alicante/Alacant;No residentes en España;Julio;85.451
03 Alicante/Alacant;No residentes en España;Agosto;127.562
03 Alicante/Alacant;No residentes en España;Septiembre;116.046
03 Alicante/Alacant;No residentes en España;Octubre;140.659
03 Alicante/Alacant;No residentes en España;Noviembre;92.713
03 Alicante/Alacant;No residentes en España;Diciembre;61.512
03 Alicante/Alacant;Unión Europea 27 (sin España);Total;398.881
03 Alicante/Alacant;Unión Europea 27 (sin España);Enero;4.844
03 Alicante/Alacant;Unión Europea 27 (sin España);Febrero;2.471
03 Alicante/Alacant;Unión Europea 27 (sin España);Marzo;5.365
03 Alicante/Alacant;Unión Europea 27 (sin España);Abril;8.037
03 Alicante/Alacant;Unión Europea 27 (sin España);Mayo;18.918
03 Alicante/Alacant;Unión Europea 27 (sin España);Junio;30.181
03 Alicante/Alacant;Unión Europea 27 (sin España);Julio;54.802
03 Alicante/Alacant;Unión Europea 27 (sin España);Agosto;79.318
03 Alicante/Alacant;Unión Europea 27 (sin España);Septiembre;59.899
03 Alicante/Alacant;Unión Europea 27 (sin España);Octubre;65.332
03 Alicante/Alacant;Unión Europea 27 (sin España);Noviembre;39.839
03 Alicante/Alacant;Unión Europea 27 (sin España);Diciembre;29.875
03 Alicante/Alacant;Alemania;Total;33.961
03 Alicante/Alacant;Alemania;Enero;262
03 Alicante/Alacant;Alemania;Febrero;201
03 Alicante/Alacant;Alemania;Marzo;598
03 Alicante/Alacant;Alemania;Abril;693
03 Alicante/Alacant;Alemania;Mayo;1.988
03 Alicante/Alacant;Alemania;Junio;3.363
03 Alicante/Alacant;Alemania;Julio;4.363
03 Alicante/Alacant;Alemania;Agosto;3.826
03 Alicante/Alacant;Alemania;Septiembre;5.372
03 Alicante/Alacant;Alemania;Octubre;6.949
03 Alicante/Alacant;Alemania;Noviembre;3.861
03 Alicante/Alacant;Alemania;Diciembre;2.485
03 Alicante/Alacant;Austria;Total;2.951
03 Alicante/Alacant;Austria;Enero;87
03 Alicante/Alacant;Austria;Febrero;46
03 Alicante/Alacant;Austria;Marzo;26
03 Alicante/Alacant;Austria;Abril;65
03 Alicante/Alacant;Austria;Mayo;123
03 Alicante/Alacant;Austria;Junio;382
03 Alicante/Alacant;Austria;Julio;440
03 Alicante/Alacant;Austria;Agosto;378
03 Alicante/Alacant;Austria;Septiembre;320
03 Alicante/Alacant;Austria;Octubre;537
03 Alicante/Alacant;Austria;Noviembre;292
03 Alicante/Alacant;Austria;Diciembre;254
03 Alicante/Alacant;Bélgica;Total;55.057
03 Alicante/Alacant;Bélgica;Enero;548
03 Alicante/Alacant;Bélgica;Febrero;183
03 Alicante/Alacant;Bélgica;Marzo;397
03 Alicante/Alacant;Bélgica;Abril;1.378
03 Alicante/Alacant;Bélgica;Mayo;3.468
03 Alicante/Alacant;Bélgica;Junio;3.953
03 Alicante/Alacant;Bélgica;Julio;6.680
03 Alicante/Alacant;Bélgica;Agosto;7.052
03 Alicante/Alacant;Bélgica;Septiembre;8.921
03 Alicante/Alacant;Bélgica;Octubre;10.175
03 Alicante/Alacant;Bélgica;Noviembre;6.668
03 Alicante/Alacant;Bélgica;Diciembre;5.635
03 Alicante/Alacant;Dinamarca;Total;9.839
03 Alicante/Alacant;Dinamarca;Enero;49
03 Alicante/Alacant;Dinamarca;Febrero;20
03 Alicante/Alacant;Dinamarca;Marzo;50
03 Alicante/Alacant;Dinamarca;Abril;70
03 Alicante/Alacant;Dinamarca;Mayo;260
03 Alicante/Alacant;Dinamarca;Junio;443
03 Alicante/Alacant;Dinamarca;Julio;2.389
03 Alicante/Alacant;Dinamarca;Agosto;1.269
03 Alicante/Alacant;Dinamarca;Septiembre;1.517
03 Alicante/Alacant;Dinamarca;Octubre;2.548
