Provincias;País de residencia;Meses;Total
02 Albacete;Reino Unido;Noviembre;..
02 Albacete;Reino Unido;Diciembre;..
02 Albacete;Rusia;Total;..
02 Albacete;Rusia;Enero;..
02 Albacete;Rusia;Febrero;..
02 Albacete;Rusia;Marzo;..
02 Albacete;Rusia;Abril;..
02 Albacete;Rusia;Mayo;..
02 Albacete;Rusia;Junio;..
02 Albacete;Rusia;Julio;..
02 Albacete;Rusia;Agosto;..
02 Albacete;Rusia;Septiembre;..
02 Albacete;Rusia;Octubre;..
02 Albacete;Rusia;Noviembre;..
02 Albacete;Rusia;Diciembre;..
02 Albacete;Suiza;Total;..
02 Albacete;Suiza;Enero;..
02 Albacete;Suiza;Febrero;..
02 Albacete;Suiza;Marzo;..
02 Albacete;Suiza;Abril;..
02 Albacete;Suiza;Mayo;..
02 Albacete;Suiza;Junio;..
02 Albacete;Suiza;Julio;..
02 Albacete;Suiza;Agosto;..
02 Albacete;Suiza;Septiembre;..
02 Albacete;Suiza;Octubre;..
02 Albacete;Suiza;Noviembre;..
02 Albacete;Suiza;Diciembre;..
02 Albacete;Resto de Europa;Total;94
02 Albacete;Resto de Europa;Enero;..
02 Albacete;Resto de Europa;Febrero;..
02 Albacete;Resto de Europa;Marzo;..
02 Albacete;Resto de Europa;Abril;..
02 Albacete;Resto de Europa;Mayo;21
02 Albacete;Resto de Europa;Junio;..
02 Albacete;Resto de Europa;Julio;37
02 Albacete;Resto de Europa;Agosto;10
02 Albacete;Resto de Europa;Septiembre;12
02 Albacete;Resto de Europa;Octubre;..
02 Albacete;Resto de Europa;Noviembre;..
02 Albacete;Resto de Europa;Diciembre;..
02 Albacete;Estados Unidos;Total;..
02 Albacete;Estados Unidos;Enero;..
02 Albacete;Estados Unidos;Febrero;..
02 Albacete;Estados Unidos;Marzo;..
02 Albacete;Estados Unidos;Abril;..
02 Albacete;Estados Unidos;Mayo;..
02 Albacete;Estados Unidos;Junio;..
02 Albacete;Estados Unidos;Julio;..
02 Albacete;Estados Unidos;Agosto;..
02 Albacete;Estados Unidos;Septiembre;..
02 Albacete;Estados Unidos;Octubre;..
02 Albacete;Estados Unidos;Noviembre;..
02 Albacete;Estados Unidos;Diciembre;..
02 Albacete;Resto de América;Total;20
02 Albacete;Resto de América;Enero;..
02 Albacete;Resto de América;Febrero;..
02 Albacete;Resto de América;Marzo;..
02 Albacete;Resto de América;Abril;..
02 Albacete;Resto de América;Mayo;..
02 Albacete;Resto de América;Junio;..
02 Albacete;Resto de América;Julio;..
02 Albacete;Resto de América;Agosto;..
02 Albacete;Resto de América;Septiembre;..
02 Albacete;Resto de América;Octubre;..
02 Albacete;Resto de América;Noviembre;..
02 Albacete;Resto de América;Diciembre;..
02 Albacete;Países Africanos;Total;..
