Provincias;Residencia;Meses;Total
09 Burgos;Residentes en España;Junio;1,56
09 Burgos;Residentes en España;Julio;1,60
09 Burgos;Residentes en España;Agosto;1,62
09 Burgos;Residentes en España;Septiembre;1,61
09 Burgos;Residentes en España;Octubre;1,62
09 Burgos;Residentes en España;Noviembre;1,55
09 Burgos;Residentes en España;Diciembre;1,62
09 Burgos;No residentes en España;Total;1,35
09 Burgos;No residentes en España;Enero;1,65
09 Burgos;No residentes en España;Febrero;1,77
09 Burgos;No residentes en España;Marzo;1,64
09 Burgos;No residentes en España;Abril;1,62
09 Burgos;No residentes en España;Mayo;1,47
09 Burgos;No residentes en España;Junio;1,30
09 Burgos;No residentes en España;Julio;1,22
09 Burgos;No residentes en España;Agosto;1,34
09 Burgos;No residentes en España;Septiembre;1,30
09 Burgos;No residentes en España;Octubre;1,30
09 Burgos;No residentes en España;Noviembre;1,52
09 Burgos;No residentes en España;Diciembre;1,44
10 Cáceres;Total;Total;1,76
10 Cáceres;Total;Enero;1,90
10 Cáceres;Total;Febrero;1,70
10 Cáceres;Total;Marzo;1,83
10 Cáceres;Total;Abril;1,69
10 Cáceres;Total;Mayo;1,69
10 Cáceres;Total;Junio;1,63
10 Cáceres;Total;Julio;1,59
10 Cáceres;Total;Agosto;1,68
10 Cáceres;Total;Septiembre;1,77
10 Cáceres;Total;Octubre;2,00
10 Cáceres;Total;Noviembre;1,86
10 Cáceres;Total;Diciembre;1,88
10 Cáceres;Residentes en España;Total;1,77
10 Cáceres;Residentes en España;Enero;1,91
10 Cáceres;Residentes en España;Febrero;1,68
10 Cáceres;Residentes en España;Marzo;1,84
10 Cáceres;Residentes en España;Abril;1,69
10 Cáceres;Residentes en España;Mayo;1,69
10 Cáceres;Residentes en España;Junio;1,65
10 Cáceres;Residentes en España;Julio;1,61
10 Cáceres;Residentes en España;Agosto;1,67
10 Cáceres;Residentes en España;Septiembre;1,79
10 Cáceres;Residentes en España;Octubre;2,00
10 Cáceres;Residentes en España;Noviembre;1,83
10 Cáceres;Residentes en España;Diciembre;1,90
10 Cáceres;No residentes en España;Total;1,72
10 Cáceres;No residentes en España;Enero;1,77
10 Cáceres;No residentes en España;Febrero;1,93
10 Cáceres;No residentes en España;Marzo;1,60
10 Cáceres;No residentes en España;Abril;1,75
10 Cáceres;No residentes en España;Mayo;1,57
10 Cáceres;No residentes en España;Junio;1,44
10 Cáceres;No residentes en España;Julio;1,32
10 Cáceres;No residentes en España;Agosto;1,73
10 Cáceres;No residentes en España;Septiembre;1,66
10 Cáceres;No residentes en España;Octubre;1,94
10 Cáceres;No residentes en España;Noviembre;2,11
10 Cáceres;No residentes en España;Diciembre;1,70
11 Cádiz;Total;Total;2,84
11 Cádiz;Total;Enero;2,00
11 Cádiz;Total;Febrero;2,00
11 Cádiz;Total;Marzo;2,04
11 Cádiz;Total;Abril;1,99
11 Cádiz;Total;Mayo;2,02
11 Cádiz;Total;Junio;2,60
11 Cádiz;Total;Julio;3,22
11 Cádiz;Total;Agosto;3,60
11 Cádiz;Total;Septiembre;3,08
11 Cádiz;Total;Octubre;2,69
11 Cádiz;Total;Noviembre;2,26
11 Cádiz;Total;Diciembre;2,04
11 Cádiz;Residentes en España;Total;2,72
11 Cádiz;Residentes en España;Enero;1,67
11 Cádiz;Residentes en España;Febrero;1,64
11 Cádiz;Residentes en España;Marzo;1,68
11 Cádiz;Residentes en España;Abril;1,70
11 Cádiz;Residentes en España;Mayo;1,91
11 Cádiz;Residentes en España;Junio;2,56
11 Cádiz;Residentes en España;Julio;3,21
11 Cádiz;Residentes en España;Agosto;3,62
11 Cádiz;Residentes en España;Septiembre;2,88
11 Cádiz;Residentes en España;Octubre;2,23
11 Cádiz;Residentes en España;Noviembre;1,93
11 Cádiz;Residentes en España;Diciembre;1,96
11 Cádiz;No residentes en España;Total;3,34
11 Cádiz;No residentes en España;Enero;3,96
11 Cádiz;No residentes en España;Febrero;4,04
11 Cádiz;No residentes en España;Marzo;3,70
11 Cádiz;No residentes en España;Abril;3,11
11 Cádiz;No residentes en España;Mayo;2,72
11 Cádiz;No residentes en España;Junio;2,87
11 Cádiz;No residentes en España;Julio;3,27
11 Cádiz;No residentes en España;Agosto;3,49
11 Cádiz;No residentes en España;Septiembre;3,76
11 Cádiz;No residentes en España;Octubre;3,64
11 Cádiz;No residentes en España;Noviembre;3,02
11 Cádiz;No residentes en España;Diciembre;2,32
39 Cantabria;Total;Total;2,30
39 Cantabria;Total;Enero;1,55
39 Cantabria;Total;Febrero;1,62
39 Cantabria;Total;Marzo;1,76
39 Cantabria;Total;Abril;1,81
39 Cantabria;Total;Mayo;1,79
39 Cantabria;Total;Junio;1,97
39 Cantabria;Total;Julio;2,58
39 Cantabria;Total;Agosto;2,78
39 Cantabria;Total;Septiembre;2,28
39 Cantabria;Total;Octubre;2,18
39 Cantabria;Total;Noviembre;2,05
39 Cantabria;Total;Diciembre;1,97
39 Cantabria;Residentes en España;Total;2,28
39 Cantabria;Residentes en España;Enero;1,47
39 Cantabria;Residentes en España;Febrero;1,56
39 Cantabria;Residentes en España;Marzo;1,72
39 Cantabria;Residentes en España;Abril;1,72
39 Cantabria;Residentes en España;Mayo;1,77
39 Cantabria;Residentes en España;Junio;1,96
39 Cantabria;Residentes en España;Julio;2,60
39 Cantabria;Residentes en España;Agosto;2,83
39 Cantabria;Residentes en España;Septiembre;2,29
39 Cantabria;Residentes en España;Octubre;2,06
39 Cantabria;Residentes en España;Noviembre;1,79
