Variable_original,Etiqueta_Stata,Estado,Variable_destino
b1205d,b1205d: que tipo de desavenencia sobre prestamos personales?: d. solicitud de re,Agrupada en variable padre,b1205x
b1205e,b1205e: que tipo de desavenencia sobre prestamos personales?: e. otros,Agrupada en variable padre,b1205x
b1206a,b1206a: que tipo de desavenencia sobre tarjetas y medios de pago?: a. cambios en,Agrupada en variable padre,b1206x
b1206b,b1206b: que tipo de desavenencia sobre tarjetas y medios de pago?: b. informacio,Agrupada en variable padre,b1206x
b1206c,b1206c: que tipo de desavenencia sobre tarjetas y medios de pago?: c. operacione,Agrupada en variable padre,b1206x
b1206d,b1206d: que tipo de desavenencia sobre tarjetas y medios de pago?: d. disconform,Agrupada en variable padre,b1206x
b1206e,b1206e: que tipo de desavenencia sobre tarjetas y medios de pago?: e. otros ,Agrupada en variable padre,b1206x
b1207a,"b1207a: que tipo de desavenencia sobre preferentes, convertibles o deu…?: a. fal",Agrupada en variable padre,b1207x
b1207b,"b1207b: que tipo de desavenencia sobre preferentes, convertibles o deu…?: b. no ",Agrupada en variable padre,b1207x
b1207c,"b1207c: que tipo de desavenencia sobre preferentes, convertibles o deu…?: c. otr",Agrupada en variable padre,b1207x
b1208a,b1208a: que tipo de desavenencia sobre depósitos o cuentas?: a. disputas sobre e,Agrupada en variable padre,b1208x
b1208b,b1208b: que tipo de desavenencia sobre depósitos o cuentas?: b. información,Agrupada en variable padre,b1208x
b1208c,b1208c: que tipo de desavenencia sobre depósitos o cuentas?: c. bloqueos y cance,Agrupada en variable padre,b1208x
b1208d,b1208d: que tipo de desavenencia sobre depósitos o cuentas?: d. otros ,Agrupada en variable padre,b1208x
b1209a,"b1209a: que tipo de desavenencia sobre seguros, fondos de pensiones…?: a. seguro",Agrupada en variable padre,b1209x
b1209b,"b1209b: que tipo de desavenencia sobre seguros, fondos de pensiones…?: b. fondos",Agrupada en variable padre,b1209x
