,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date,estancia_media_esp,estancia_media_ext
90,2023M12,28 Madrid,1052428,627019,425410,2126979,1155296,971683,2.021020915,1.842521518,2.284109447,2023,12,12/1/2023,-1.842521518,2.284109447
91,2023M11,29 Málaga,381833,149553,232281,1218526,312401,906125,3.191253768,2.08889825,3.900986305,2023,11,11/1/2023,-2.08889825,3.900986305
92,2023M11,41 Sevilla,290333,145435,144897,587432,261713,325719,2.023304275,1.799518685,2.24793474,2023,11,11/1/2023,-1.799518685,2.24793474
93,2023M11,"07 Balears, Illes",113029,40472,72557,413377,82054,331322,3.65726495,2.027426369,4.56636851,2023,11,11/1/2023,-2.027426369,4.56636851
94,2023M11,08 Barcelona,916429,272902,643526,2139733,492263,1647469,2.334859547,1.803808693,2.560065949,2023,11,11/1/2023,-1.803808693,2.560065949
95,2023M11,17 Girona,150172,76831,73341,304105,130560,173545,2.025044616,1.699314079,2.366275344,2023,11,11/1/2023,-1.699314079,2.366275344
96,2023M11,46 Valencia/València,263959,148640,115319,542245,270731,271515,2.054277369,1.821387244,2.354468908,2023,11,11/1/2023,-1.821387244,2.354468908
97,2023M11,28 Madrid,1064684,583167,481516,2130175,1028629,1101546,2.000757971,1.763866954,2.2876623,2023,11,11/1/2023,-1.763866954,2.2876623
98,2023M10,29 Málaga,623385,192347,431038,2186066,418870,1767196,3.506767086,2.177678882,4.099861265,2023,10,10/1/2023,-2.177678882,4.099861265
99,2023M10,41 Sevilla,364920,161023,203897,723477,278737,444740,1.982563302,1.731038423,2.181199331,2023,10,10/1/2023,-1.731038423,2.181199331
100,2023M10,"07 Balears, Illes",1189276,148089,1041187,6381337,442356,5938981,5.365732597,2.987095598,5.70404836,2023,10,10/1/2023,-2.987095598,5.70404836
101,2023M10,08 Barcelona,1222542,315869,906673,3171014,589710,2581304,2.593787371,1.866944841,2.847006583,2023,10,10/1/2023,-1.866944841,2.847006583
102,2023M10,17 Girona,385596,147501,238094,1076982,266361,810621,2.793032085,1.805825045,3.404625904,2023,10,10/1/2023,-1.805825045,3.404625904
103,2023M10,46 Valencia/València,320136,169872,150264,710956,336173,374783,2.220793663,1.97897829,2.494163605,2023,10,10/1/2023,-1.97897829,2.494163605
104,2023M10,28 Madrid,1125946,526741,599205,2335634,961581,1374053,2.074374792,1.825529055,2.293126726,2023,10,10/1/2023,-1.825529055,2.293126726
105,2023M09,29 Málaga,636614,205859,430755,2302322,512787,1789535,3.616511732,2.490962261,4.154414923,2023,9,9/1/2023,-2.490962261,4.154414923
106,2023M09,41 Sevilla,337835,153142,184693,667277,254620,412657,1.975156511,1.662639903,2.234286086,2023,9,9/1/2023,-1.662639903,2.234286086
107,2023M09,"07 Balears, Illes",1691128,176703,1514425,9058858,652248,8406610,5.356695649,3.691210676,5.551024316,2023,9,9/1/2023,-3.691210676,5.551024316
108,2023M09,08 Barcelona,1216170,290347,925823,3349029,555333,2793696,2.753750709,1.912652791,3.017527108,2023,9,9/1/2023,-1.912652791,3.017527108
109,2023M09,17 Girona,496403,181503,314900,1582302,380955,1201347,3.187535128,2.098890927,3.815011115,2023,9,9/1/2023,-2.098890927,3.815011115
110,2023M09,46 Valencia/València,327939,176910,151029,799324,417289,382035,2.437416715,2.358764343,2.529547305,2023,9,9/1/2023,-2.358764343,2.529547305
111,2023M09,28 Madrid,1148967,562876,586090,2301663,989249,1312414,2.003245524,1.757490104,2.239270419,2023,9,9/1/2023,-1.757490104,2.239270419
112,2023M08,29 Málaga,719761,310534,409226,2804728,955822,1848907,3.89674906,3.07799468,4.518058481,2023,8,8/1/2023,-3.07799468,4.518058481
113,2023M08,41 Sevilla,323252,139187,184065,641777,236241,405536,1.985376734,1.697292132,2.203221688,2023,8,8/1/2023,-1.697292132,2.203221688
114,2023M08,"07 Balears, Illes",1979182,239946,1739237,11054556,1043279,10011278,5.585416601,4.347974128,5.756132143,2023,8,8/1/2023,-4.347974128,5.756132143
115,2023M08,08 Barcelona,1311861,280876,1030985,4026789,649993,3376797,3.069524134,2.314163545,3.275311474,2023,8,8/1/2023,-2.314163545,3.275311474
116,2023M08,17 Girona,636179,264027,372153,2335305,789014,1546291,3.670830065,2.988383764,4.15498733,2023,8,8/1/2023,-2.988383764,4.15498733
117,2023M08,46 Valencia/València,369580,199350,170230,1017753,552250,465503,2.75380973,2.770253323,2.734553251,2023,8,8/1/2023,-2.770253323,2.734553251
118,2023M08,28 Madrid,1007541,474758,532784,1990751,845787,1144964,1.975851107,1.781511844,2.149020992,2023,8,8/1/2023,-1.781511844,2.149020992
119,2023M07,29 Málaga,689693,303567,386126,2569254,827761,1741493,3.725213972,2.726781897,4.510167665,2023,7,7/1/2023,-2.726781897,4.510167665
120,2023M07,41 Sevilla,297598,144052,153546,557786,227117,330669,1.87429351,1.57663205,2.153550076,2023,7,7/1/2023,-1.57663205,2.153550076
121,2023M07,"07 Balears, Illes",1972703,237710,1734992,10613015,974544,9638472,5.37993555,4.099718144,5.555340889,2023,7,7/1/2023,-4.099718144,5.555340889
122,2023M07,08 Barcelona,1342584,337404,1005179,3835022,694572,3140450,2.856448461,2.058576662,3.124269409,2023,7,7/1/2023,-2.058576662,3.124269409
123,2023M07,17 Girona,590663,227893,362769,2099009,591426,1507584,3.553649035,2.595191603,4.155768547,2023,7,7/1/2023,-2.595191603,4.155768547
124,2023M07,46 Valencia/València,349183,195406,153777,932056,515682,416375,2.66924793,2.639028484,2.707654591,2023,7,7/1/2023,-2.639028484,2.707654591
125,2023M07,28 Madrid,1111137,548761,562376,2189610,936220,1253390,1.970603085,1.706061473,2.228740202,2023,7,7/1/2023,-1.706061473,2.228740202
126,2023M06,29 Málaga,618969,246981,371988,2222614,595536,1627078,3.590832497,2.411262405,4.374006688,2023,6,6/1/2023,-2.411262405,4.374006688
127,2023M06,41 Sevilla,325922,163255,162667,618585,264895,353690,1.897954112,1.622584301,2.174319315,2023,6,6/1/2023,-1.622584301,2.174319315
128,2023M06,"07 Balears, Illes",1814007,244635,1569372,8993003,889859,8103144,4.957534894,3.637496679,5.163303538,2023,6,6/1/2023,-3.637496679,5.163303538
129,2023M06,08 Barcelona,1263049,330907,932142,3300032,632369,2667663,2.612750574,1.911017295,2.861863321,2023,6,6/1/2023,-1.911017295,2.861863321
130,2023M06,17 Girona,514135,239930,274205,1490213,485185,1005028,2.898485806,2.022193973,3.665243157,2023,6,6/1/2023,-2.022193973,3.665243157
131,2023M06,46 Valencia/València,352828,212128,140700,823690,471584,352106,2.334536942,2.223110575,2.502530206,2023,6,6/1/2023,-2.223110575,2.502530206
132,2023M06,28 Madrid,1163021,615801,547220,2239681,1010384,1229297,1.925744247,1.640763818,2.246440189,2023,6,6/1/2023,-1.640763818,2.246440189
133,2023M05,29 Málaga,624905,183084,441821,2152554,405516,1747038,3.444609981,2.214917743,3.954176012,2023,5,5/1/2023,-2.214917743,3.954176012
134,2023M05,41 Sevilla,352514,167518,184996,692027,281827,410200,1.963119195,1.682368462,2.21734524,2023,5,5/1/2023,-1.682368462,2.21734524
135,2023M05,"07 Balears, Illes",1492772,195761,1297010,7258921,644969,6613952,4.862712457,3.29467565,5.099383968,2023,5,5/1/2023,-3.29467565,5.099383968
136,2023M05,08 Barcelona,1251693,339829,911864,3187797,649336,2538461,2.54678823,1.910772771,2.78381535,2023,5,5/1/2023,-1.910772771,2.78381535
137,2023M05,17 Girona,443609,146828,296780,1217666,294462,923204,2.744908241,2.005489416,3.110735225,2023,5,5/1/2023,-2.005489416,3.110735225
138,2023M05,46 Valencia/València,326274,178828,147446,750754,383981,366773,2.300992417,2.147208491,2.487507291,2023,5,5/1/2023,-2.147208491,2.487507291
139,2023M05,28 Madrid,1117578,567796,549782,2224662,951054,1273608,1.990610051,1.674992427,2.316569113,2023,5,5/1/2023,-1.674992427,2.316569113
140,2023M04,29 Málaga,601632,211742,389890,1965338,500061,1465277,3.266677969,2.361652388,3.758180512,2023,4,4/1/2023,-2.361652388,3.758180512
141,2023M04,41 Sevilla,351424,168951,182473,726702,313102,413601,2.067878119,1.853211878,2.266642188,2023,4,4/1/2023,-1.853211878,2.266642188
142,2023M04,"07 Balears, Illes",766096,109541,656555,3350022,297000,3053023,4.372848834,2.711313572,4.650064351,2023,4,4/1/2023,-2.711313572,4.650064351
143,2023M04,08 Barcelona,1102659,298082,804577,2882769,616293,2266476,2.614379423,2.067528398,2.816978363,2023,4,4/1/2023,-2.067528398,2.816978363
144,2023M04,17 Girona,414955,192039,222915,1037458,385678,651780,2.500169898,2.008331641,2.923894758,2023,4,4/1/2023,-2.008331641,2.923894758
145,2023M04,46 Valencia/València,333301,194351,138949,792604,426191,366413,2.37804267,2.19289327,2.637032292,2023,4,4/1/2023,-2.19289327,2.637032292
146,2023M04,28 Madrid,1077543,566092,511451,2247895,1028904,1218991,2.086130205,1.817556157,2.383397432,2023,4,4/1/2023,-1.817556157,2.383397432
