,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
321,Madrid,235502,8.19,1.6,1.64,1.44,1.58,0.83,4.32,3.15,8.5,5.56,1.88,3.89,50.4,1.66,0.95,3.5,0.55,0.14,0.21
322,Málaga,32358,60.31,0.7,0.38,0.57,0.8,0.54,1.11,1.9,5.42,4.43,1.06,0.79,13.92,1.14,0.35,1.53,0.36,2.43,2.29
323,Sevilla,46715,70.79,0.67,0.46,0.46,0.51,0.24,1.57,1.79,3.81,3.49,1.93,0.73,10.94,1.0,0.34,0.76,0.12,0.32,0.05
324,Illes Balears,10810,4.91,0.31,0.21,43.57,0.24,0.18,0.69,0.82,14.02,8.58,0.2,0.99,23.25,0.67,0.2,1.09,0.06,0.0,0.0
325,Barcelona,105398,4.53,2.41,0.41,1.49,0.69,0.62,1.52,1.15,66.93,4.78,0.38,1.54,9.53,0.64,0.49,2.54,0.26,0.07,0.04
326,Girona,20307,1.84,1.21,0.14,0.36,0.12,0.04,1.12,0.96,85.94,2.2,0.2,0.44,3.91,0.43,0.35,0.51,0.18,0.04,0.0
327,46 Valencia/València,42170,8.15,1.83,0.78,1.17,0.77,0.26,1.58,3.76,10.47,49.99,0.68,1.69,12.75,3.08,0.74,1.77,0.41,0.1,0.03
328,Madrid,196967,9.78,1.26,1.65,1.11,1.6,1.09,4.28,3.36,8.16,5.39,2.07,3.48,50.64,1.6,0.86,2.8,0.66,0.14,0.09
329,Málaga,35051,65.49,0.62,0.65,0.66,0.75,0.43,1.56,1.64,3.57,2.22,1.65,0.98,12.49,0.85,0.26,1.19,0.22,2.42,2.33
330,Sevilla,42298,69.49,0.55,1.36,0.49,0.63,0.21,1.72,1.8,4.72,3.27,1.8,0.68,10.44,1.26,0.26,0.7,0.06,0.46,0.09
331,Illes Balears,8309,10.19,0.27,0.87,38.67,1.28,0.72,0.76,0.41,11.08,8.26,0.32,1.57,23.38,1.04,0.22,0.82,0.14,0.0,0.0
332,Barcelona,86559,5.61,1.51,0.5,0.88,0.7,0.47,1.59,1.54,64.8,4.61,0.95,1.9,9.57,0.53,0.56,2.87,0.33,0.12,0.96
333,Girona,19655,2.38,0.95,0.24,0.27,0.12,0.02,0.47,0.6,87.21,2.51,0.11,0.86,2.63,0.63,0.11,0.79,0.09,0.0,0.0
334,46 Valencia/València,38843,8.42,1.76,0.47,1.68,0.49,0.42,2.05,3.2,11.2,47.74,0.63,1.48,13.84,3.66,1.15,1.47,0.25,0.03,0.04
335,Madrid,181252,7.26,1.38,1.57,0.98,1.47,1.08,4.2,3.9,7.65,4.75,1.54,3.5,54.89,1.34,0.79,2.75,0.58,0.27,0.11
336,Málaga,33614,58.94,0.69,1.09,0.5,0.42,0.63,1.25,1.6,5.3,1.89,1.9,1.17,16.01,1.12,0.34,1.4,0.34,2.53,2.89
337,Sevilla,48476,71.17,0.66,1.1,0.28,0.73,0.15,1.38,1.27,3.14,3.04,1.87,1.35,11.77,0.81,0.11,0.6,0.09,0.42,0.05
338,Illes Balears,12958,7.18,0.49,0.25,51.18,0.62,0.78,0.68,0.51,11.87,5.51,1.1,0.8,17.3,0.42,0.22,1.05,0.0,0.04,0.0
339,Barcelona,102504,4.52,1.78,0.39,1.26,0.63,0.22,2.48,1.16,68.91,4.69,0.4,1.17,8.18,0.53,0.48,2.82,0.31,0.04,0.02
340,Girona,25094,1.95,0.85,0.14,0.54,0.13,0.01,0.25,0.42,88.32,2.42,0.03,0.54,2.96,0.49,0.27,0.45,0.14,0.08,0.0
341,46 Valencia/València,58247,5.33,1.69,0.9,1.42,0.82,0.45,2.0,2.4,11.45,53.08,0.46,1.21,13.37,2.6,0.68,1.68,0.34,0.08,0.03
342,Madrid,200945,8.61,1.43,1.66,0.9,1.51,0.94,4.36,3.45,7.39,4.41,1.57,3.77,53.64,1.47,0.76,3.19,0.58,0.24,0.13
343,Málaga,27867,59.55,1.14,0.89,0.78,1.26,0.53,1.39,2.27,5.29,3.45,2.2,1.83,13.22,1.56,0.27,1.1,0.01,1.03,2.2
344,Sevilla,39888,58.73,0.99,1.06,0.4,0.86,0.33,1.75,2.35,6.24,4.09,3.05,1.86,14.49,1.54,0.39,0.88,0.11,0.64,0.23
345,Illes Balears,16747,6.32,0.33,0.18,48.9,0.68,0.66,0.86,0.54,12.16,6.8,0.17,1.26,19.9,0.56,0.11,0.55,0.0,0.02,0.0
346,Barcelona,73902,5.74,2.09,0.42,1.04,0.82,0.57,1.49,1.49,61.69,5.44,0.78,1.57,11.39,1.07,0.6,2.91,0.5,0.07,0.35
347,Girona,14092,2.53,1.81,1.44,0.54,0.19,0.17,1.44,0.97,79.33,3.72,0.49,0.74,4.77,0.62,0.49,0.33,0.28,0.13,0.0
348,46 Valencia/València,56524,8.19,1.74,0.74,1.28,0.69,0.55,2.65,2.92,11.72,44.07,0.93,1.66,16.82,3.19,0.54,1.85,0.25,0.11,0.1
349,Madrid,167173,8.9,1.54,1.71,1.06,1.76,1.27,4.5,3.59,8.19,5.91,1.83,3.92,49.81,1.44,0.91,3.03,0.4,0.11,0.12
350,Málaga,78185,63.45,1.11,0.64,0.69,1.09,0.61,1.97,2.02,3.48,4.1,2.49,1.22,10.69,1.5,0.52,2.2,0.29,1.04,0.89
351,Sevilla,73603,53.12,1.15,1.3,0.8,1.16,0.48,2.84,2.94,6.42,6.03,4.39,1.74,12.38,1.49,0.43,2.5,0.15,0.56,0.11
352,Illes Balears,38554,6.01,1.23,0.79,42.14,0.91,0.83,1.91,0.49,17.96,6.39,0.5,1.29,14.73,1.75,0.21,2.84,0.02,0.0,0.01
353,Barcelona,97484,6.74,2.86,0.54,2.28,0.77,0.58,1.45,1.82,58.45,6.43,0.38,1.48,10.92,1.47,0.65,2.68,0.33,0.09,0.08
354,Girona,59494,1.5,0.64,0.09,0.41,0.22,0.09,0.3,0.77,89.09,2.65,0.08,0.36,2.12,0.58,0.21,0.59,0.16,0.12,0.0
355,46 Valencia/València,86312,9.52,3.78,0.72,1.89,0.69,0.53,2.5,4.07,14.03,34.29,0.65,1.78,17.75,4.18,0.8,2.36,0.31,0.11,0.05
356,Madrid,142107,9.1,1.57,1.66,1.03,1.56,1.32,4.34,3.82,7.48,6.14,2.01,4.1,50.01,1.39,0.86,2.96,0.46,0.09,0.08
357,Málaga,114661,60.87,0.78,0.75,0.42,0.85,0.46,2.48,2.61,4.47,2.8,2.78,0.97,13.94,1.2,0.53,1.83,0.47,0.97,0.81
358,Sevilla,76559,51.04,1.3,1.51,0.6,1.38,0.74,2.67,2.67,7.75,4.73,4.49,1.7,14.27,1.46,0.7,2.12,0.25,0.52,0.1
359,Illes Balears,103005,5.14,1.44,1.85,24.41,0.6,2.97,1.61,1.21,21.13,8.12,0.98,1.83,21.81,0.75,0.98,3.82,1.03,0.19,0.12
360,Barcelona,126463,5.35,3.04,0.67,1.53,0.76,0.39,1.68,1.24,60.59,6.18,0.58,1.61,10.95,0.85,1.01,3.09,0.35,0.1,0.03
361,Girona,178692,0.58,0.97,0.2,0.27,0.09,0.09,0.33,0.29,91.73,1.25,0.09,0.49,2.43,0.21,0.21,0.62,0.14,0.0,0.01
362,46 Valencia/València,98927,6.66,3.67,0.82,1.15,0.64,0.52,3.33,6.22,12.29,27.86,0.73,2.12,26.55,3.14,0.84,2.28,1.1,0.05,0.02
363,Madrid,177448,11.45,2.29,2.27,1.09,1.79,1.6,4.85,3.98,9.64,7.26,2.1,4.22,38.43,2.19,1.57,4.14,0.86,0.22,0.06
364,Málaga,257881,58.03,0.65,0.46,0.32,0.35,0.28,2.06,3.5,3.49,2.49,3.28,0.74,18.46,1.12,0.29,2.6,0.19,0.95,0.74
365,Sevilla,68940,51.21,1.37,1.53,0.57,1.26,0.35,2.62,2.42,7.97,4.04,3.41,1.87,15.62,1.18,0.43,3.45,0.29,0.33,0.07
366,Illes Balears,209986,7.4,1.46,0.96,31.35,0.61,2.28,1.28,0.95,17.6,8.35,0.47,1.38,20.05,0.82,0.33,4.25,0.35,0.08,0.02
367,Barcelona,156639,3.96,2.18,0.4,0.93,0.43,0.17,0.73,1.44,75.1,2.61,0.26,0.87,7.36,0.38,0.77,2.18,0.2,0.03,0.0
