,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
0,Málaga,120096,59.49,0.83,0.87,2.57,1.33,0.58,2.17,2.77,4.29,3.36,1.55,1.52,12.35,2.2,0.32,1.66,0.17,1.45,0.54
1,Sevilla,154675,43.92,1.34,1.03,1.68,2.25,0.84,4.36,3.81,6.4,5.08,5.37,1.69,16.44,2.47,0.78,1.41,0.45,0.56,0.12
2,Illes Balears,39500,5.25,0.61,0.45,47.74,0.77,0.17,1.18,0.75,14.42,6.32,0.47,1.16,17.59,0.88,0.19,1.37,0.1,0.56,0.02
3,Barcelona,275949,6.48,2.92,0.75,2.85,1.62,0.54,1.89,1.42,42.06,6.82,0.79,2.51,23.36,0.98,0.87,3.08,0.61,0.4,0.04
4,Girona,91881,2.01,0.89,0.21,1.52,0.26,0.31,0.36,0.41,84.06,2.99,0.16,0.6,5.12,0.29,0.12,0.59,0.04,0.05,0.0
5,46 Valencia/València,122489,12.0,2.68,0.76,2.55,1.38,0.46,2.41,3.3,14.19,30.1,0.66,1.46,19.85,4.44,0.6,2.52,0.27,0.33,0.04
6,Madrid,606856,14.6,2.51,2.96,2.66,3.75,2.0,5.68,4.05,11.78,9.86,2.71,4.63,22.3,3.01,1.69,4.3,1.0,0.42,0.11
7,Málaga,139834,50.45,0.63,0.68,2.36,1.22,0.41,1.39,2.28,8.23,3.12,1.17,2.15,19.41,1.85,0.39,1.92,0.21,1.01,1.11
8,Sevilla,155648,38.52,1.64,1.27,1.84,1.82,1.3,3.64,3.14,7.68,3.8,4.02,2.7,23.48,1.57,0.64,1.73,0.64,0.51,0.06
9,Illes Balears,39934,4.73,0.69,0.71,39.01,1.99,0.28,2.17,1.86,14.77,7.7,1.32,1.81,18.84,1.3,0.33,1.5,0.14,0.8,0.05
10,Barcelona,280494,6.69,2.41,0.94,2.94,1.51,0.76,1.89,1.47,38.6,6.35,0.93,2.53,25.46,1.18,1.01,3.91,0.69,0.59,0.13
11,Girona,86908,1.65,0.8,0.39,2.92,0.54,0.19,0.53,0.54,79.5,2.81,0.2,0.72,7.71,0.53,0.2,0.6,0.15,0.01,0.01
12,46 Valencia/València,135725,13.62,3.02,0.94,1.96,1.04,0.53,2.91,4.26,10.71,25.84,1.13,2.05,24.58,3.46,0.74,2.31,0.39,0.49,0.03
13,Madrid,591976,12.98,2.7,2.94,2.8,3.94,2.05,4.8,3.52,14.27,7.94,2.48,5.07,24.18,2.72,1.66,4.45,0.82,0.43,0.23
14,Málaga,163918,46.23,0.87,0.66,4.87,1.13,0.63,1.74,2.12,9.4,3.75,1.73,2.3,18.69,1.32,0.38,2.31,0.21,0.85,0.78
15,Sevilla,140343,41.17,1.13,1.11,1.29,2.01,1.33,3.02,2.89,7.44,4.29,3.69,2.36,22.76,1.63,0.77,1.94,0.56,0.53,0.08
16,Illes Balears,162615,5.43,1.39,1.13,37.37,1.0,0.73,1.41,1.52,12.01,8.14,0.96,5.52,19.35,0.55,0.46,2.44,0.39,0.17,0.05
17,Barcelona,300067,6.73,2.04,0.66,2.48,1.37,0.54,1.6,1.43,43.78,6.55,0.66,2.58,23.26,1.02,0.95,3.64,0.4,0.17,0.11
18,Girona,123611,1.79,1.07,0.37,1.95,0.58,0.41,0.75,1.89,79.1,2.83,0.16,0.73,6.15,0.33,0.26,1.5,0.12,0.01,0.0
19,46 Valencia/València,155899,12.45,2.14,0.77,2.5,1.19,0.68,2.69,3.52,11.93,24.83,0.9,1.87,27.1,3.3,0.74,2.41,0.42,0.56,0.02
20,Madrid,563246,13.38,2.28,2.71,2.18,3.59,1.97,4.44,3.6,13.95,9.16,2.42,4.82,25.1,3.1,1.65,4.15,0.97,0.33,0.22
21,Málaga,186539,52.1,0.64,0.74,3.44,0.99,0.53,2.12,2.23,6.22,2.52,2.91,1.48,16.35,1.15,0.34,2.54,0.24,0.69,2.77
22,Sevilla,137532,40.75,1.54,1.15,0.99,2.28,1.5,3.43,2.65,7.24,4.08,3.76,2.22,22.8,1.4,0.75,2.11,0.61,0.65,0.1
23,Illes Balears,177047,8.1,0.95,1.48,33.56,1.32,0.94,2.56,1.44,15.16,6.85,0.65,2.65,18.15,0.81,1.21,3.22,0.47,0.24,0.26
24,Barcelona,277468,6.58,2.03,0.89,2.95,1.26,0.78,1.63,1.46,46.89,5.73,0.7,2.52,20.4,1.04,0.79,3.17,0.49,0.6,0.1
25,Girona,153745,1.76,1.37,0.46,1.48,0.43,0.32,1.13,0.96,77.03,2.43,0.64,1.74,6.65,0.36,0.56,2.29,0.18,0.05,0.16
26,46 Valencia/València,176016,13.86,2.28,0.93,1.68,0.88,0.51,4.13,5.81,10.42,20.2,0.76,1.96,28.49,3.11,0.75,2.7,0.65,0.86,0.03
27,Madrid,536583,13.56,2.27,2.81,2.4,3.26,2.08,5.14,3.2,13.19,7.87,2.43,5.18,26.27,2.78,1.58,4.44,1.06,0.27,0.17
28,Málaga,290347,54.42,0.56,0.95,2.42,0.62,0.34,2.24,3.27,4.54,2.57,3.85,1.66,17.0,1.27,0.35,2.66,0.19,0.81,0.27
29,Sevilla,118028,42.42,1.35,1.25,0.72,1.69,1.05,2.82,2.4,9.82,4.16,4.24,2.04,19.73,1.96,0.71,2.57,0.47,0.42,0.17
30,Illes Balears,241846,9.08,1.82,1.54,27.74,1.29,1.19,2.36,1.35,17.29,7.65,1.33,2.22,19.13,1.24,0.71,3.41,0.29,0.32,0.06
31,Barcelona,262786,6.12,2.57,0.53,1.77,1.14,0.61,1.29,1.48,52.13,5.27,0.48,2.33,18.13,0.85,0.94,3.5,0.63,0.13,0.06
32,Girona,256450,1.63,1.56,0.22,0.26,0.23,0.25,0.95,0.53,78.23,2.91,0.19,0.7,7.12,0.8,0.7,3.38,0.25,0.03,0.06
33,46 Valencia/València,201701,6.65,2.99,0.55,1.06,0.57,0.38,3.71,7.5,10.63,24.35,1.13,1.22,31.85,2.43,0.78,3.4,0.45,0.32,0.02
34,Madrid,469667,13.49,2.76,2.64,1.64,2.95,1.88,4.18,3.05,12.87,9.46,2.5,4.42,27.8,3.02,1.27,4.81,0.91,0.26,0.09
35,Málaga,255067,53.62,0.63,0.89,3.0,0.89,0.5,2.49,3.92,3.72,2.6,3.53,1.62,16.83,0.96,0.5,2.35,0.23,1.01,0.71
36,Sevilla,123832,46.67,1.04,1.53,0.83,2.35,0.95,3.12,2.58,6.33,4.4,4.59,2.51,16.97,1.59,0.8,2.64,0.49,0.5,0.13
37,Illes Balears,213425,8.64,1.21,1.65,32.28,1.43,0.92,2.09,1.42,14.38,6.78,0.71,2.51,18.44,1.41,1.12,4.2,0.38,0.36,0.05
38,Barcelona,308503,6.96,2.51,0.61,2.34,1.47,0.81,1.54,1.32,48.05,5.44,0.73,2.17,18.75,0.82,1.34,4.12,0.71,0.11,0.2
39,Girona,202418,1.67,1.78,0.46,0.74,0.35,0.28,1.63,0.73,76.58,2.42,0.23,0.98,7.5,0.28,1.15,2.85,0.23,0.05,0.06
40,46 Valencia/València,201781,12.29,3.35,0.81,1.69,0.79,0.6,4.26,7.71,9.42,18.28,1.06,1.32,29.88,3.38,0.81,3.2,0.45,0.59,0.12
41,Madrid,575463,14.4,2.28,2.72,2.1,3.47,1.67,4.84,2.93,12.64,8.56,2.38,4.74,26.64,3.08,1.47,4.33,0.84,0.79,0.12
42,Málaga,231637,48.44,0.71,0.89,2.93,1.17,0.59,2.0,4.88,5.61,2.79,2.16,2.28,18.78,1.27,0.44,2.55,0.32,1.13,1.03
43,Sevilla,152373,42.16,1.11,1.33,1.19,1.87,1.11,3.21,2.82,7.67,5.13,4.35,2.55,19.78,1.35,0.74,2.59,0.5,0.52,0.03
44,Illes Balears,241084,9.62,0.96,1.95,32.19,1.7,0.71,2.01,1.18,16.26,7.24,0.59,2.38,16.7,1.52,0.96,2.9,0.36,0.7,0.04
45,Barcelona,322416,5.99,2.5,0.76,1.8,1.48,0.47,1.67,1.96,45.93,5.89,0.67,2.45,21.07,1.01,1.39,3.97,0.61,0.08,0.29
46,Girona,222070,1.34,1.28,0.26,0.55,0.35,0.35,0.77,0.9,81.24,2.14,0.13,0.82,5.13,0.76,0.51,3.21,0.13,0.13,0.0
47,46 Valencia/València,204226,11.82,2.58,0.75,1.56,0.71,0.41,3.92,5.63,9.12,21.89,0.73,1.31,31.58,3.11,0.71,2.64,0.48,1.02,0.02
48,Madrid,598737,13.52,2.36,2.74,2.48,3.55,1.87,4.93,3.34,12.46,8.04,2.82,5.04,27.11,2.71,1.49,4.34,0.76,0.34,0.11
49,Málaga,197058,49.51,0.54,0.76,2.57,0.97,0.77,1.56,2.97,7.79,3.19,1.35,2.31,18.69,1.59,0.49,2.43,0.26,1.02,1.25
50,Sevilla,156750,40.47,1.36,1.0,1.38,2.09,1.03,2.72,3.13,7.26,4.55,3.25,2.87,24.27,1.41,0.66,1.66,0.49,0.37,0.03
51,Illes Balears,189989,6.92,1.19,0.93,35.32,1.08,0.77,2.26,1.96,15.27,6.26,0.46,3.43,18.27,1.09,0.36,3.91,0.17,0.33,0.0
52,Barcelona,292434,7.35,2.31,0.93,2.81,1.34,0.45,1.79,1.72,42.99,6.16,0.67,2.32,22.28,1.17,0.97,3.47,0.34,0.71,0.23
53,Girona,168230,2.02,1.47,0.27,0.67,0.27,0.24,0.67,0.61,80.44,3.1,0.28,0.65,6.85,0.26,0.35,1.55,0.19,0.05,0.04
54,46 Valencia/València,186459,11.85,2.54,1.26,2.3,0.75,0.38,2.8,6.14,11.77,20.6,0.75,2.15,28.48,3.22,0.79,2.72,0.5,0.95,0.05
55,Madrid,582493,14.62,2.09,2.4,2.37,2.99,1.54,4.42,3.0,13.79,9.21,2.16,5.36,25.74,2.86,1.73,4.36,0.81,0.32,0.23
56,Málaga,179976,52.17,0.9,0.55,3.32,1.03,0.48,1.79,1.72,7.44,3.32,1.18,2.76,16.78,1.63,0.41,2.44,0.24,0.96,0.9
57,Sevilla,162581,35.92,1.55,1.1,2.2,1.71,1.15,3.96,3.07,6.87,4.76,2.94,2.41,23.44,1.87,0.84,5.19,0.64,0.33,0.05
58,Illes Balears,111851,8.3,1.36,0.76,42.32,0.93,0.25,1.27,1.16,14.08,5.21,0.33,2.29,17.52,1.0,0.35,1.86,0.65,0.04,0.3
59,Barcelona,270776,6.57,2.86,0.95,2.07,1.91,0.6,1.68,2.27,41.79,6.55,0.58,2.79,22.98,1.06,1.12,3.49,0.38,0.08,0.28
60,Girona,112923,2.15,1.15,0.39,0.81,0.32,0.13,0.64,1.0,75.89,4.31,1.07,0.81,8.61,0.27,0.33,1.99,0.09,0.02,0.0
61,46 Valencia/València,162069,12.88,2.64,0.79,2.39,0.83,0.67,2.32,4.66,12.19,22.65,0.58,1.7,27.63,4.07,0.8,2.34,0.39,0.42,0.03
62,Madrid,517185,13.2,2.74,2.75,2.16,3.24,1.42,4.86,3.59,14.37,9.47,2.37,5.26,24.41,3.0,1.32,4.52,0.9,0.26,0.16
63,Málaga,207072,47.01,0.83,0.89,1.67,1.07,0.56,1.98,2.92,7.77,3.82,1.59,2.43,20.34,1.67,0.44,2.5,0.18,0.94,1.41
64,Sevilla,157047,39.57,1.41,0.97,1.2,2.48,0.94,3.68,3.34,8.7,5.1,4.0,2.36,20.22,1.72,0.83,2.37,0.55,0.46,0.1
65,Illes Balears,104550,16.23,0.82,1.01,41.72,1.13,0.27,0.81,1.13,8.46,4.16,0.61,1.63,19.0,0.89,0.32,1.46,0.13,0.2,0.03
66,Barcelona,290694,7.05,2.4,0.62,2.43,1.9,0.64,2.12,1.83,42.16,6.85,0.81,2.12,21.58,1.58,1.06,4.03,0.44,0.15,0.2
67,Girona,132842,1.87,0.84,0.31,1.3,1.14,0.2,0.5,0.6,79.52,3.34,0.13,1.03,6.12,0.72,0.23,1.93,0.16,0.05,0.01
68,46 Valencia/València,189731,10.82,2.78,0.72,2.6,0.7,0.44,3.07,4.85,14.24,21.05,0.82,1.71,28.71,3.21,0.83,2.65,0.46,0.29,0.06
69,Madrid,578912,12.71,2.35,2.55,2.26,3.34,1.85,4.44,3.32,14.58,9.02,2.41,5.31,25.35,2.65,1.49,4.57,0.76,0.4,0.64
70,Málaga,160198,52.74,1.03,0.7,1.93,1.43,0.43,1.72,2.46,7.25,3.6,1.29,1.99,16.01,1.26,0.67,2.95,0.21,1.23,1.1
71,Sevilla,144952,43.24,1.21,1.16,1.36,2.56,1.19,2.81,3.28,8.31,5.22,3.79,2.33,17.85,1.82,0.67,1.97,0.59,0.59,0.06
72,Illes Balears,57019,8.38,2.52,1.91,36.96,0.61,0.43,4.86,0.97,12.33,6.79,0.52,3.72,14.29,0.77,1.01,3.63,0.09,0.18,0.04
73,Barcelona,255670,6.15,2.53,0.81,2.38,1.64,0.73,1.61,1.88,42.92,6.24,0.67,2.48,22.85,0.88,1.42,3.82,0.55,0.34,0.1
74,Girona,77554,1.76,0.93,0.27,1.13,0.44,0.12,0.62,0.44,82.79,3.41,0.19,0.54,4.97,0.77,0.21,1.0,0.37,0.05,0.0
75,46 Valencia/València,147544,11.88,2.41,1.1,2.01,1.43,0.57,2.18,3.84,12.46,25.91,0.76,2.12,26.34,3.77,0.67,1.72,0.36,0.46,0.02
76,Madrid,543763,15.45,2.22,2.3,2.16,4.01,1.82,4.58,3.88,15.09,8.43,2.55,4.32,22.52,2.8,1.44,4.23,1.02,1.05,0.13
77,Málaga,128732,47.14,0.8,0.66,3.75,1.53,0.53,1.64,2.05,7.96,3.72,0.98,1.9,18.84,1.24,1.12,2.62,0.21,1.5,1.81
78,Sevilla,132023,44.58,1.51,0.85,1.33,2.74,1.17,2.99,3.1,7.51,4.98,4.64,1.92,16.89,2.05,0.49,2.14,0.38,0.58,0.14
79,Illes Balears,30560,6.33,0.7,1.64,38.59,1.8,0.51,0.79,1.03,19.01,6.76,0.63,1.52,16.85,0.94,0.66,1.5,0.33,0.37,0.03
80,Barcelona,231739,6.68,2.78,0.95,2.28,1.66,0.43,1.76,1.41,44.3,6.18,0.67,2.31,23.15,0.79,0.99,3.21,0.34,0.09,0.02
81,Girona,74352,1.72,0.97,0.42,0.84,0.22,0.37,0.6,0.53,81.64,3.85,0.12,0.61,5.55,0.89,0.25,0.73,0.68,0.02,0.0
82,46 Valencia/València,126627,11.54,2.54,0.64,2.58,0.77,0.36,2.37,4.05,12.53,25.91,0.74,2.12,25.7,4.14,0.77,2.05,0.28,0.83,0.07
83,Madrid,490157,12.91,2.49,2.3,2.39,3.3,1.63,5.08,3.52,14.43,9.39,2.9,4.17,25.46,2.73,1.51,4.3,1.07,0.18,0.24
84,Málaga,153016,51.73,1.01,0.65,2.42,0.86,0.45,1.57,2.94,6.83,4.31,1.32,1.7,17.41,1.83,0.49,2.02,0.25,1.03,1.18
85,Sevilla,161030,45.35,1.5,0.88,1.64,2.03,0.94,3.25,3.32,6.79,4.66,4.68,1.75,17.74,1.62,0.7,1.83,0.49,0.64,0.19
86,Illes Balears,34963,4.23,0.6,0.6,48.79,0.89,0.25,0.53,1.62,14.85,7.0,0.36,1.23,15.61,0.88,0.17,1.7,0.12,0.53,0.05
87,Barcelona,260712,7.11,2.43,0.64,2.63,1.79,0.63,1.55,1.3,44.09,6.52,1.0,2.03,22.07,0.77,1.1,3.46,0.37,0.3,0.23
88,Girona,97216,1.99,0.65,0.15,0.69,0.3,0.11,0.35,0.33,85.37,3.21,0.08,0.57,4.61,0.17,0.18,1.14,0.05,0.04,0.0
89,46 Valencia/València,141843,11.27,2.21,0.72,3.06,0.94,0.56,2.4,2.96,14.39,26.62,0.92,1.48,25.68,3.17,0.84,2.19,0.34,0.21,0.02
90,Madrid,627019,13.48,2.33,2.73,2.2,3.13,1.66,5.1,4.19,13.46,9.95,2.51,4.44,24.62,2.7,1.56,4.58,0.84,0.24,0.28
91,Málaga,149553,51.16,0.98,0.55,1.36,1.03,0.64,1.79,3.24,6.28,4.11,1.62,1.58,19.03,1.63,0.58,1.96,0.22,0.86,1.39
92,Sevilla,145435,43.23,1.11,0.91,1.49,2.42,0.82,2.98,2.63,9.05,4.91,3.49,1.99,19.78,1.48,0.81,1.87,0.41,0.47,0.17
93,Illes Balears,40472,5.7,0.58,2.72,40.17,0.69,0.43,0.9,0.91,17.34,6.73,0.44,1.29,18.63,1.38,0.41,1.07,0.1,0.5,0.02
94,Barcelona,272902,6.87,2.32,0.94,2.59,1.58,0.69,1.76,1.7,42.27,6.35,0.6,2.39,22.6,0.99,1.12,3.99,0.48,0.52,0.24
95,Girona,76831,3.02,0.66,0.33,0.88,0.37,0.2,1.27,0.97,77.28,3.54,0.24,0.67,7.93,0.87,0.3,1.31,0.12,0.03,0.0
96,46 Valencia/València,148640,12.42,2.44,0.96,2.46,1.18,0.71,2.27,4.36,13.41,24.86,0.69,2.12,24.87,3.83,0.74,1.79,0.39,0.48,0.01
97,Madrid,583167,14.09,2.46,2.65,2.6,3.47,1.93,4.47,3.27,14.66,9.27,2.23,4.52,23.52,2.58,1.41,4.75,1.21,0.25,0.66
98,Málaga,192347,55.65,0.63,0.76,1.07,1.31,0.73,2.46,2.47,5.3,3.53,1.45,2.07,16.56,1.45,0.45,2.1,0.24,0.82,0.94
99,Sevilla,161023,44.61,0.98,1.08,1.4,1.86,1.36,3.24,2.62,8.25,4.33,2.98,1.84,19.04,1.9,0.96,2.14,0.57,0.68,0.16
100,Illes Balears,148089,6.34,1.0,0.66,42.28,0.93,0.61,2.0,1.87,13.11,6.0,0.82,1.76,17.87,1.19,0.3,2.58,0.16,0.1,0.45
101,Barcelona,315869,7.3,1.9,0.79,2.59,1.47,0.51,1.4,1.48,47.89,5.61,0.57,1.98,20.09,0.82,1.13,3.57,0.38,0.51,0.04
102,Girona,147501,2.82,0.96,0.18,0.37,0.18,0.43,0.64,0.95,81.35,2.73,0.18,1.46,4.91,0.6,0.25,1.86,0.11,0.03,0.0
103,46 Valencia/València,169872,12.11,1.85,1.31,1.76,1.02,0.59,3.09,4.44,12.23,23.11,0.94,2.11,27.79,3.12,0.83,2.43,0.44,0.79,0.04
104,Madrid,526741,14.31,2.26,2.73,2.55,3.11,1.72,4.46,3.26,13.98,9.49,2.39,4.46,24.1,2.68,1.56,4.82,0.88,1.05,0.19
105,Málaga,205859,54.78,0.68,1.07,0.89,0.94,0.6,2.33,2.4,4.88,3.41,3.38,1.54,16.34,1.69,0.5,2.8,0.31,0.85,0.63
106,Sevilla,153142,47.64,1.17,1.21,1.17,2.05,0.95,2.83,2.48,8.48,3.5,4.47,1.78,17.08,1.43,0.86,1.75,0.53,0.52,0.11
107,Illes Balears,176703,8.51,1.39,1.91,28.71,1.31,1.15,2.32,1.44,17.0,6.79,1.37,2.13,19.1,1.62,0.79,3.32,0.41,0.25,0.5
108,Barcelona,290347,6.02,2.47,0.6,2.43,1.59,0.51,1.8,1.53,47.05,5.49,0.73,2.07,21.18,0.77,1.12,4.02,0.43,0.11,0.05
109,Girona,181503,2.41,1.31,0.26,0.44,0.32,0.28,0.93,0.39,80.77,2.18,0.37,0.97,4.93,0.96,0.45,2.83,0.17,0.02,0.01
110,46 Valencia/València,176910,12.32,2.4,0.84,1.63,0.97,0.68,4.31,5.83,11.07,21.16,1.27,1.69,27.66,4.33,0.86,2.36,0.47,0.14,0.02
111,Madrid,562876,13.87,2.28,2.67,1.95,2.9,1.86,4.98,3.24,14.32,7.99,2.62,4.79,25.94,2.36,1.5,4.67,1.01,0.37,0.69
112,Málaga,310534,52.06,1.29,0.78,0.63,0.81,0.51,2.13,3.34,4.67,3.39,3.65,1.65,18.58,2.03,0.46,2.47,0.38,0.64,0.52
113,Sevilla,139187,51.15,1.0,1.3,0.88,1.32,0.74,2.76,1.95,9.02,3.88,3.59,1.76,14.49,1.73,0.62,2.68,0.46,0.37,0.29
114,Illes Balears,239946,8.5,1.35,1.75,21.82,1.2,0.96,2.01,1.18,21.66,7.6,0.92,3.16,19.08,1.36,1.02,5.4,0.51,0.34,0.17
115,Barcelona,280876,6.58,2.28,0.56,1.34,1.45,0.5,1.4,1.63,51.86,4.53,0.63,1.81,18.78,0.67,1.26,4.27,0.26,0.16,0.03
116,Girona,264027,1.64,1.69,0.37,0.37,0.31,0.24,1.06,0.66,78.39,2.97,0.26,0.96,5.19,0.84,0.84,3.86,0.28,0.06,0.01
117,46 Valencia/València,199350,13.53,3.19,0.57,1.23,0.7,0.46,3.62,7.07,10.22,16.49,0.85,1.43,32.69,2.46,0.71,2.99,0.44,1.27,0.08
118,Madrid,474758,13.15,2.41,2.58,1.66,2.32,1.73,4.06,3.12,13.61,8.72,2.27,4.36,28.56,2.95,1.28,5.43,0.7,0.19,0.9
119,Málaga,303567,56.82,0.78,0.81,0.82,0.78,0.65,2.45,3.15,3.59,2.71,3.43,1.67,16.18,1.27,0.52,2.13,0.31,0.92,1.01
120,Sevilla,144052,50.79,0.98,1.32,1.15,2.52,0.96,3.19,2.21,5.79,3.15,4.59,1.89,16.06,1.3,0.63,2.37,0.43,0.53,0.16
121,Illes Balears,237710,9.82,1.3,1.85,28.73,1.14,0.81,1.77,1.52,15.98,7.43,1.12,2.37,18.04,1.4,0.94,4.75,0.57,0.24,0.23
122,Barcelona,337404,6.5,2.6,0.75,2.01,1.51,0.45,1.9,1.64,49.67,4.71,0.7,1.89,18.14,0.86,1.22,4.33,0.35,0.6,0.18
123,Girona,227893,3.01,1.67,0.49,0.24,0.36,0.61,1.37,0.76,76.66,2.54,0.21,1.14,5.93,0.51,1.17,3.1,0.19,0.05,0.01
124,46 Valencia/València,195406,8.24,3.17,0.7,1.49,0.89,0.56,4.37,8.07,9.11,19.33,1.11,1.55,34.88,2.81,0.86,2.26,0.43,0.17,0.03
125,Madrid,548761,13.83,2.12,2.8,2.17,2.69,1.65,4.82,3.39,13.53,8.04,2.23,4.43,27.29,2.72,1.48,5.04,0.74,0.32,0.71
126,Málaga,246981,51.3,0.67,1.2,1.64,1.16,0.8,2.08,2.55,4.33,2.92,2.36,1.75,18.64,1.77,0.51,2.95,0.32,0.71,2.34
127,Sevilla,163255,47.1,1.2,1.16,0.89,2.07,1.03,3.18,2.53,6.68,4.04,4.31,2.09,18.95,1.46,0.55,1.74,0.47,0.45,0.1
128,Illes Balears,244635,10.19,1.67,1.9,24.06,0.81,1.28,2.66,1.69,13.08,7.04,0.9,2.42,23.75,1.22,0.67,5.97,0.34,0.11,0.24
129,Barcelona,330907,6.47,2.44,1.1,2.76,1.57,0.51,1.99,1.59,45.65,5.44,0.7,1.9,20.33,1.14,1.12,4.38,0.4,0.4,0.12
130,Girona,239930,2.02,1.06,0.24,0.47,0.41,0.33,0.7,0.61,82.13,2.45,0.17,0.93,5.08,0.4,0.42,2.35,0.2,0.02,0.0
131,46 Valencia/València,212128,11.47,2.4,0.99,1.66,0.75,0.43,3.93,6.72,9.22,19.1,0.77,1.54,34.38,3.04,0.56,1.89,0.84,0.25,0.04
132,Madrid,615801,14.0,2.25,2.83,2.02,2.73,1.68,4.71,3.51,14.54,8.86,2.33,4.67,25.01,2.79,1.43,4.69,0.98,0.22,0.74
133,Málaga,183084,50.81,0.69,1.14,1.2,1.36,0.52,1.65,2.2,6.61,3.0,1.35,2.86,19.13,1.25,0.48,2.17,0.26,0.72,2.6
134,Sevilla,167518,42.25,1.22,1.41,1.32,1.98,0.87,2.56,2.34,9.47,4.19,3.34,2.1,20.75,1.31,2.09,1.98,0.41,0.33,0.08
135,Illes Balears,195761,6.39,1.63,1.09,39.07,1.72,1.62,2.24,1.28,13.76,4.9,0.94,2.62,16.73,1.0,0.72,3.62,0.44,0.22,0.03
136,Barcelona,339829,6.48,2.19,0.73,2.15,1.75,0.71,1.64,1.71,43.09,6.25,0.89,2.33,21.04,1.11,2.01,4.95,0.48,0.42,0.07
137,Girona,146828,1.89,0.78,0.38,0.56,0.46,0.27,1.73,0.64,80.38,3.63,0.14,0.83,5.47,0.37,0.34,1.9,0.21,0.02,0.0
138,46 Valencia/València,178828,11.81,2.59,0.94,1.95,0.77,0.53,2.9,5.08,12.02,23.69,0.77,1.93,27.68,2.95,0.83,2.2,0.31,1.02,0.02
139,Madrid,567796,16.13,2.26,2.77,2.23,3.24,1.7,4.49,3.09,14.3,7.96,2.1,4.31,24.42,2.89,1.36,4.57,0.96,0.43,0.79
140,Málaga,211742,47.8,0.86,0.7,0.85,1.38,0.46,2.31,2.5,6.46,3.96,1.78,2.36,22.72,1.28,0.51,2.06,0.29,0.77,0.93
141,Sevilla,168951,41.54,1.25,0.92,0.95,1.62,1.25,3.25,3.11,8.38,5.52,3.56,2.34,20.06,1.71,0.78,2.7,0.62,0.42,0.04
142,Illes Balears,109541,10.93,0.89,0.68,36.53,0.91,0.65,2.33,1.03,11.68,5.08,2.64,1.11,20.6,1.2,0.23,2.65,0.14,0.11,0.64
143,Barcelona,298082,6.97,2.16,0.85,2.24,1.7,0.68,1.79,1.61,45.61,5.81,0.67,2.49,19.57,1.09,1.1,5.2,0.32,0.12,0.02
144,Girona,192039,1.74,0.8,0.18,0.7,0.38,0.14,0.52,0.87,80.89,3.34,1.0,0.76,4.74,0.42,0.34,2.91,0.24,0.02,0.0
145,46 Valencia/València,194351,10.9,2.93,0.83,2.02,0.75,0.61,3.41,4.39,11.15,20.45,0.83,2.24,32.14,2.37,0.78,2.93,0.39,0.86,0.02
146,Madrid,566092,11.98,2.47,2.72,2.24,2.82,1.6,4.42,3.1,15.62,9.42,2.35,5.16,24.81,2.41,1.66,5.37,0.93,0.28,0.65
147,Málaga,200193,52.44,0.98,0.53,1.12,1.27,0.31,1.52,1.77,6.82,3.57,1.23,1.6,18.73,1.66,0.59,1.89,0.14,1.12,2.7
148,Sevilla,166958,42.85,1.41,1.14,1.34,1.8,0.88,2.89,3.35,7.22,4.59,4.49,2.22,20.21,1.61,0.71,1.87,0.68,0.63,0.11
149,Illes Balears,62568,5.39,0.64,0.95,35.53,1.81,0.55,4.02,1.56,13.28,6.02,0.61,4.23,20.54,2.26,0.58,0.93,0.09,0.09,0.92
150,Barcelona,312242,5.97,2.11,0.7,2.11,1.92,0.4,1.79,1.58,45.09,5.84,0.62,2.93,19.89,0.96,0.89,6.12,0.54,0.13,0.4
151,Girona,100350,2.62,1.07,0.7,0.8,0.66,0.19,0.58,0.39,81.13,3.98,0.2,1.13,4.55,0.29,0.2,1.37,0.1,0.02,0.02
152,46 Valencia/València,189978,12.83,3.05,1.0,1.64,0.97,0.59,3.65,4.33,12.68,21.61,1.13,1.8,27.77,3.5,0.52,2.23,0.48,0.21,0.0
153,Madrid,582240,13.31,2.59,2.4,2.27,3.12,1.74,4.62,3.33,14.6,8.33,2.44,4.71,26.61,2.45,1.39,4.33,0.77,0.2,0.8
154,Málaga,151277,58.03,0.61,0.56,1.13,1.07,0.43,1.4,1.74,5.7,3.25,1.41,1.34,16.17,1.51,0.48,2.5,0.18,0.62,1.86
155,Sevilla,155381,46.71,0.91,0.99,1.48,2.06,0.9,2.87,2.48,6.26,4.39,4.41,2.12,19.13,1.62,0.64,1.7,0.55,0.62,0.14
156,Illes Balears,51577,7.24,0.71,1.72,34.1,0.58,0.33,3.33,0.73,17.85,7.67,0.24,1.12,18.81,0.63,0.28,4.54,0.08,0.02,0.01
157,Barcelona,252316,6.81,2.39,0.83,2.52,2.49,0.58,1.51,1.55,43.37,5.97,0.62,2.54,21.26,0.92,1.06,4.53,0.48,0.09,0.48
