Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;04 Balears, Illes;Dinamarca;Enero;372
Total Nacional;04 Balears, Illes;Dinamarca;Febrero;713
Total Nacional;04 Balears, Illes;Dinamarca;Marzo;2.951
Total Nacional;04 Balears, Illes;Dinamarca;Abril;8.967
Total Nacional;04 Balears, Illes;Dinamarca;Mayo;16.459
Total Nacional;04 Balears, Illes;Dinamarca;Junio;15.148
Total Nacional;04 Balears, Illes;Dinamarca;Julio;31.401
Total Nacional;04 Balears, Illes;Dinamarca;Agosto;16.772
Total Nacional;04 Balears, Illes;Dinamarca;Septiembre;19.309
Total Nacional;04 Balears, Illes;Dinamarca;Octubre;13.266
Total Nacional;04 Balears, Illes;Dinamarca;Noviembre;844
Total Nacional;04 Balears, Illes;Dinamarca;Diciembre;358
Total Nacional;04 Balears, Illes;Finlandia;Total;30.879
Total Nacional;04 Balears, Illes;Finlandia;Enero;96
Total Nacional;04 Balears, Illes;Finlandia;Febrero;238
Total Nacional;04 Balears, Illes;Finlandia;Marzo;1.710
Total Nacional;04 Balears, Illes;Finlandia;Abril;3.131
Total Nacional;04 Balears, Illes;Finlandia;Mayo;5.252
Total Nacional;04 Balears, Illes;Finlandia;Junio;4.137
Total Nacional;04 Balears, Illes;Finlandia;Julio;4.327
Total Nacional;04 Balears, Illes;Finlandia;Agosto;2.167
Total Nacional;04 Balears, Illes;Finlandia;Septiembre;3.837
Total Nacional;04 Balears, Illes;Finlandia;Octubre;5.205
Total Nacional;04 Balears, Illes;Finlandia;Noviembre;644
Total Nacional;04 Balears, Illes;Finlandia;Diciembre;135
Total Nacional;04 Balears, Illes;Francia;Total;764.052
Total Nacional;04 Balears, Illes;Francia;Enero;2.103
Total Nacional;04 Balears, Illes;Francia;Febrero;4.338
Total Nacional;04 Balears, Illes;Francia;Marzo;11.776
Total Nacional;04 Balears, Illes;Francia;Abril;56.240
Total Nacional;04 Balears, Illes;Francia;Mayo;121.380
Total Nacional;04 Balears, Illes;Francia;Junio;101.506
Total Nacional;04 Balears, Illes;Francia;Julio;122.361
Total Nacional;04 Balears, Illes;Francia;Agosto;153.695
Total Nacional;04 Balears, Illes;Francia;Septiembre;97.843
Total Nacional;04 Balears, Illes;Francia;Octubre;85.782
Total Nacional;04 Balears, Illes;Francia;Noviembre;3.780
Total Nacional;04 Balears, Illes;Francia;Diciembre;3.249
Total Nacional;04 Balears, Illes;Grecia;Total;11.654
Total Nacional;04 Balears, Illes;Grecia;Enero;83
Total Nacional;04 Balears, Illes;Grecia;Febrero;113
Total Nacional;04 Balears, Illes;Grecia;Marzo;367
Total Nacional;04 Balears, Illes;Grecia;Abril;613
Total Nacional;04 Balears, Illes;Grecia;Mayo;1.278
Total Nacional;04 Balears, Illes;Grecia;Junio;1.324
Total Nacional;04 Balears, Illes;Grecia;Julio;2.314
Total Nacional;04 Balears, Illes;Grecia;Agosto;2.799
Total Nacional;04 Balears, Illes;Grecia;Septiembre;1.669
Total Nacional;04 Balears, Illes;Grecia;Octubre;875
Total Nacional;04 Balears, Illes;Grecia;Noviembre;150
Total Nacional;04 Balears, Illes;Grecia;Diciembre;69
Total Nacional;04 Balears, Illes;Irlanda;Total;184.111
Total Nacional;04 Balears, Illes;Irlanda;Enero;390
Total Nacional;04 Balears, Illes;Irlanda;Febrero;534
Total Nacional;04 Balears, Illes;Irlanda;Marzo;2.348
Total Nacional;04 Balears, Illes;Irlanda;Abril;10.388
Total Nacional;04 Balears, Illes;Irlanda;Mayo;25.503
Total Nacional;04 Balears, Illes;Irlanda;Junio;32.844
Total Nacional;04 Balears, Illes;Irlanda;Julio;32.342
Total Nacional;04 Balears, Illes;Irlanda;Agosto;30.876
Total Nacional;04 Balears, Illes;Irlanda;Septiembre;28.532
Total Nacional;04 Balears, Illes;Irlanda;Octubre;19.470
Total Nacional;04 Balears, Illes;Irlanda;Noviembre;632
Total Nacional;04 Balears, Illes;Irlanda;Diciembre;252
Total Nacional;04 Balears, Illes;Italia;Total;517.952
Total Nacional;04 Balears, Illes;Italia;Enero;1.736
Total Nacional;04 Balears, Illes;Italia;Febrero;1.962
Total Nacional;04 Balears, Illes;Italia;Marzo;5.386
Total Nacional;04 Balears, Illes;Italia;Abril;19.223
Total Nacional;04 Balears, Illes;Italia;Mayo;51.456
Total Nacional;04 Balears, Illes;Italia;Junio;77.447
Total Nacional;04 Balears, Illes;Italia;Julio;110.171
Total Nacional;04 Balears, Illes;Italia;Agosto;142.649
Total Nacional;04 Balears, Illes;Italia;Septiembre;66.553
Total Nacional;04 Balears, Illes;Italia;Octubre;36.985
Total Nacional;04 Balears, Illes;Italia;Noviembre;2.057
Total Nacional;04 Balears, Illes;Italia;Diciembre;2.327
Total Nacional;04 Balears, Illes;Luxemburgo;Total;25.688
Total Nacional;04 Balears, Illes;Luxemburgo;Enero;87
Total Nacional;04 Balears, Illes;Luxemburgo;Febrero;508
Total Nacional;04 Balears, Illes;Luxemburgo;Marzo;751
Total Nacional;04 Balears, Illes;Luxemburgo;Abril;2.365
Total Nacional;04 Balears, Illes;Luxemburgo;Mayo;4.472
Total Nacional;04 Balears, Illes;Luxemburgo;Junio;2.295
Total Nacional;04 Balears, Illes;Luxemburgo;Julio;3.083
Total Nacional;04 Balears, Illes;Luxemburgo;Agosto;5.348
Total Nacional;04 Balears, Illes;Luxemburgo;Septiembre;3.734
Total Nacional;04 Balears, Illes;Luxemburgo;Octubre;2.167
Total Nacional;04 Balears, Illes;Luxemburgo;Noviembre;384
Total Nacional;04 Balears, Illes;Luxemburgo;Diciembre;495
Total Nacional;04 Balears, Illes;Países Bajos;Total;430.904
Total Nacional;04 Balears, Illes;Países Bajos;Enero;760
Total Nacional;04 Balears, Illes;Países Bajos;Febrero;2.688
Total Nacional;04 Balears, Illes;Países Bajos;Marzo;4.725
Total Nacional;04 Balears, Illes;Países Bajos;Abril;27.523
Total Nacional;04 Balears, Illes;Países Bajos;Mayo;67.009
Total Nacional;04 Balears, Illes;Países Bajos;Junio;63.998
Total Nacional;04 Balears, Illes;Países Bajos;Julio;78.272
Total Nacional;04 Balears, Illes;Países Bajos;Agosto;81.237
Total Nacional;04 Balears, Illes;Países Bajos;Septiembre;64.611
Total Nacional;04 Balears, Illes;Países Bajos;Octubre;36.358
Total Nacional;04 Balears, Illes;Países Bajos;Noviembre;2.199
Total Nacional;04 Balears, Illes;Países Bajos;Diciembre;1.525
Total Nacional;04 Balears, Illes;Polonia;Total;239.495
Total Nacional;04 Balears, Illes;Polonia;Enero;1.244
Total Nacional;04 Balears, Illes;Polonia;Febrero;1.727
Total Nacional;04 Balears, Illes;Polonia;Marzo;4.789
Total Nacional;04 Balears, Illes;Polonia;Abril;14.802
Total Nacional;04 Balears, Illes;Polonia;Mayo;33.166
Total Nacional;04 Balears, Illes;Polonia;Junio;34.646
Total Nacional;04 Balears, Illes;Polonia;Julio;37.445
Total Nacional;04 Balears, Illes;Polonia;Agosto;44.612
Total Nacional;04 Balears, Illes;Polonia;Septiembre;39.040
Total Nacional;04 Balears, Illes;Polonia;Octubre;25.239
Total Nacional;04 Balears, Illes;Polonia;Noviembre;1.601
Total Nacional;04 Balears, Illes;Polonia;Diciembre;1.183
Total Nacional;04 Balears, Illes;Portugal;Total;165.280
Total Nacional;04 Balears, Illes;Portugal;Enero;212
Total Nacional;04 Balears, Illes;Portugal;Febrero;523
Total Nacional;04 Balears, Illes;Portugal;Marzo;1.161
Total Nacional;04 Balears, Illes;Portugal;Abril;4.764
Total Nacional;04 Balears, Illes;Portugal;Mayo;17.439
Total Nacional;04 Balears, Illes;Portugal;Junio;27.365
Total Nacional;04 Balears, Illes;Portugal;Julio;31.779
Total Nacional;04 Balears, Illes;Portugal;Agosto;42.861
Total Nacional;04 Balears, Illes;Portugal;Septiembre;25.838
Total Nacional;04 Balears, Illes;Portugal;Octubre;12.540
Total Nacional;04 Balears, Illes;Portugal;Noviembre;470
Total Nacional;04 Balears, Illes;Portugal;Diciembre;327
Total Nacional;04 Balears, Illes;República Checa;Total;92.879
Total Nacional;04 Balears, Illes;República Checa;Enero;204
Total Nacional;04 Balears, Illes;República Checa;Febrero;766
Total Nacional;04 Balears, Illes;República Checa;Marzo;2.623
Total Nacional;04 Balears, Illes;República Checa;Abril;5.226
Total Nacional;04 Balears, Illes;República Checa;Mayo;8.419
Total Nacional;04 Balears, Illes;República Checa;Junio;16.688
Total Nacional;04 Balears, Illes;República Checa;Julio;16.942
Total Nacional;04 Balears, Illes;República Checa;Agosto;15.821
Total Nacional;04 Balears, Illes;República Checa;Septiembre;16.346
Total Nacional;04 Balears, Illes;República Checa;Octubre;8.140
Total Nacional;04 Balears, Illes;República Checa;Noviembre;1.104
Total Nacional;04 Balears, Illes;República Checa;Diciembre;600
Total Nacional;04 Balears, Illes;Suecia;Total;192.427
Total Nacional;04 Balears, Illes;Suecia;Enero;511
Total Nacional;04 Balears, Illes;Suecia;Febrero;1.083
Total Nacional;04 Balears, Illes;Suecia;Marzo;3.674
Total Nacional;04 Balears, Illes;Suecia;Abril;14.203
Total Nacional;04 Balears, Illes;Suecia;Mayo;31.936
Total Nacional;04 Balears, Illes;Suecia;Junio;30.566
Total Nacional;04 Balears, Illes;Suecia;Julio;36.297
Total Nacional;04 Balears, Illes;Suecia;Agosto;30.099
Total Nacional;04 Balears, Illes;Suecia;Septiembre;20.970
Total Nacional;04 Balears, Illes;Suecia;Octubre;19.444
Total Nacional;04 Balears, Illes;Suecia;Noviembre;2.485
Total Nacional;04 Balears, Illes;Suecia;Diciembre;1.159
Total Nacional;04 Balears, Illes;Noruega;Total;104.271
Total Nacional;04 Balears, Illes;Noruega;Enero;114
Total Nacional;04 Balears, Illes;Noruega;Febrero;287
Total Nacional;04 Balears, Illes;Noruega;Marzo;1.797
Total Nacional;04 Balears, Illes;Noruega;Abril;6.121
Total Nacional;04 Balears, Illes;Noruega;Mayo;13.727
Total Nacional;04 Balears, Illes;Noruega;Junio;17.303
Total Nacional;04 Balears, Illes;Noruega;Julio;23.110
Total Nacional;04 Balears, Illes;Noruega;Agosto;13.229
Total Nacional;04 Balears, Illes;Noruega;Septiembre;14.931
Total Nacional;04 Balears, Illes;Noruega;Octubre;12.838
Total Nacional;04 Balears, Illes;Noruega;Noviembre;590
Total Nacional;04 Balears, Illes;Noruega;Diciembre;223
Total Nacional;04 Balears, Illes;Reino Unido;Total;2.804.079
Total Nacional;04 Balears, Illes;Reino Unido;Enero;3.518
Total Nacional;04 Balears, Illes;Reino Unido;Febrero;9.081
Total Nacional;04 Balears, Illes;Reino Unido;Marzo;39.004
Total Nacional;04 Balears, Illes;Reino Unido;Abril;121.129
Total Nacional;04 Balears, Illes;Reino Unido;Mayo;454.211
Total Nacional;04 Balears, Illes;Reino Unido;Junio;464.238
Total Nacional;04 Balears, Illes;Reino Unido;Julio;477.437
Total Nacional;04 Balears, Illes;Reino Unido;Agosto;501.120
Total Nacional;04 Balears, Illes;Reino Unido;Septiembre;427.525
Total Nacional;04 Balears, Illes;Reino Unido;Octubre;293.959
Total Nacional;04 Balears, Illes;Reino Unido;Noviembre;6.681
Total Nacional;04 Balears, Illes;Reino Unido;Diciembre;6.176
Total Nacional;04 Balears, Illes;Suiza;Total;288.187
Total Nacional;04 Balears, Illes;Suiza;Enero;1.000
Total Nacional;04 Balears, Illes;Suiza;Febrero;2.803
Total Nacional;04 Balears, Illes;Suiza;Marzo;7.055
Total Nacional;04 Balears, Illes;Suiza;Abril;20.174
Total Nacional;04 Balears, Illes;Suiza;Mayo;36.028
Total Nacional;04 Balears, Illes;Suiza;Junio;37.431
Total Nacional;04 Balears, Illes;Suiza;Julio;58.067
Total Nacional;04 Balears, Illes;Suiza;Agosto;34.941
Total Nacional;04 Balears, Illes;Suiza;Septiembre;47.879
Total Nacional;04 Balears, Illes;Suiza;Octubre;37.760
Total Nacional;04 Balears, Illes;Suiza;Noviembre;2.589
Total Nacional;04 Balears, Illes;Suiza;Diciembre;2.459
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Total;188.351
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Enero;1.419
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Febrero;2.047
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Marzo;2.776
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Abril;7.074
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Mayo;20.221
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Junio;30.495
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Julio;40.952
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Agosto;34.527
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Septiembre;26.440
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Octubre;18.595
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Noviembre;1.744
Total Nacional;04 Balears, Illes;Resto de Europa sin U.E.;Diciembre;2.062
Total Nacional;04 Balears, Illes;Japón;Total;8.727
Total Nacional;04 Balears, Illes;Japón;Enero;54
Total Nacional;04 Balears, Illes;Japón;Febrero;107
Total Nacional;04 Balears, Illes;Japón;Marzo;666
Total Nacional;04 Balears, Illes;Japón;Abril;358
Total Nacional;04 Balears, Illes;Japón;Mayo;1.029
Total Nacional;04 Balears, Illes;Japón;Junio;1.157
Total Nacional;04 Balears, Illes;Japón;Julio;1.234
Total Nacional;04 Balears, Illes;Japón;Agosto;1.600
Total Nacional;04 Balears, Illes;Japón;Septiembre;1.038
Total Nacional;04 Balears, Illes;Japón;Octubre;1.112
Total Nacional;04 Balears, Illes;Japón;Noviembre;192
Total Nacional;04 Balears, Illes;Japón;Diciembre;181
Total Nacional;04 Balears, Illes;República China;Total;30.733
Total Nacional;04 Balears, Illes;República China;Enero;225
Total Nacional;04 Balears, Illes;República China;Febrero;498
Total Nacional;04 Balears, Illes;República China;Marzo;1.002
Total Nacional;04 Balears, Illes;República China;Abril;2.036
Total Nacional;04 Balears, Illes;República China;Mayo;3.734
Total Nacional;04 Balears, Illes;República China;Junio;4.631
Total Nacional;04 Balears, Illes;República China;Julio;4.910
Total Nacional;04 Balears, Illes;República China;Agosto;4.349
Total Nacional;04 Balears, Illes;República China;Septiembre;3.268
Total Nacional;04 Balears, Illes;República China;Octubre;4.898
Total Nacional;04 Balears, Illes;República China;Noviembre;525
Total Nacional;04 Balears, Illes;República China;Diciembre;656
Total Nacional;04 Balears, Illes;Estados Unidos;Total;249.611
Total Nacional;04 Balears, Illes;Estados Unidos;Enero;1.077
Total Nacional;04 Balears, Illes;Estados Unidos;Febrero;1.599
Total Nacional;04 Balears, Illes;Estados Unidos;Marzo;5.990
Total Nacional;04 Balears, Illes;Estados Unidos;Abril;13.264
Total Nacional;04 Balears, Illes;Estados Unidos;Mayo;30.425
Total Nacional;04 Balears, Illes;Estados Unidos;Junio;42.108
Total Nacional;04 Balears, Illes;Estados Unidos;Julio;45.224
Total Nacional;04 Balears, Illes;Estados Unidos;Agosto;43.981
Total Nacional;04 Balears, Illes;Estados Unidos;Septiembre;36.944
Total Nacional;04 Balears, Illes;Estados Unidos;Octubre;24.201
Total Nacional;04 Balears, Illes;Estados Unidos;Noviembre;2.797
Total Nacional;04 Balears, Illes;Estados Unidos;Diciembre;2.002
Total Nacional;04 Balears, Illes;Resto de América;Total;202.849
Total Nacional;04 Balears, Illes;Resto de América;Enero;1.408
Total Nacional;04 Balears, Illes;Resto de América;Febrero;1.494
Total Nacional;04 Balears, Illes;Resto de América;Marzo;4.060
Total Nacional;04 Balears, Illes;Resto de América;Abril;7.461
Total Nacional;04 Balears, Illes;Resto de América;Mayo;23.199
Total Nacional;04 Balears, Illes;Resto de América;Junio;31.635
Total Nacional;04 Balears, Illes;Resto de América;Julio;42.286
Total Nacional;04 Balears, Illes;Resto de América;Agosto;36.961
Total Nacional;04 Balears, Illes;Resto de América;Septiembre;30.625
Total Nacional;04 Balears, Illes;Resto de América;Octubre;19.203
Total Nacional;04 Balears, Illes;Resto de América;Noviembre;2.317
Total Nacional;04 Balears, Illes;Resto de América;Diciembre;2.199
Total Nacional;04 Balears, Illes;Países africanos;Total;41.610
Total Nacional;04 Balears, Illes;Países africanos;Enero;297
Total Nacional;04 Balears, Illes;Países africanos;Febrero;410
Total Nacional;04 Balears, Illes;Países africanos;Marzo;827
Total Nacional;04 Balears, Illes;Países africanos;Abril;1.265
Total Nacional;04 Balears, Illes;Países africanos;Mayo;4.576
Total Nacional;04 Balears, Illes;Países africanos;Junio;6.331
Total Nacional;04 Balears, Illes;Países africanos;Julio;7.931
Total Nacional;04 Balears, Illes;Países africanos;Agosto;10.412
Total Nacional;04 Balears, Illes;Países africanos;Septiembre;5.189
Total Nacional;04 Balears, Illes;Países africanos;Octubre;3.284
Total Nacional;04 Balears, Illes;Países africanos;Noviembre;672
Total Nacional;04 Balears, Illes;Países africanos;Diciembre;415
Total Nacional;09 Cataluña;Total;Total;21.595.874
Total Nacional;09 Cataluña;Total;Enero;1.008.841
Total Nacional;09 Cataluña;Total;Febrero;1.136.047
Total Nacional;09 Cataluña;Total;Marzo;1.517.111
Total Nacional;09 Cataluña;Total;Abril;1.710.107
Total Nacional;09 Cataluña;Total;Mayo;2.230.192
Total Nacional;09 Cataluña;Total;Junio;2.317.946
Total Nacional;09 Cataluña;Total;Julio;2.531.716
Total Nacional;09 Cataluña;Total;Agosto;2.645.423
Total Nacional;09 Cataluña;Total;Septiembre;2.149.212
Total Nacional;09 Cataluña;Total;Octubre;1.936.191
Total Nacional;09 Cataluña;Total;Noviembre;1.250.229
Total Nacional;09 Cataluña;Total;Diciembre;1.162.859
Total Nacional;09 Cataluña;Residentes en España;Total;7.633.663
Total Nacional;09 Cataluña;Residentes en España;Enero;413.495
Total Nacional;09 Cataluña;Residentes en España;Febrero;444.253
Total Nacional;09 Cataluña;Residentes en España;Marzo;618.318
Total Nacional;09 Cataluña;Residentes en España;Abril;550.948
Total Nacional;09 Cataluña;Residentes en España;Mayo;692.418
Total Nacional;09 Cataluña;Residentes en España;Junio;851.680
Total Nacional;09 Cataluña;Residentes en España;Julio;861.378
Total Nacional;09 Cataluña;Residentes en España;Agosto;899.260
Total Nacional;09 Cataluña;Residentes en España;Septiembre;691.162
Total Nacional;09 Cataluña;Residentes en España;Octubre;608.812
Total Nacional;09 Cataluña;Residentes en España;Noviembre;484.693
Total Nacional;09 Cataluña;Residentes en España;Diciembre;517.245
Total Nacional;09 Cataluña;No residentes en España;Total;13.962.211
Total Nacional;09 Cataluña;No residentes en España;Enero;595.346
Total Nacional;09 Cataluña;No residentes en España;Febrero;691.794
Total Nacional;09 Cataluña;No residentes en España;Marzo;898.793
Total Nacional;09 Cataluña;No residentes en España;Abril;1.159.158
Total Nacional;09 Cataluña;No residentes en España;Mayo;1.537.775
Total Nacional;09 Cataluña;No residentes en España;Junio;1.466.266
Total Nacional;09 Cataluña;No residentes en España;Julio;1.670.337
Total Nacional;09 Cataluña;No residentes en España;Agosto;1.746.163
Total Nacional;09 Cataluña;No residentes en España;Septiembre;1.458.050
Total Nacional;09 Cataluña;No residentes en España;Octubre;1.327.379
Total Nacional;09 Cataluña;No residentes en España;Noviembre;765.536
Total Nacional;09 Cataluña;No residentes en España;Diciembre;645.613
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Total;7.105.454
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Enero;289.721
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Febrero;342.005
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Marzo;455.563
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Abril;625.219
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Mayo;793.264
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Junio;674.106
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Julio;873.968
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Agosto;1.006.203
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Septiembre;708.853
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Octubre;668.661
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Noviembre;353.455
Total Nacional;09 Cataluña;Unión Europea 27 (sin España);Diciembre;314.436
Total Nacional;09 Cataluña;Alemania;Total;950.897
Total Nacional;09 Cataluña;Alemania;Enero;34.902
Total Nacional;09 Cataluña;Alemania;Febrero;41.207
Total Nacional;09 Cataluña;Alemania;Marzo;73.278
Total Nacional;09 Cataluña;Alemania;Abril;71.313
Total Nacional;09 Cataluña;Alemania;Mayo;101.864
Total Nacional;09 Cataluña;Alemania;Junio;96.557
Total Nacional;09 Cataluña;Alemania;Julio;135.262
Total Nacional;09 Cataluña;Alemania;Agosto;124.809
Total Nacional;09 Cataluña;Alemania;Septiembre;95.623
Total Nacional;09 Cataluña;Alemania;Octubre;93.684
Total Nacional;09 Cataluña;Alemania;Noviembre;45.671
Total Nacional;09 Cataluña;Alemania;Diciembre;36.727
Total Nacional;09 Cataluña;Austria;Total;105.102
Total Nacional;09 Cataluña;Austria;Enero;4.266
Total Nacional;09 Cataluña;Austria;Febrero;7.103
Total Nacional;09 Cataluña;Austria;Marzo;10.057
Total Nacional;09 Cataluña;Austria;Abril;8.670
Total Nacional;09 Cataluña;Austria;Mayo;11.607
Total Nacional;09 Cataluña;Austria;Junio;10.337
Total Nacional;09 Cataluña;Austria;Julio;10.110
Total Nacional;09 Cataluña;Austria;Agosto;11.129
Total Nacional;09 Cataluña;Austria;Septiembre;9.588
Total Nacional;09 Cataluña;Austria;Octubre;11.418
Total Nacional;09 Cataluña;Austria;Noviembre;6.447
Total Nacional;09 Cataluña;Austria;Diciembre;4.369
Total Nacional;09 Cataluña;Bélgica;Total;368.626
Total Nacional;09 Cataluña;Bélgica;Enero;10.331
Total Nacional;09 Cataluña;Bélgica;Febrero;13.614
Total Nacional;09 Cataluña;Bélgica;Marzo;22.312
Total Nacional;09 Cataluña;Bélgica;Abril;30.846
Total Nacional;09 Cataluña;Bélgica;Mayo;36.998
Total Nacional;09 Cataluña;Bélgica;Junio;34.263
Total Nacional;09 Cataluña;Bélgica;Julio;72.382
Total Nacional;09 Cataluña;Bélgica;Agosto;49.147
Total Nacional;09 Cataluña;Bélgica;Septiembre;42.207
Total Nacional;09 Cataluña;Bélgica;Octubre;31.426
Total Nacional;09 Cataluña;Bélgica;Noviembre;13.157
Total Nacional;09 Cataluña;Bélgica;Diciembre;11.943
Total Nacional;09 Cataluña;Dinamarca;Total;97.400
Total Nacional;09 Cataluña;Dinamarca;Enero;3.763
Total Nacional;09 Cataluña;Dinamarca;Febrero;4.842
Total Nacional;09 Cataluña;Dinamarca;Marzo;8.240
Total Nacional;09 Cataluña;Dinamarca;Abril;8.254
Total Nacional;09 Cataluña;Dinamarca;Mayo;10.116
Total Nacional;09 Cataluña;Dinamarca;Junio;9.189
Total Nacional;09 Cataluña;Dinamarca;Julio;15.736
Total Nacional;09 Cataluña;Dinamarca;Agosto;7.632
Total Nacional;09 Cataluña;Dinamarca;Septiembre;9.844
Total Nacional;09 Cataluña;Dinamarca;Octubre;10.107
Total Nacional;09 Cataluña;Dinamarca;Noviembre;6.111
Total Nacional;09 Cataluña;Dinamarca;Diciembre;3.566
Total Nacional;09 Cataluña;Finlandia;Total;60.687
Total Nacional;09 Cataluña;Finlandia;Enero;2.750
Total Nacional;09 Cataluña;Finlandia;Febrero;4.090
Total Nacional;09 Cataluña;Finlandia;Marzo;4.375
Total Nacional;09 Cataluña;Finlandia;Abril;5.726
Total Nacional;09 Cataluña;Finlandia;Mayo;6.796
Total Nacional;09 Cataluña;Finlandia;Junio;7.001
Total Nacional;09 Cataluña;Finlandia;Julio;6.328
Total Nacional;09 Cataluña;Finlandia;Agosto;3.032
Total Nacional;09 Cataluña;Finlandia;Septiembre;6.230
Total Nacional;09 Cataluña;Finlandia;Octubre;8.053
Total Nacional;09 Cataluña;Finlandia;Noviembre;4.422
Total Nacional;09 Cataluña;Finlandia;Diciembre;1.884
Total Nacional;09 Cataluña;Francia;Total;2.482.631
Total Nacional;09 Cataluña;Francia;Enero;91.328
Total Nacional;09 Cataluña;Francia;Febrero;108.761
Total Nacional;09 Cataluña;Francia;Marzo;120.566
Total Nacional;09 Cataluña;Francia;Abril;239.660
Total Nacional;09 Cataluña;Francia;Mayo;333.231
Total Nacional;09 Cataluña;Francia;Junio;200.249
Total Nacional;09 Cataluña;Francia;Julio;269.598
Total Nacional;09 Cataluña;Francia;Agosto;417.902
Total Nacional;09 Cataluña;Francia;Septiembre;230.690
Total Nacional;09 Cataluña;Francia;Octubre;252.267
Total Nacional;09 Cataluña;Francia;Noviembre;109.711
Total Nacional;09 Cataluña;Francia;Diciembre;108.667
Total Nacional;09 Cataluña;Grecia;Total;60.832
Total Nacional;09 Cataluña;Grecia;Enero;3.998
Total Nacional;09 Cataluña;Grecia;Febrero;5.306
Total Nacional;09 Cataluña;Grecia;Marzo;7.167
Total Nacional;09 Cataluña;Grecia;Abril;5.124
Total Nacional;09 Cataluña;Grecia;Mayo;5.553
Total Nacional;09 Cataluña;Grecia;Junio;5.478
Total Nacional;09 Cataluña;Grecia;Julio;5.154
Total Nacional;09 Cataluña;Grecia;Agosto;4.193
Total Nacional;09 Cataluña;Grecia;Septiembre;4.342
Total Nacional;09 Cataluña;Grecia;Octubre;4.708
Total Nacional;09 Cataluña;Grecia;Noviembre;5.374
Total Nacional;09 Cataluña;Grecia;Diciembre;4.435
Total Nacional;09 Cataluña;Irlanda;Total;275.902
Total Nacional;09 Cataluña;Irlanda;Enero;6.982
Total Nacional;09 Cataluña;Irlanda;Febrero;8.874
Total Nacional;09 Cataluña;Irlanda;Marzo;9.731
Total Nacional;09 Cataluña;Irlanda;Abril;22.973
Total Nacional;09 Cataluña;Irlanda;Mayo;37.167
Total Nacional;09 Cataluña;Irlanda;Junio;38.451
Total Nacional;09 Cataluña;Irlanda;Julio;36.035
Total Nacional;09 Cataluña;Irlanda;Agosto;34.657
Total Nacional;09 Cataluña;Irlanda;Septiembre;38.671
Total Nacional;09 Cataluña;Irlanda;Octubre;28.757
Total Nacional;09 Cataluña;Irlanda;Noviembre;8.302
Total Nacional;09 Cataluña;Irlanda;Diciembre;5.301
Total Nacional;09 Cataluña;Italia;Total;819.226
Total Nacional;09 Cataluña;Italia;Enero;49.979
Total Nacional;09 Cataluña;Italia;Febrero;52.955
Total Nacional;09 Cataluña;Italia;Marzo;81.002
Total Nacional;09 Cataluña;Italia;Abril;78.936
Total Nacional;09 Cataluña;Italia;Mayo;67.768
Total Nacional;09 Cataluña;Italia;Junio;65.509
Total Nacional;09 Cataluña;Italia;Julio;74.884
Total Nacional;09 Cataluña;Italia;Agosto;106.866
Total Nacional;09 Cataluña;Italia;Septiembre;68.039
Total Nacional;09 Cataluña;Italia;Octubre;59.791
Total Nacional;09 Cataluña;Italia;Noviembre;54.627
Total Nacional;09 Cataluña;Italia;Diciembre;58.869
Total Nacional;09 Cataluña;Luxemburgo;Total;16.647
Total Nacional;09 Cataluña;Luxemburgo;Enero;625
Total Nacional;09 Cataluña;Luxemburgo;Febrero;832
Total Nacional;09 Cataluña;Luxemburgo;Marzo;1.118
Total Nacional;09 Cataluña;Luxemburgo;Abril;1.057
Total Nacional;09 Cataluña;Luxemburgo;Mayo;1.733
Total Nacional;09 Cataluña;Luxemburgo;Junio;2.036
Total Nacional;09 Cataluña;Luxemburgo;Julio;1.651
Total Nacional;09 Cataluña;Luxemburgo;Agosto;2.854
Total Nacional;09 Cataluña;Luxemburgo;Septiembre;1.644
Total Nacional;09 Cataluña;Luxemburgo;Octubre;1.277
