apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+
7030624,Entire home/apt,1140.0,False,4,7,27,40,87,15,65,Barcelona,2017-06-05,True
7032941,Entire home/apt,1800.0,True,0,0,0,82,96,15,29,Mallorca,2019-10-28,True
7034555,Private room,580.0,True,25,53,83,358,95,110,284,Barcelona,2018-09-11,True
7047052,Private room,950.0,True,30,60,90,90,92,176,432,Barcelona,2018-11-07,True
7049609,Private room,250.0,True,0,0,0,0,,0,,Madrid,2019-06-07,
7050214,Private room,230.0,True,0,16,46,321,97,22,46,Madrid,2020-12-17,True
7061325,Entire home/apt,400.0,True,1,8,31,279,94,291,742,Sevilla,2018-09-22,True
7064358,Private room,600.0,True,0,0,0,0,,0,,Barcelona,2018-05-14,
7065656,Private room,190.0,True,8,13,28,296,90,229,487,Madrid,2019-05-14,True
7068050,Private room,280.0,True,7,9,39,40,93,43,138,Sevilla,2018-10-18,True
7070725,Private room,210.0,True,0,0,0,0,83,6,11,Madrid,2020-02-18,True
7071532,Entire home/apt,1050.0,True,30,60,90,350,93,93,228,Girona,2018-11-26,True
7096025,Entire home/apt,810.0,True,30,60,90,349,93,153,269,Valencia,2020-05-31,True
7097089,Entire home/apt,1000.0,True,5,16,25,277,92,189,412,Madrid,2019-04-11,True
7100270,Entire home/apt,1040.0,True,16,46,76,351,88,5,1,Mallorca,2019-09-28,True
7105608,Entire home/apt,1100.0,True,17,23,31,272,69,21,63,Barcelona,2018-05-14,False
7106676,Entire home/apt,570.0,True,13,31,56,326,87,193,446,Madrid,2019-02-06,True
7108900,Private room,390.0,True,30,60,90,365,94,154,232,Barcelona,2021-01-12,True
7113910,Private room,400.0,True,0,0,0,0,80,1,4,Barcelona,2017-10-07,True
7118391,Entire home/apt,3550.0,False,0,0,0,0,,0,,Barcelona,2017-01-04,
7120267,Private room,410.0,True,20,42,72,347,96,42,11,Barcelona,2018-11-07,True
7123943,Entire home/apt,3850.0,True,29,50,74,324,97,18,32,Girona,2020-04-30,True
7125407,Entire home/apt,1400.0,True,27,57,81,141,97,14,31,Girona,2019-05-29,True
7127848,Entire home/apt,400.0,True,0,0,0,0,,0,,Madrid,2018-09-11,
7131427,Private room,350.0,True,0,0,16,16,,0,,Madrid,2018-01-17,
