apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,first_review_date,last_review_date,number_of_reviews,reviews_per_month,city,insert_date,price_missing,reviews 80+
19153481,Entire home/apt,1820.0,True,19,49,79,315,100,2017-07-15,2018-07-27,9,0.67,Menorca,2018-08-29,False,True
19154124,Entire home/apt,,True,10,30,46,321,95,2017-08-21,2018-08-06,11,0.75,Barcelona,2018-11-07,True,True
19154451,Entire home/apt,700.0,True,27,57,87,214,,2018-05-11,2018-05-13,3,0.46,Girona,2018-11-26,False,
19155983,Entire home/apt,850.0,True,1,1,1,1,78,2017-09-18,2019-09-01,8,0.25,Girona,2020-05-28,False,False
19158294,Entire home/apt,810.0,True,0,0,0,0,98,2017-07-04,2019-08-17,11,0.28,Valencia,2020-09-28,False,True
19161213,Entire home/apt,1280.0,True,5,10,15,133,92,2017-06-20,2019-05-26,37,1.57,Barcelona,2019-06-07,False,True
19167031,Entire home/apt,950.0,False,3,8,16,105,,,,0,,Barcelona,2017-07-06,False,
19168750,Entire home/apt,760.0,True,1,1,1,1,,,,0,,Girona,2020-05-28,False,
19168784,Entire home/apt,840.0,True,30,60,90,365,,,,0,,Girona,2019-10-30,False,
19168791,Entire home/apt,770.0,True,30,60,90,365,,,,0,,Girona,2018-10-20,False,
19168837,Entire home/apt,760.0,True,30,60,90,365,,,,0,,Girona,2019-12-31,False,
19168863,Entire home/apt,630.0,True,30,60,90,365,60,2017-08-15,2017-08-15,1,0.07,Girona,2018-09-28,False,False
19168868,Entire home/apt,620.0,True,30,60,90,365,80,2018-08-18,2018-08-18,1,0.04,Girona,2020-06-29,False,True
19168962,Entire home/apt,610.0,True,14,36,48,310,100,2018-09-08,2018-09-08,1,0.12,Girona,2019-05-29,False,True
19168981,Entire home/apt,600.0,True,30,60,90,365,,,,0,,Girona,2019-09-30,False,
19169266,Entire home/apt,5000.0,True,0,0,0,0,,,,0,,Mallorca,2020-04-23,False,
19171919,Entire home/apt,1030.0,True,0,0,0,119,,,,0,,Girona,2019-03-30,False,
19172034,Entire home/apt,5000.0,True,10,40,70,341,,,,0,,Barcelona,2018-04-12,False,
19172642,Entire home/apt,1000.0,True,7,37,64,333,88,2017-07-09,2017-10-03,13,4.39,Barcelona,2017-10-07,False,True
19172681,Entire home/apt,300.0,True,12,30,30,30,96,2017-07-09,2018-08-29,36,2.51,Mallorca,2018-09-18,False,True
19173447,Entire home/apt,2100.0,True,25,55,85,360,100,2017-08-01,2018-08-23,3,0.21,Mallorca,2018-10-17,False,True
19174776,Private room,930.0,True,29,59,89,179,96,2017-06-16,2017-07-23,5,0.14,Barcelona,2020-06-13,False,True
19175782,Entire home/apt,450.0,True,30,60,90,93,,,,0,,Girona,2018-08-30,False,
19176012,Private room,250.0,True,26,56,86,133,96,2017-06-25,2019-07-14,88,3.44,Madrid,2019-08-12,False,True
19176730,Entire home/apt,5043.0,True,7,7,7,7,92,2017-08-14,2020-08-19,35,0.96,Valencia,2020-08-30,False,True
19185015,Entire home/apt,640.0,True,0,27,31,32,,,,0,,Girona,2019-07-29,False,
19186324,Entire home/apt,,True,29,59,89,179,,,,0,,Barcelona,2018-07-10,True,
19189101,Entire home/apt,1380.0,True,0,0,0,0,98,2017-07-10,2020-10-29,182,4.47,Sevilla,2020-11-30,False,True
19190552,Entire home/apt,650.0,True,22,47,68,343,80,2017-06-30,2019-03-21,2,0.09,Madrid,2019-05-14,False,True
19193802,Entire home/apt,2200.0,True,8,10,16,231,100,2017-09-04,2019-05-10,54,2.66,Barcelona,2019-05-14,False,True
19196593,Entire home/apt,500.0,True,0,0,0,213,93,2017-06-27,2020-09-05,42,1.0,Malaga,2020-12-30,False,True
19200418,Entire home/apt,930.0,True,28,58,88,88,81,2017-06-26,2020-02-28,38,1.13,Barcelona,2020-04-16,False,True
19201959,Entire home/apt,500.0,True,8,21,43,248,89,2017-06-19,2017-08-26,7,0.31,Barcelona,2019-05-14,False,True
19202541,Private room,300.0,True,0,0,0,0,85,2017-07-07,2017-08-23,6,2.72,Barcelona,2017-09-12,False,True
19205415,Private room,200.0,True,0,0,0,0,82,2017-06-16,2017-11-21,14,0.38,Madrid,2020-07-17,False,True
19205565,Entire home/apt,1500.0,True,16,46,51,51,100,2017-08-05,2019-09-06,10,0.39,Mallorca,2019-09-28,False,True
19205820,Entire home/apt,1000.0,True,0,0,0,0,100,2017-06-26,2018-02-20,2,0.21,Barcelona,2018-04-12,False,True
19205969,Entire home/apt,1550.0,True,0,0,0,0,97,2017-08-10,2018-10-07,14,0.79,Mallorca,2019-01-28,False,True
19206726,Entire home/apt,730.0,True,0,20,50,56,,,,0,,Girona,2019-07-29,False,
19207960,Entire home/apt,1100.0,True,16,46,76,339,80,2017-07-31,2018-07-21,6,0.44,Mallorca,2018-09-18,False,True
19219220,Entire home/apt,2110.0,True,10,30,52,212,91,2017-07-07,2018-10-14,45,2.92,Sevilla,2018-10-18,False,True
19224699,Entire home/apt,1000.0,True,0,7,37,312,93,2017-06-18,2019-01-19,58,2.66,Madrid,2019-04-11,False,True
19231052,Entire home/apt,3000.0,True,23,53,83,358,,,,0,,Girona,2020-04-30,False,
19234117,Private room,1500.0,True,0,0,0,0,,,,0,,Mallorca,2020-08-28,False,
19236052,Entire home/apt,1160.0,True,0,0,26,224,100,2018-05-14,2018-05-14,1,0.03,Girona,2021-02-27,False,True
19236056,Entire home/apt,990.0,True,0,0,0,0,80,2018-06-10,2019-06-02,4,0.19,Girona,2020-03-26,False,True
19236063,Entire home/apt,1180.0,True,1,1,1,1,93,2018-09-17,2020-10-12,3,0.11,Girona,2020-11-28,False,True
19236073,Entire home/apt,1520.0,True,0,0,2,173,93,2018-03-25,2018-06-10,3,0.34,Girona,2018-12-22,False,True
19236201,Entire home/apt,900.0,True,29,59,89,364,,,,0,,Madrid,2018-01-17,False,
19236776,Entire home/apt,900.0,True,1,5,9,124,94,2017-07-18,2019-10-25,42,1.22,Mallorca,2020-05-28,False,True
19239394,Entire home/apt,750.0,True,3,16,38,54,100,2017-06-19,2018-07-17,28,2.1,Mallorca,2018-07-29,False,True
19239896,Entire home/apt,2000.0,True,15,45,75,173,94,2017-07-06,2018-07-31,35,2.63,Barcelona,2018-08-14,False,True
19247457,Entire home/apt,990.0,True,0,14,44,319,,,,0,,Madrid,2020-05-14,False,
19247705,Entire home/apt,560.0,True,0,20,50,116,,,,0,,Girona,2019-07-29,False,
19247709,Entire home/apt,890.0,True,28,58,88,92,20,2018-04-01,2018-04-01,1,0.17,Girona,2018-09-28,False,False
19247725,Entire home/apt,850.0,True,0,26,56,123,,,,0,,Girona,2018-04-21,False,
19253529,Entire home/apt,1800.0,True,16,41,68,160,100,2017-10-01,2019-04-29,14,0.7,Sevilla,2019-05-29,False,True
19260745,Entire home/apt,890.0,True,15,40,67,319,100,2017-07-04,2017-07-13,2,0.07,Sevilla,2019-10-30,False,True
19260750,Entire home/apt,970.0,True,10,37,61,291,88,2017-08-13,2019-05-21,5,0.22,Sevilla,2019-06-29,False,True
19268594,Entire home/apt,3000.0,True,29,59,89,90,,,,0,,Madrid,2020-06-13,False,
19270009,Private room,390.0,True,0,0,0,165,93,2017-07-24,2017-11-06,8,0.83,Barcelona,2018-05-14,False,True
19270083,Private room,590.0,True,0,0,0,0,99,2017-12-08,2020-03-01,44,1.15,Madrid,2021-02-09,False,True
19278598,Entire home/apt,880.0,True,29,59,89,123,97,2017-08-12,2020-03-15,66,1.8,Valencia,2020-08-30,False,True
19278876,Entire home/apt,850.0,True,28,56,86,361,96,2017-07-29,2019-12-23,68,2.34,Malaga,2019-12-31,False,True
19280128,Entire home/apt,5000.0,True,30,60,90,90,90,2017-08-19,2018-07-21,2,0.1,Malaga,2019-03-31,False,True
19280664,Entire home/apt,1240.0,True,0,0,2,202,91,2017-07-27,2020-08-06,30,0.73,Mallorca,2020-12-19,False,True
19280939,Entire home/apt,2730.0,True,8,24,54,302,95,2017-07-27,2019-06-04,84,3.76,Barcelona,2019-06-07,False,True
19288117,Private room,240.0,True,0,0,0,0,88,2017-06-20,2018-10-21,37,1.71,Barcelona,2019-04-10,False,True
19290386,Private room,600.0,True,20,50,80,355,94,2017-06-20,2018-08-30,43,2.92,Barcelona,2018-09-11,False,True
19294912,Private room,190.0,True,15,15,15,15,84,2017-06-19,2018-10-13,84,4.74,Madrid,2018-12-10,False,True
19299038,Private room,300.0,True,0,0,0,0,100,2017-07-22,2018-03-26,2,0.05,Madrid,2020-09-13,False,True
19299446,Entire home/apt,550.0,True,24,35,57,126,96,2017-07-02,2019-07-28,73,2.88,Madrid,2019-08-12,False,True
19301422,Private room,320.0,True,0,0,0,62,92,2017-06-25,2018-05-06,5,0.24,Madrid,2019-03-08,False,True
19302170,Entire home/apt,900.0,True,22,52,69,69,86,2017-07-27,2019-08-14,22,0.82,Barcelona,2019-10-16,False,True
19302943,Entire home/apt,900.0,True,28,58,73,348,90,2017-08-09,2019-02-03,8,0.37,Girona,2019-05-29,False,True
19303345,Entire home/apt,3900.0,True,0,0,0,0,97,2017-07-16,2018-10-11,27,1.67,Mallorca,2018-11-20,False,True
19306339,Entire home/apt,3500.0,True,15,45,75,77,100,2017-07-16,2017-08-26,4,0.32,Girona,2018-07-31,False,True
19307567,Entire home/apt,1700.0,True,9,39,69,202,99,2017-07-25,2018-08-12,15,1.16,Mallorca,2018-08-21,False,True
19310672,Entire home/apt,1620.0,True,30,33,33,33,80,2018-09-01,2018-09-01,1,1.13,Girona,2018-09-28,False,True
19310690,Private room,600.0,True,1,10,29,222,100,2017-06-27,2017-09-09,13,5.13,Barcelona,2017-09-12,False,True
19312456,Entire home/apt,2500.0,True,0,0,0,0,,,,0,,Mallorca,2019-03-25,False,
19321540,Entire home/apt,,True,30,60,90,365,,,,0,,Barcelona,2019-09-17,True,
19322427,Private room,500.0,True,0,0,0,0,,2018-02-24,2018-02-24,1,0.09,Sevilla,2019-01-29,False,
19324222,Private room,350.0,True,0,0,0,0,95,2017-06-22,2017-07-01,4,0.17,Barcelona,2019-06-07,False,True
19327719,Entire home/apt,1200.0,True,11,32,52,292,100,2017-09-26,2017-09-26,1,0.27,Madrid,2018-01-17,False,True
19327853,Private room,300.0,True,0,0,0,0,100,2017-06-24,2017-08-02,3,0.07,Madrid,2020-12-17,False,True
19329055,Entire home/apt,600.0,True,0,0,0,0,93,2017-06-24,2017-07-02,3,0.08,Madrid,2020-07-17,False,True
19330601,Entire home/apt,1800.0,True,25,54,58,58,80,2017-07-21,2017-08-17,3,0.21,Girona,2018-09-28,False,True
19332376,Entire home/apt,1210.0,False,5,13,43,43,80,2017-07-08,2017-07-08,1,1.05,Barcelona,2017-08-06,False,True
19341882,Entire home/apt,650.0,True,25,51,78,349,87,2017-08-08,2019-11-11,57,1.74,Sevilla,2020-04-30,False,True
19342533,Entire home/apt,700.0,True,24,54,84,84,86,2017-09-30,2018-07-01,19,2.04,Madrid,2018-07-10,False,True
19343873,Entire home/apt,1300.0,True,11,29,59,59,95,2017-07-02,2018-08-26,35,2.44,Barcelona,2018-09-11,False,True
19344018,Private room,2000.0,True,0,0,0,0,,,,0,,Madrid,2019-01-14,False,
