Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;01 Andalucía;Reino Unido;Mayo;150.566
Total Nacional;01 Andalucía;Reino Unido;Junio;148.438
Total Nacional;01 Andalucía;Reino Unido;Julio;130.597
Total Nacional;01 Andalucía;Reino Unido;Agosto;171.422
Total Nacional;01 Andalucía;Reino Unido;Septiembre;149.285
Total Nacional;01 Andalucía;Reino Unido;Octubre;133.905
Total Nacional;01 Andalucía;Reino Unido;Noviembre;79.835
Total Nacional;01 Andalucía;Reino Unido;Diciembre;62.540
Total Nacional;01 Andalucía;Suiza;Total;98.950
Total Nacional;01 Andalucía;Suiza;Enero;5.364
Total Nacional;01 Andalucía;Suiza;Febrero;5.242
Total Nacional;01 Andalucía;Suiza;Marzo;4.444
Total Nacional;01 Andalucía;Suiza;Abril;11.939
Total Nacional;01 Andalucía;Suiza;Mayo;9.549
Total Nacional;01 Andalucía;Suiza;Junio;8.042
Total Nacional;01 Andalucía;Suiza;Julio;10.718
Total Nacional;01 Andalucía;Suiza;Agosto;7.621
Total Nacional;01 Andalucía;Suiza;Septiembre;8.913
Total Nacional;01 Andalucía;Suiza;Octubre;13.802
Total Nacional;01 Andalucía;Suiza;Noviembre;7.179
Total Nacional;01 Andalucía;Suiza;Diciembre;6.136
Total Nacional;01 Andalucía;Resto de Europa;Total;125.760
Total Nacional;01 Andalucía;Resto de Europa;Enero;13.076
Total Nacional;01 Andalucía;Resto de Europa;Febrero;7.410
Total Nacional;01 Andalucía;Resto de Europa;Marzo;9.332
Total Nacional;01 Andalucía;Resto de Europa;Abril;13.587
Total Nacional;01 Andalucía;Resto de Europa;Mayo;9.770
Total Nacional;01 Andalucía;Resto de Europa;Junio;12.517
Total Nacional;01 Andalucía;Resto de Europa;Julio;10.194
Total Nacional;01 Andalucía;Resto de Europa;Agosto;12.952
Total Nacional;01 Andalucía;Resto de Europa;Septiembre;6.772
Total Nacional;01 Andalucía;Resto de Europa;Octubre;10.897
Total Nacional;01 Andalucía;Resto de Europa;Noviembre;14.407
Total Nacional;01 Andalucía;Resto de Europa;Diciembre;4.846
Total Nacional;01 Andalucía;Estados Unidos;Total;331.245
Total Nacional;01 Andalucía;Estados Unidos;Enero;20.233
Total Nacional;01 Andalucía;Estados Unidos;Febrero;17.120
Total Nacional;01 Andalucía;Estados Unidos;Marzo;26.807
Total Nacional;01 Andalucía;Estados Unidos;Abril;30.006
Total Nacional;01 Andalucía;Estados Unidos;Mayo;36.813
Total Nacional;01 Andalucía;Estados Unidos;Junio;37.049
Total Nacional;01 Andalucía;Estados Unidos;Julio;30.376
Total Nacional;01 Andalucía;Estados Unidos;Agosto;25.971
Total Nacional;01 Andalucía;Estados Unidos;Septiembre;26.619
Total Nacional;01 Andalucía;Estados Unidos;Octubre;28.587
Total Nacional;01 Andalucía;Estados Unidos;Noviembre;29.942
Total Nacional;01 Andalucía;Estados Unidos;Diciembre;21.723
Total Nacional;01 Andalucía;Resto de América;Total;337.908
Total Nacional;01 Andalucía;Resto de América;Enero;22.062
Total Nacional;01 Andalucía;Resto de América;Febrero;41.731
Total Nacional;01 Andalucía;Resto de América;Marzo;43.044
Total Nacional;01 Andalucía;Resto de América;Abril;34.686
Total Nacional;01 Andalucía;Resto de América;Mayo;35.167
Total Nacional;01 Andalucía;Resto de América;Junio;22.150
Total Nacional;01 Andalucía;Resto de América;Julio;20.663
Total Nacional;01 Andalucía;Resto de América;Agosto;24.526
Total Nacional;01 Andalucía;Resto de América;Septiembre;22.853
Total Nacional;01 Andalucía;Resto de América;Octubre;37.019
Total Nacional;01 Andalucía;Resto de América;Noviembre;19.033
Total Nacional;01 Andalucía;Resto de América;Diciembre;14.974
Total Nacional;01 Andalucía;Países Africanos;Total;183.002
Total Nacional;01 Andalucía;Países Africanos;Enero;11.856
Total Nacional;01 Andalucía;Países Africanos;Febrero;6.794
Total Nacional;01 Andalucía;Países Africanos;Marzo;4.221
Total Nacional;01 Andalucía;Países Africanos;Abril;9.198
Total Nacional;01 Andalucía;Países Africanos;Mayo;9.050
Total Nacional;01 Andalucía;Países Africanos;Junio;17.867
Total Nacional;01 Andalucía;Países Africanos;Julio;30.241
Total Nacional;01 Andalucía;Países Africanos;Agosto;54.527
Total Nacional;01 Andalucía;Países Africanos;Septiembre;16.458
Total Nacional;01 Andalucía;Países Africanos;Octubre;8.053
Total Nacional;01 Andalucía;Países Africanos;Noviembre;4.070
Total Nacional;01 Andalucía;Países Africanos;Diciembre;10.667
Total Nacional;01 Andalucía;Resto del mundo;Total;322.161
Total Nacional;01 Andalucía;Resto del mundo;Enero;17.758
Total Nacional;01 Andalucía;Resto del mundo;Febrero;16.877
Total Nacional;01 Andalucía;Resto del mundo;Marzo;12.704
Total Nacional;01 Andalucía;Resto del mundo;Abril;20.060
Total Nacional;01 Andalucía;Resto del mundo;Mayo;27.545
Total Nacional;01 Andalucía;Resto del mundo;Junio;39.144
Total Nacional;01 Andalucía;Resto del mundo;Julio;40.425
Total Nacional;01 Andalucía;Resto del mundo;Agosto;47.662
Total Nacional;01 Andalucía;Resto del mundo;Septiembre;28.935
Total Nacional;01 Andalucía;Resto del mundo;Octubre;33.410
Total Nacional;01 Andalucía;Resto del mundo;Noviembre;15.557
Total Nacional;01 Andalucía;Resto del mundo;Diciembre;22.083
Total Nacional;04 Balears, Illes;Total;Total;8.722.415
Total Nacional;04 Balears, Illes;Total;Enero;23.105
Total Nacional;04 Balears, Illes;Total;Febrero;27.381
Total Nacional;04 Balears, Illes;Total;Marzo;107.956
Total Nacional;04 Balears, Illes;Total;Abril;254.541
Total Nacional;04 Balears, Illes;Total;Mayo;1.087.017
Total Nacional;04 Balears, Illes;Total;Junio;1.529.145
Total Nacional;04 Balears, Illes;Total;Julio;1.661.301
Total Nacional;04 Balears, Illes;Total;Agosto;1.784.696
Total Nacional;04 Balears, Illes;Total;Septiembre;1.379.604
Total Nacional;04 Balears, Illes;Total;Octubre;787.857
Total Nacional;04 Balears, Illes;Total;Noviembre;41.366
Total Nacional;04 Balears, Illes;Total;Diciembre;38.446
Total Nacional;04 Balears, Illes;Españoles;Total;1.478.576
Total Nacional;04 Balears, Illes;Españoles;Enero;5.739
Total Nacional;04 Balears, Illes;Españoles;Febrero;6.327
Total Nacional;04 Balears, Illes;Españoles;Marzo;21.243
Total Nacional;04 Balears, Illes;Españoles;Abril;25.772
Total Nacional;04 Balears, Illes;Españoles;Mayo;152.227
Total Nacional;04 Balears, Illes;Españoles;Junio;301.261
Total Nacional;04 Balears, Illes;Españoles;Julio;298.160
Total Nacional;04 Balears, Illes;Españoles;Agosto;347.245
Total Nacional;04 Balears, Illes;Españoles;Septiembre;219.944
Total Nacional;04 Balears, Illes;Españoles;Octubre;87.561
Total Nacional;04 Balears, Illes;Españoles;Noviembre;6.006
Total Nacional;04 Balears, Illes;Españoles;Diciembre;7.091
Total Nacional;04 Balears, Illes;Extranjeros;Total;7.243.838
Total Nacional;04 Balears, Illes;Extranjeros;Enero;17.366
Total Nacional;04 Balears, Illes;Extranjeros;Febrero;21.055
Total Nacional;04 Balears, Illes;Extranjeros;Marzo;86.714
Total Nacional;04 Balears, Illes;Extranjeros;Abril;228.769
Total Nacional;04 Balears, Illes;Extranjeros;Mayo;934.790
Total Nacional;04 Balears, Illes;Extranjeros;Junio;1.227.884
Total Nacional;04 Balears, Illes;Extranjeros;Julio;1.363.141
Total Nacional;04 Balears, Illes;Extranjeros;Agosto;1.437.450
Total Nacional;04 Balears, Illes;Extranjeros;Septiembre;1.159.660
Total Nacional;04 Balears, Illes;Extranjeros;Octubre;700.296
