Totales Territoriales	Comunidades y Ciudades Autónomas	País de residencia	Meses	Total
Total Nacional	01 Andalucía	Estados Unidos	Enero	21.648
Total Nacional	01 Andalucía	Estados Unidos	Febrero	20.863
Total Nacional	01 Andalucía	Estados Unidos	Marzo	45.151
Total Nacional	01 Andalucía	Estados Unidos	Abril	47.226
Total Nacional	01 Andalucía	Estados Unidos	Mayo	60.025
Total Nacional	01 Andalucía	Estados Unidos	Junio	75.502
Total Nacional	01 Andalucía	Estados Unidos	Julio	54.165
Total Nacional	01 Andalucía	Estados Unidos	Agosto	40.383
Total Nacional	01 Andalucía	Estados Unidos	Septiembre	60.585
Total Nacional	01 Andalucía	Estados Unidos	Octubre	65.509
Total Nacional	01 Andalucía	Estados Unidos	Noviembre	37.541
Total Nacional	01 Andalucía	Estados Unidos	Diciembre	27.758
Total Nacional	01 Andalucía	Resto de América	Enero	32.027
Total Nacional	01 Andalucía	Resto de América	Febrero	29.771
Total Nacional	01 Andalucía	Resto de América	Marzo	35.764
Total Nacional	01 Andalucía	Resto de América	Abril	45.122
Total Nacional	01 Andalucía	Resto de América	Mayo	60.548
Total Nacional	01 Andalucía	Resto de América	Junio	50.974
Total Nacional	01 Andalucía	Resto de América	Julio	50.519
Total Nacional	01 Andalucía	Resto de América	Agosto	42.865
Total Nacional	01 Andalucía	Resto de América	Septiembre	58.511
Total Nacional	01 Andalucía	Resto de América	Octubre	53.331
Total Nacional	01 Andalucía	Resto de América	Noviembre	30.539
Total Nacional	01 Andalucía	Resto de América	Diciembre	28.281
Total Nacional	01 Andalucía	Países africanos	Enero	18.872
Total Nacional	01 Andalucía	Países africanos	Febrero	12.834
Total Nacional	01 Andalucía	Países africanos	Marzo	11.977
Total Nacional	01 Andalucía	Países africanos	Abril	18.768
Total Nacional	01 Andalucía	Países africanos	Mayo	13.594
Total Nacional	01 Andalucía	Países africanos	Junio	13.938
Total Nacional	01 Andalucía	Países africanos	Julio	31.851
Total Nacional	01 Andalucía	Países africanos	Agosto	45.255
Total Nacional	01 Andalucía	Países africanos	Septiembre	20.746
Total Nacional	01 Andalucía	Países africanos	Octubre	15.051
Total Nacional	01 Andalucía	Países africanos	Noviembre	17.154
Total Nacional	01 Andalucía	Países africanos	Diciembre	15.393
Total Nacional	04 Balears, Illes	Residentes en España	Enero	27.144
Total Nacional	04 Balears, Illes	Residentes en España	Febrero	64.600
Total Nacional	04 Balears, Illes	Residentes en España	Marzo	89.468
Total Nacional	04 Balears, Illes	Residentes en España	Abril	94.236
Total Nacional	04 Balears, Illes	Residentes en España	Mayo	159.954
Total Nacional	04 Balears, Illes	Residentes en España	Junio	172.865
Total Nacional	04 Balears, Illes	Residentes en España	Julio	176.438
Total Nacional	04 Balears, Illes	Residentes en España	Agosto	188.843
Total Nacional	04 Balears, Illes	Residentes en España	Septiembre	151.240
Total Nacional	04 Balears, Illes	Residentes en España	Octubre	142.964
Total Nacional	04 Balears, Illes	Residentes en España	Noviembre	45.450
Total Nacional	04 Balears, Illes	Residentes en España	Diciembre	30.396
Total Nacional	04 Balears, Illes	No residentes en España	Enero	38.157
Total Nacional	04 Balears, Illes	No residentes en España	Febrero	83.217
Total Nacional	04 Balears, Illes	No residentes en España	Marzo	180.302
Total Nacional	04 Balears, Illes	No residentes en España	Abril	459.838
Total Nacional	04 Balears, Illes	No residentes en España	Mayo	1.233.891
Total Nacional	04 Balears, Illes	No residentes en España	Junio	1.472.147
Total Nacional	04 Balears, Illes	No residentes en España	Julio	1.584.076
Total Nacional	04 Balears, Illes	No residentes en España	Agosto	1.515.180
Total Nacional	04 Balears, Illes	No residentes en España	Septiembre	1.411.660
Total Nacional	04 Balears, Illes	No residentes en España	Octubre	881.253
Total Nacional	04 Balears, Illes	No residentes en España	Noviembre	58.161
Total Nacional	04 Balears, Illes	No residentes en España	Diciembre	61.330
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Enero	28.847
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Febrero	73.623
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Marzo	160.605
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Abril	414.570
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Mayo	1.131.248
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Junio	1.330.944
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Julio	1.387.214
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Agosto	1.358.629
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Septiembre	1.270.543
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Octubre	805.486
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Noviembre	49.678
Total Nacional	04 Balears, Illes	Unión Europea (sin España)	Diciembre	52.938
Total Nacional	04 Balears, Illes	Alemania	Enero	12.681
Total Nacional	04 Balears, Illes	Alemania	Febrero	51.183
Total Nacional	04 Balears, Illes	Alemania	Marzo	98.834
Total Nacional	04 Balears, Illes	Alemania	Abril	192.755
Total Nacional	04 Balears, Illes	Alemania	Mayo	420.558
Total Nacional	04 Balears, Illes	Alemania	Junio	462.952
Total Nacional	04 Balears, Illes	Alemania	Julio	453.346
Total Nacional	04 Balears, Illes	Alemania	Agosto	433.084
Total Nacional	04 Balears, Illes	Alemania	Septiembre	471.605
Total Nacional	04 Balears, Illes	Alemania	Octubre	368.776
Total Nacional	04 Balears, Illes	Alemania	Noviembre	28.712
Total Nacional	04 Balears, Illes	Alemania	Diciembre	33.486
Total Nacional	04 Balears, Illes	Austria	Enero	503
Total Nacional	04 Balears, Illes	Austria	Febrero	1.490
Total Nacional	04 Balears, Illes	Austria	Marzo	3.775
Total Nacional	04 Balears, Illes	Austria	Abril	7.244
Total Nacional	04 Balears, Illes	Austria	Mayo	14.536
Total Nacional	04 Balears, Illes	Austria	Junio	22.707
Total Nacional	04 Balears, Illes	Austria	Julio	29.449
Total Nacional	04 Balears, Illes	Austria	Agosto	28.428
Total Nacional	04 Balears, Illes	Austria	Septiembre	20.975
Total Nacional	04 Balears, Illes	Austria	Octubre	15.324
Total Nacional	04 Balears, Illes	Austria	Noviembre	1.592
Total Nacional	04 Balears, Illes	Austria	Diciembre	1.963
Total Nacional	04 Balears, Illes	Bélgica	Enero	691
Total Nacional	04 Balears, Illes	Bélgica	Febrero	1.351
Total Nacional	04 Balears, Illes	Bélgica	Marzo	1.535
Total Nacional	04 Balears, Illes	Bélgica	Abril	7.394
Total Nacional	04 Balears, Illes	Bélgica	Mayo	18.205
Total Nacional	04 Balears, Illes	Bélgica	Junio	16.609
Total Nacional	04 Balears, Illes	Bélgica	Julio	24.064
Total Nacional	04 Balears, Illes	Bélgica	Agosto	20.149
Total Nacional	04 Balears, Illes	Bélgica	Septiembre	19.128
Total Nacional	04 Balears, Illes	Bélgica	Octubre	7.750
Total Nacional	04 Balears, Illes	Bélgica	Noviembre	460
Total Nacional	04 Balears, Illes	Bélgica	Diciembre	469
Total Nacional	04 Balears, Illes	Dinamarca	Enero	411
Total Nacional	04 Balears, Illes	Dinamarca	Febrero	865
Total Nacional	04 Balears, Illes	Dinamarca	Marzo	4.084
Total Nacional	04 Balears, Illes	Dinamarca	Abril	8.816
Total Nacional	04 Balears, Illes	Dinamarca	Mayo	19.465
Total Nacional	04 Balears, Illes	Dinamarca	Junio	19.803
Total Nacional	04 Balears, Illes	Dinamarca	Julio	40.519
Total Nacional	04 Balears, Illes	Dinamarca	Agosto	22.243
Total Nacional	04 Balears, Illes	Dinamarca	Septiembre	17.675
Total Nacional	04 Balears, Illes	Dinamarca	Octubre	18.622
Total Nacional	04 Balears, Illes	Dinamarca	Noviembre	597
Total Nacional	04 Balears, Illes	Dinamarca	Diciembre	629
Total Nacional	04 Balears, Illes	Finlandia	Enero	525
Total Nacional	04 Balears, Illes	Finlandia	Febrero	458
Total Nacional	04 Balears, Illes	Finlandia	Marzo	1.301
Total Nacional	04 Balears, Illes	Finlandia	Abril	4.608
Total Nacional	04 Balears, Illes	Finlandia	Mayo	6.164
Total Nacional	04 Balears, Illes	Finlandia	Junio	8.121
Total Nacional	04 Balears, Illes	Finlandia	Julio	9.622
Total Nacional	04 Balears, Illes	Finlandia	Agosto	6.359
Total Nacional	04 Balears, Illes	Finlandia	Septiembre	6.114
Total Nacional	04 Balears, Illes	Finlandia	Octubre	7.127
Total Nacional	04 Balears, Illes	Finlandia	Noviembre	476
Total Nacional	04 Balears, Illes	Finlandia	Diciembre	597
Total Nacional	04 Balears, Illes	Francia	Enero	1.915
Total Nacional	04 Balears, Illes	Francia	Febrero	2.287
Total Nacional	04 Balears, Illes	Francia	Marzo	3.817
Total Nacional	04 Balears, Illes	Francia	Abril	29.552
Total Nacional	04 Balears, Illes	Francia	Mayo	70.043
Total Nacional	04 Balears, Illes	Francia	Junio	66.851
Total Nacional	04 Balears, Illes	Francia	Julio	77.710
Total Nacional	04 Balears, Illes	Francia	Agosto	96.282
Total Nacional	04 Balears, Illes	Francia	Septiembre	67.224
Total Nacional	04 Balears, Illes	Francia	Octubre	44.127
Total Nacional	04 Balears, Illes	Francia	Noviembre	2.244
Total Nacional	04 Balears, Illes	Francia	Diciembre	2.465
Total Nacional	04 Balears, Illes	Grecia	Enero	29
Total Nacional	04 Balears, Illes	Grecia	Febrero	128
Total Nacional	04 Balears, Illes	Grecia	Marzo	65
Total Nacional	04 Balears, Illes	Grecia	Abril	457
Total Nacional	04 Balears, Illes	Grecia	Mayo	656
Total Nacional	04 Balears, Illes	Grecia	Junio	1.111
Total Nacional	04 Balears, Illes	Grecia	Julio	1.500
Total Nacional	04 Balears, Illes	Grecia	Agosto	1.031
Total Nacional	04 Balears, Illes	Grecia	Septiembre	1.028
Total Nacional	04 Balears, Illes	Grecia	Octubre	571
Total Nacional	04 Balears, Illes	Grecia	Noviembre	132
Total Nacional	04 Balears, Illes	Grecia	Diciembre	86
Total Nacional	04 Balears, Illes	Irlanda	Enero	172
Total Nacional	04 Balears, Illes	Irlanda	Febrero	210
