Sexo;Provincias;Periodo;Total
Total;35 Palmas, Las;2033;46,540358
Total;35 Palmas, Las;2032;46,236664
Total;35 Palmas, Las;2031;45,927455
Total;35 Palmas, Las;2030;45,614455
Total;35 Palmas, Las;2029;45,299187
Total;35 Palmas, Las;2028;44,982822
Total;35 Palmas, Las;2027;44,665801
Total;35 Palmas, Las;2026;44,347388
Total;35 Palmas, Las;2025;44,025189
Total;35 Palmas, Las;2024;43,694533
Total;36 Pontevedra;2039;51,013632
Total;36 Pontevedra;2038;50,793592
Total;36 Pontevedra;2037;50,561917
Total;36 Pontevedra;2036;50,31905
Total;36 Pontevedra;2035;50,065833
Total;36 Pontevedra;2034;49,803714
Total;36 Pontevedra;2033;49,534317
Total;36 Pontevedra;2032;49,259823
Total;36 Pontevedra;2031;48,982399
Total;36 Pontevedra;2030;48,704432
Total;36 Pontevedra;2029;48,427691
Total;36 Pontevedra;2028;48,15403
Total;36 Pontevedra;2027;47,884482
Total;36 Pontevedra;2026;47,618823
Total;36 Pontevedra;2025;47,355471
Total;36 Pontevedra;2024;47,090313
Total;26 Rioja, La;2039;48,229421
Total;26 Rioja, La;2038;48,051016
Total;26 Rioja, La;2037;47,860914
Total;26 Rioja, La;2036;47,660128
Total;26 Rioja, La;2035;47,450018
Total;26 Rioja, La;2034;47,232969
Total;26 Rioja, La;2033;47,011608
Total;26 Rioja, La;2032;46,789097
Total;26 Rioja, La;2031;46,568655
Total;26 Rioja, La;2030;46,353804
Total;26 Rioja, La;2029;46,147488
Total;26 Rioja, La;2028;45,952451
Total;26 Rioja, La;2027;45,77045
Total;26 Rioja, La;2026;45,600884
Total;26 Rioja, La;2025;45,440357
Total;26 Rioja, La;2024;45,281568
Total;37 Salamanca;2039;51,916984
Total;37 Salamanca;2038;51,727896
Total;37 Salamanca;2037;51,528423
Total;37 Salamanca;2036;51,319762
Total;37 Salamanca;2035;51,103051
Total;37 Salamanca;2034;50,880948
Total;37 Salamanca;2033;50,65643
Total;37 Salamanca;2032;50,432769
Total;37 Salamanca;2031;50,213564
Total;37 Salamanca;2030;50,00259
Total;37 Salamanca;2029;49,803704
Total;37 Salamanca;2028;49,619849
Total;37 Salamanca;2027;49,453165
Total;37 Salamanca;2026;49,304609
Total;37 Salamanca;2025;49,171
Total;37 Salamanca;2024;49,046054
Total;38 Santa Cruz de Tenerife;2039;48,798111
Total;38 Santa Cruz de Tenerife;2038;48,547424
Total;38 Santa Cruz de Tenerife;2037;48,287419
Total;38 Santa Cruz de Tenerife;2036;48,018528
Total;38 Santa Cruz de Tenerife;2035;47,741395
Total;38 Santa Cruz de Tenerife;2034;47,45711
Total;38 Santa Cruz de Tenerife;2033;47,167067
Total;38 Santa Cruz de Tenerife;2032;46,872913
Total;38 Santa Cruz de Tenerife;2031;46,57644
Total;38 Santa Cruz de Tenerife;2030;46,279515
Total;38 Santa Cruz de Tenerife;2029;45,983862
Total;38 Santa Cruz de Tenerife;2028;45,690725
Total;38 Santa Cruz de Tenerife;2027;45,400675
Total;38 Santa Cruz de Tenerife;2026;45,113013
Total;38 Santa Cruz de Tenerife;2025;44,825044
Total;38 Santa Cruz de Tenerife;2024;44,531329
Total;40 Segovia;2039;49,672285
Total;40 Segovia;2038;49,469048
Total;40 Segovia;2037;49,255215
Total;40 Segovia;2036;49,032023
Total;40 Segovia;2035;48,801215
Total;40 Segovia;2034;48,565653
Total;40 Segovia;2033;48,328476
Total;40 Segovia;2032;48,092964
Total;40 Segovia;2031;47,862611
Total;40 Segovia;2030;47,64095
Total;40 Segovia;2029;47,431268
Total;40 Segovia;2028;47,236295
Total;40 Segovia;2027;47,056855
Total;40 Segovia;2026;46,893091
Total;40 Segovia;2025;46,741467
Total;40 Segovia;2024;46,593858
Total;41 Sevilla;2039;46,463469
Total;41 Sevilla;2038;46,280058
Total;41 Sevilla;2037;46,083744
Total;41 Sevilla;2036;45,874515
Total;41 Sevilla;2035;45,652657
Total;41 Sevilla;2034;45,419106
Total;41 Sevilla;2033;45,175139
Total;41 Sevilla;2032;44,922286
Total;41 Sevilla;2031;44,662345
Total;41 Sevilla;2030;44,397237
Total;41 Sevilla;2029;44,128607
Total;41 Sevilla;2028;43,857826
Total;41 Sevilla;2027;43,585966
Total;41 Sevilla;2026;43,313073
Total;41 Sevilla;2025;43,03803
Total;41 Sevilla;2024;42,75791
Total;42 Soria;2039;49,486516
Total;42 Soria;2038;49,350043
Total;42 Soria;2037;49,203178
Total;42 Soria;2036;49,047635
Total;42 Soria;2035;48,885431
Total;42 Soria;2034;48,719458
Total;42 Soria;2033;48,553408
Total;42 Soria;2032;48,391529
Total;42 Soria;2031;48,238093
Total;42 Soria;2030;48,098412
Total;42 Soria;2029;47,977184
Total;42 Soria;2028;47,87828
Total;42 Soria;2027;47,804444
Total;42 Soria;2026;47,75654
Total;42 Soria;2025;47,731218
Total;42 Soria;2024;47,719094
Total;43 Tarragona;2039;46,40035
Total;43 Tarragona;2038;46,236871
Total;43 Tarragona;2037;46,06324
Total;43 Tarragona;2036;45,879668
Total;43 Tarragona;2035;45,68707
Total;43 Tarragona;2034;45,487148
Total;43 Tarragona;2033;45,282023
Total;43 Tarragona;2032;45,074394
Total;43 Tarragona;2031;44,867392
Total;43 Tarragona;2030;44,664238
Total;43 Tarragona;2029;44,468282
Total;43 Tarragona;2028;44,282419
Total;43 Tarragona;2027;44,108836
Total;43 Tarragona;2026;43,947959
Total;43 Tarragona;2025;43,797216
Total;43 Tarragona;2024;43,649782
Total;44 Teruel;2039;48,569433
Total;44 Teruel;2038;48,429479
Total;44 Teruel;2037;48,279459
Total;44 Teruel;2036;48,120796
Total;44 Teruel;2035;47,955979
Total;44 Teruel;2034;47,787983
Total;44 Teruel;2033;47,620615
Total;44 Teruel;2032;47,457646
Total;44 Teruel;2031;47,303256
Total;44 Teruel;2030;47,16151
Total;44 Teruel;2029;47,036073
