apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+,fully_booked,occ_month,occ_2month,occ_3month,occ_year
9688685,Entire home/apt,700.0,False,0,0,0,0,80.0,1,8.0,Barcelona,2017-02-09,True,True,1.0,1.0,1.0,1.0
9688838,Entire home/apt,290.0,True,0,14,44,319,93.0,6,12.0,Barcelona,2020-12-16,True,False,1.0,0.7666666666666667,0.5111111111111111,0.12602739726027398
9701470,Entire home/apt,1170.0,False,2,28,58,333,,0,,Barcelona,2017-01-04,,False,0.9333333333333333,0.5333333333333333,0.35555555555555557,0.08767123287671233
9708841,Private room,150.0,True,0,0,0,0,,0,,Barcelona,2020-12-16,,True,1.0,1.0,1.0,1.0
9722582,Entire home/apt,650.0,True,1,12,26,26,89.0,87,203.0,Barcelona,2019-10-16,True,False,0.9666666666666667,0.8,0.7111111111111111,0.9287671232876712
9745553,Entire home/apt,1890.0,True,30,60,90,365,96.0,58,99.0,Madrid,2021-01-12,True,False,0.0,0.0,0.0,0.0
9746164,Entire home/apt,270.0,True,29,59,89,364,95.0,87,148.0,Madrid,2020-12-17,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.0027397260273972603
9755908,Private room,600.0,False,0,0,0,0,,0,,Barcelona,2017-07-06,,True,1.0,1.0,1.0,1.0
9767425,Entire home/apt,1470.0,True,0,13,43,120,87.0,3,8.0,Girona,2019-07-29,True,False,1.0,0.7833333333333333,0.5222222222222223,0.6712328767123288
9767886,Entire home/apt,2920.0,True,29,59,89,354,98.0,10,24.0,Mallorca,2020-02-29,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.030136986301369864
9769026,Entire home/apt,750.0,True,7,37,67,102,93.0,3,7.0,Girona,2019-07-29,True,False,0.7666666666666667,0.38333333333333336,0.25555555555555554,0.7205479452054795
9769983,Entire home/apt,500.0,True,30,34,34,184,95.0,4,16.0,Menorca,2018-09-28,True,False,0.0,0.43333333333333335,0.6222222222222222,0.4958904109589041
9784279,Entire home/apt,3520.0,True,11,24,39,206,,0,,Sevilla,2019-06-29,,False,0.6333333333333333,0.6,0.5666666666666667,0.43561643835616437
9796203,Entire home/apt,650.0,True,21,48,66,321,87.0,89,232.0,Sevilla,2019-01-29,True,False,0.3,0.2,0.26666666666666666,0.12054794520547946
9805465,Entire home/apt,410.0,True,4,10,29,192,92.0,100,25.0,Sevilla,2019-03-28,True,False,0.8666666666666667,0.8333333333333334,0.6777777777777778,0.473972602739726
9839053,Entire home/apt,290.0,True,30,60,90,365,84.0,222,412.0,Madrid,2020-05-14,True,False,0.0,0.0,0.0,0.0
9853291,Entire home/apt,1500.0,True,0,0,0,100,87.0,10,25.0,Barcelona,2019-04-10,True,False,1.0,1.0,1.0,0.726027397260274
9876822,Entire home/apt,850.0,False,0,4,7,74,100.0,7,56.0,Madrid,2017-04-08,True,False,1.0,0.9333333333333333,0.9222222222222223,0.7972602739726027
9882952,Private room,300.0,True,29,59,89,364,93.0,3,5.0,Barcelona,2020-08-24,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.0027397260273972603
9891769,Entire home/apt,750.0,True,6,21,34,169,97.0,72,195.0,Valencia,2019-03-31,True,False,0.8,0.65,0.6222222222222222,0.536986301369863
9892051,Private room,400.0,True,9,11,11,11,94.0,46,111.0,Mallorca,2019-05-27,True,False,0.7,0.8166666666666667,0.8777777777777778,0.9698630136986301
9897617,Entire home/apt,570.0,True,0,0,0,44,94.0,139,242.0,Barcelona,2020-09-12,True,False,1.0,1.0,1.0,0.8794520547945206
9898670,Entire home/apt,1000.0,False,1,1,6,252,87.0,67,381.0,Barcelona,2017-07-06,True,False,0.9666666666666667,0.9833333333333333,0.9333333333333333,0.3095890410958904
9899127,Entire home/apt,1800.0,True,0,17,47,178,87.0,6,19.0,Mallorca,2019-02-17,True,False,1.0,0.7166666666666667,0.4777777777777778,0.5123287671232877
9914165,Entire home/apt,2430.0,True,4,13,31,261,97.0,38,128.0,Barcelona,2019-11-09,True,False,0.8666666666666667,0.7833333333333333,0.6555555555555556,0.28493150684931506
9914784,Entire home/apt,1600.0,True,27,57,87,362,90.0,81,263.0,Madrid,2018-07-10,True,False,0.1,0.05,0.03333333333333333,0.00821917808219178
9921111,Entire home/apt,900.0,True,30,60,62,62,100.0,2,7.0,Girona,2019-10-30,True,False,0.0,0.0,0.3111111111111111,0.8301369863013699
9922861,Private room,250.0,True,8,13,25,290,100.0,5,17.0,Barcelona,2018-06-09,True,False,0.7333333333333333,0.7833333333333333,0.7222222222222222,0.2054794520547945
9931276,Private room,840.0,True,29,45,51,99,99.0,141,31.0,Barcelona,2020-04-16,True,False,0.03333333333333333,0.25,0.43333333333333335,0.7287671232876712
