Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M10;400.285
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M11;352.067
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M12;332.653
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M01;277.707
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M02;345.367
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M03;434.002
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M04;463.413
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M05;467.182
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M06;588.068
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M07;654.250
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M08;712.118
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M09;470.731
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M10;412.498
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M11;383.010
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2019M12;330.175
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M01;462.514
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M02;467.203
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M03;498.019
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M04;539.993
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M05;542.958
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M06;545.435
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M07;496.077
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M08;475.035
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M09;558.525
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M10;554.028
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M11;520.701
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2015M12;555.675
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M01;461.845
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M02;512.426
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M03;520.687
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M04;504.347
