Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
04 Balears, Illes;Luxemburgo;Julio;2.975
04 Balears, Illes;Luxemburgo;Agosto;4.642
04 Balears, Illes;Luxemburgo;Septiembre;3.477
04 Balears, Illes;Luxemburgo;Octubre;1.627
04 Balears, Illes;Luxemburgo;Noviembre;111
04 Balears, Illes;Luxemburgo;Diciembre;104
04 Balears, Illes;Países Bajos;Enero;1.086
04 Balears, Illes;Países Bajos;Febrero;1.560
04 Balears, Illes;Países Bajos;Marzo;2.943
04 Balears, Illes;Países Bajos;Abril;19.659
04 Balears, Illes;Países Bajos;Mayo;45.696
04 Balears, Illes;Países Bajos;Junio;48.399
04 Balears, Illes;Países Bajos;Julio;54.523
04 Balears, Illes;Países Bajos;Agosto;49.940
04 Balears, Illes;Países Bajos;Septiembre;49.927
04 Balears, Illes;Países Bajos;Octubre;31.636
04 Balears, Illes;Países Bajos;Noviembre;1.113
04 Balears, Illes;Países Bajos;Diciembre;917
04 Balears, Illes;Polonia;Enero;1.027
04 Balears, Illes;Polonia;Febrero;604
04 Balears, Illes;Polonia;Marzo;1.208
04 Balears, Illes;Polonia;Abril;4.594
04 Balears, Illes;Polonia;Mayo;15.713
04 Balears, Illes;Polonia;Junio;21.750
04 Balears, Illes;Polonia;Julio;27.828
04 Balears, Illes;Polonia;Agosto;23.225
04 Balears, Illes;Polonia;Septiembre;23.273
04 Balears, Illes;Polonia;Octubre;9.630
04 Balears, Illes;Polonia;Noviembre;1.361
04 Balears, Illes;Polonia;Diciembre;695
04 Balears, Illes;Portugal;Enero;306
04 Balears, Illes;Portugal;Febrero;219
04 Balears, Illes;Portugal;Marzo;1.097
04 Balears, Illes;Portugal;Abril;2.677
04 Balears, Illes;Portugal;Mayo;7.165
04 Balears, Illes;Portugal;Junio;16.894
04 Balears, Illes;Portugal;Julio;18.199
04 Balears, Illes;Portugal;Agosto;24.939
04 Balears, Illes;Portugal;Septiembre;16.607
04 Balears, Illes;Portugal;Octubre;4.134
04 Balears, Illes;Portugal;Noviembre;590
04 Balears, Illes;Portugal;Diciembre;281
04 Balears, Illes;Reino Unido;Enero;6.304
04 Balears, Illes;Reino Unido;Febrero;8.564
04 Balears, Illes;Reino Unido;Marzo;28.816
04 Balears, Illes;Reino Unido;Abril;90.208
04 Balears, Illes;Reino Unido;Mayo;387.466
04 Balears, Illes;Reino Unido;Junio;462.302
04 Balears, Illes;Reino Unido;Julio;429.747
04 Balears, Illes;Reino Unido;Agosto;419.082
04 Balears, Illes;Reino Unido;Septiembre;409.725
04 Balears, Illes;Reino Unido;Octubre;226.985
04 Balears, Illes;Reino Unido;Noviembre;6.372
04 Balears, Illes;Reino Unido;Diciembre;6.229
04 Balears, Illes;República Checa;Enero;47
04 Balears, Illes;República Checa;Febrero;177
04 Balears, Illes;República Checa;Marzo;382
04 Balears, Illes;República Checa;Abril;1.163
04 Balears, Illes;República Checa;Mayo;4.907
04 Balears, Illes;República Checa;Junio;11.925
04 Balears, Illes;República Checa;Julio;16.568
04 Balears, Illes;República Checa;Agosto;14.051
04 Balears, Illes;República Checa;Septiembre;12.339
04 Balears, Illes;República Checa;Octubre;3.860
04 Balears, Illes;República Checa;Noviembre;614
04 Balears, Illes;República Checa;Diciembre;234
04 Balears, Illes;Suecia;Enero;1.303
04 Balears, Illes;Suecia;Febrero;1.724
04 Balears, Illes;Suecia;Marzo;5.416
04 Balears, Illes;Suecia;Abril;21.954
04 Balears, Illes;Suecia;Mayo;58.127
04 Balears, Illes;Suecia;Junio;63.153
04 Balears, Illes;Suecia;Julio;66.157
04 Balears, Illes;Suecia;Agosto;57.150
04 Balears, Illes;Suecia;Septiembre;53.723
04 Balears, Illes;Suecia;Octubre;27.485
04 Balears, Illes;Suecia;Noviembre;2.350
04 Balears, Illes;Suecia;Diciembre;2.009
04 Balears, Illes;Noruega;Enero;438
04 Balears, Illes;Noruega;Febrero;568
04 Balears, Illes;Noruega;Marzo;2.582
04 Balears, Illes;Noruega;Abril;6.533
04 Balears, Illes;Noruega;Mayo;16.645
04 Balears, Illes;Noruega;Junio;24.460
04 Balears, Illes;Noruega;Julio;37.041
04 Balears, Illes;Noruega;Agosto;22.061
04 Balears, Illes;Noruega;Septiembre;18.632
04 Balears, Illes;Noruega;Octubre;9.893
04 Balears, Illes;Noruega;Noviembre;625
04 Balears, Illes;Noruega;Diciembre;323
04 Balears, Illes;Rusia;Enero;762
04 Balears, Illes;Rusia;Febrero;641
04 Balears, Illes;Rusia;Marzo;783
