cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,76,100,2022,1.0,1.0,1.0,4660.4985
Universidad,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,1,0,0,1,0,0,0,0,0,22,101,2022,1.0,0.0,1.0,4767.2817
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,102,2022,1.0,0.0,1.0,8253.8467
Universidad,Asalariado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,103,2022,1.0,1.0,1.0,3160.4983
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,62,104,2022,1.0,0.0,0.0,7794.0166
Universidad,Asalariado,Vive solo,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,1,0,0,0,0,39,105,2021,1.0,0.0,1.0,6174.1621
Educación Primaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,106,2022,0.0,0.0,1.0,4968.7383
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30,107,2022,1.0,,,4633.7876
Educación Secundaria,Desempleado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,22,108,2021,0.0,1.0,1.0,5611.9009
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,109,2022,,1.0,,2213.1746
