SEX,AGE,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,age_cat
F,72,338821.502955,328733.587923,321703.174186,322041.874494,313015.300592,306081.026365,298932.470942,278617.368514,270615.289804,258500.275346,256851.348782,65-79
F,73,325643.589746,318753.63294,319119.696603,310260.262016,303464.246253,296493.414352,276508.159056,268712.627017,256862.504926,255375.316332,252529.284468,65-79
F,74,315321.598733,315697.646916,306991.298208,300314.084346,293495.930616,273829.463371,266217.521357,254620.986889,253285.321404,250583.372628,235877.488045,65-79
F,75,311874.18503,303316.76181,296749.352595,290068.830768,270714.001986,263266.354405,251908.142189,250704.420377,248143.993566,233747.992492,227576.357323,65-79
F,76,299141.033496,292679.017429,286126.295963,267086.054739,259786.999492,248654.00491,247554.963836,245117.639398,231040.367637,225038.554202,234105.777839,65-79
F,77,288090.618032,281663.583185,262950.300249,255791.84054,244877.621442,243858.89017,241524.128963,227765.462242,221935.456514,230933.256869,240795.862142,65-79
F,78,276664.888344,258299.719078,251281.456613,240587.39995,239630.164653,237380.402718,223939.842433,218275.066746,227181.743079,236925.445482,216662.15141,65-79
F,79,252867.097571,245989.253022,235522.681832,234602.225635,232414.38737,219298.872972,213785.946357,222545.172969,232118.963636,212344.820577,203653.435717,65-79
F,80,240143.926595,229927.552666,229043.38856,226917.732899,214143.832691,208784.901316,217371.629116,226753.704363,207506.296885,199080.220722,207804.923495,80+
F,81,223630.429616,222775.405037,220707.036192,208296.662929,203091.679289,211461.569942,220605.38137,201925.504483,193778.748471,202311.817322,192589.112663,80+
F,82,215716.960799,213692.830791,201666.19022,196610.137601,204704.114211,213545.094971,195473.789626,187608.612143,195888.385852,186478.389759,183975.306593,80+
F,83,206042.549692,194422.049534,189517.422934,197294.501762,205787.564542,188360.948282,180780.391921,188757.743634,179680.67183,177270.68404,152853.122971,80+
F,84,186420.739203,181668.870969,189076.358904,197163.441758,180428.682589,173137.179832,180746.588808,172019.836552,169689.460285,146322.264202,135570.8382,80+
F,85,173080.848544,180069.697297,187697.053633,171704.67903,164710.593291,171891.314328,163533.170802,161268.236561,139040.411993,128801.729903,158906.644199,80+
F,86,170313.459259,177432.617829,162234.072577,155548.974252,162247.201676,154277.466938,152066.48725,131061.413587,121366.102964,149597.591494,100206.633833,80+
F,87,166438.589704,152084.45227,145722.766406,151894.009361,144334.156459,142170.555518,122465.741838,113342.299254,139564.735784,93483.175669,105966.626512,80+
F,88,141366.321282,135345.440027,140958.835895,133831.899569,131716.182946,113379.17605,104854.743806,128964.724072,86362.300561,97784.662342,110038.227989,80+
F,89,124377.743264,129397.912708,122725.699136,120656.205232,103759.15387,95862.05772,117739.581115,78804.574724,89105.299172,100129.485633,110272.410353,80+
F,90,117418.756947,111221.989857,109203.907865,93798.646716,86551.795606,106129.268238,70979.649898,80127.687277,89891.883497,98830.696811,95382.190173,80+
F,91,99475.250695,97516.061359,83636.93214,77056.922413,94301.250777,63003.74738,70986.172574,79479.287174,87208.037295,84013.692768,83089.197671,80+
F,92,86001.146137,73640.218167,67730.089966,82706.299459,55191.110927,62049.913031,69322.196011,75895.852023,72971.254936,72015.959062,72774.264454,80+
F,93,63932.137726,58686.68064,71487.340879,47638.136574,53428.324941,59543.590759,65029.058971,62383.978536,61422.471017,61914.815122,61087.147978,80+
